predictor,pimp_significant,pimp_p_value,boruta_important,boruta_decision,boruta_hit_rate,consensus,consensus_important,perm_importance
Tair,False,0.208955223880597,False,Rejected,0.1,Rejected,False,2300.3603968949374
Tv_K,False,0.373134328358209,True,Confirmed,0.6333333333333333,Supported,True,1615.8309399349728
Tsoil,True,0.01990049751243781,False,Rejected,0.0,Supported,True,706.1351835085607
buoy_TsTa,True,0.01990049751243781,False,Rejected,0.0,Supported,True,328.25989469996
h*Pr,True,0.004975124378109453,True,Confirmed,0.6666666666666666,Confirmed,True,143.6487735568884
depth,True,0.004975124378109453,False,Rejected,0.0,Supported,True,130.65514705561148
es,False,0.4626865671641791,False,Rejected,0.06666666666666667,Rejected,False,127.38132953356626
VPD,False,0.35323383084577115,True,Confirmed,0.6333333333333333,Supported,True,87.07096199053298
q/rho,False,0.4925373134328358,False,Rejected,0.0,Rejected,False,71.50913709513583
rho_moist,False,0.6218905472636815,False,Rejected,0.0,Rejected,False,44.29076916572793
asinh_Ts,True,0.01990049751243781,False,Rejected,0.0,Supported,True,31.451322950003735
asinh_P_kPa,False,0.3034825870646766,False,Rejected,0.0,Rejected,False,19.76376891714259
asinh_Ta,False,0.14427860696517414,False,Rejected,0.1,Rejected,False,13.006400877811842
h_ASINH_cm,True,0.009950248756218905,False,Rejected,0.0,Supported,True,10.337990116590454
Patm,False,0.7562189054726368,False,Rejected,0.0,Rejected,False,8.41494189923106
RH,False,0.08955223880597014,True,Confirmed,0.6,Supported,True,6.772742387899129
Tdew,False,0.7512437810945274,False,Rejected,0.16666666666666666,Rejected,False,3.5604563566023413
SR*Ta,False,0.0845771144278607,False,Rejected,0.0,Rejected,False,3.2007923581446582
q,False,0.6567164179104478,False,Rejected,0.0,Rejected,False,2.8046359659456583
h*VPD,True,0.004975124378109453,True,Confirmed,0.6333333333333333,Confirmed,True,2.319195713718051
AUC_wet,True,0.004975124378109453,True,Confirmed,0.6666666666666666,Confirmed,True,1.8189767877677006
SR*Ts,False,0.3582089552238806,False,Rejected,0.0,Rejected,False,1.7580545409607669
VPD*WS,True,0.004975124378109453,False,Rejected,0.26666666666666666,Supported,True,1.6243402097312667
h*Ta,False,0.2736318407960199,False,Rejected,0.0,Rejected,False,1.1657190480362245
SR*VPD,True,0.029850746268656716,True,Confirmed,0.5333333333333333,Confirmed,True,0.8371462229600364
u*VPD,True,0.004975124378109453,False,Rejected,0.0,Supported,True,0.6623045093228002
wmix,False,0.8855721393034826,False,Rejected,0.0,Rejected,False,0.6465838323324387
uzonal,True,0.004975124378109453,False,Rejected,0.0,Supported,True,0.6064128645769888
VPD*WS*d1sin,True,0.004975124378109453,False,Rejected,0.0,Supported,True,0.4941136325923474
h*Ts,False,0.5870646766169154,False,Rejected,0.0,Rejected,False,0.40680966895104564
asinh_rate_h,False,0.07960199004975124,False,Rejected,0.0,Rejected,False,0.3660997784851663
SR,False,0.44776119402985076,False,Rejected,0.0,Rejected,False,0.33459762923325753
rate*Ta,False,0.10945273631840796,False,Rejected,0.0,Rejected,False,0.3299664771619679
SRxWS,True,0.01990049751243781,False,Rejected,0.0,Supported,True,0.2653401343572934
rate*Ts,False,0.19402985074626866,False,Rejected,0.0,Rejected,False,0.25929826102234044
vmerid,True,0.03482587064676617,False,Rejected,0.0,Supported,True,0.22702213887716471
v*VPD,True,0.01990049751243781,False,Rejected,0.03333333333333333,Supported,True,0.20383152663026616
SR*HODsin,True,0.004975124378109453,False,Rejected,0.0,Supported,True,0.18821990850969605
rate,False,0.15422885572139303,False,Rejected,0.0,Rejected,False,0.18700898941132005
hwet,False,0.9253731343283582,False,Rejected,0.0,Rejected,False,0.16792262637826205
h*cosTOD,False,0.06965174129353234,False,Rejected,0.0,Rejected,False,0.1533279631732669
asinh_WS,False,0.582089552238806,False,Rejected,0.0,Rejected,False,0.1421476998381439
dayhr,False,0.0845771144278607,False,Rejected,0.0,Rejected,False,0.10379079450504225
h*v,False,0.05472636815920398,False,Rejected,0.0,Rejected,False,0.07711381109215898
AUC_dry,False,0.27860696517412936,False,Rejected,0.0,Rejected,False,0.061443655327611424
h*sinTOD,False,0.31343283582089554,False,Rejected,0.0,Rejected,False,0.048398211381223355
WD,False,0.07462686567164178,True,Confirmed,0.5666666666666667,Supported,True,0.03394484108519924
WS,False,0.7960199004975125,False,Rejected,0.0,Rejected,False,0.029051397003560187
h*u,False,0.3681592039800995,False,Rejected,0.0,Rejected,False,0.02633330272721013
h*WS,False,0.7213930348258707,False,Rejected,0.0,Rejected,False,0.014336715492040852
q*WS,False,0.7661691542288557,False,Rejected,0.0,Rejected,False,0.013266368167767606
SR*u,False,0.6467661691542289,False,Rejected,0.0,Rejected,False,0.00965470346405839
rate_P,False,0.13930348258706468,False,Rejected,0.0,Rejected,False,0.008500961394283468
SR*v,False,0.6666666666666666,False,Rejected,0.0,Rejected,False,0.006226647963284204
asinh_SR,False,0.9651741293532339,False,Rejected,0.0,Rejected,False,0.004249428776253339
h_inv,False,0.46766169154228854,False,Rejected,0.0,Rejected,False,0.00048726134417576006
