predictor,delta_AIC,delta_GCV
AUC_wet,488.9850222668683,1.020427935561699
VPD,228.98375055106953,0.4621019438150782
h*VPD,220.5522018429474,0.44509677226337985
SR*VPD,98.04408812523252,0.18820988793301652
VPD*WS*d1sin,82.75060867013963,0.15856890712795568
u*VPD,78.2703487917679,0.15266310877160727
h*Ta,68.77742288255831,0.13196131256902355
q/rho,60.61159711036089,0.11941227481424477
buoy_TsTa,49.55331081552504,0.09025739749193917
Tsoil,38.85480816060226,0.0749041459028863
VPD*WS,35.266383097841754,0.06524362000562434
rho_moist,32.70575844330233,0.05586811784263013
h*cosTOD,31.756803594325902,0.05432409297724128
RH,21.21151610488596,0.03438688384971833
Tv_K,20.137389677172905,0.037723199543401975
Tdew,18.026286176296708,0.03408908298026603
SR*Ta,17.07992057404408,0.024324589841942412
uzonal,16.70565716658166,0.02736705466925926
h*Pr,16.195861094183783,0.03054848835388846
SRxWS,11.461104537669598,0.018096493875757957
v*VPD,8.73114751795947,0.012849295275058736
WD,6.881953793370485,0.0013211642192416662
vmerid,6.821021968476998,0.008519817466662971
SR*HODsin,6.364258662495558,0.0011760969006662236
AUC_dry,4.722315253027773,0.0010259819658866576
Tair,4.179766110359196,0.006387051316314896
SR,4.109699382701365,0.0008248030390056726
rate*Ta,3.7413409451582993,0.0045757745363257385
es,3.4141600104630925,0.003329165036017656
asinh_Ts,2.8134824159023992,0.0029264922653258196
wmix,2.72360827508237,0.0021951379392959325
h*v,2.559915776226262,0.0010904813427625726
h*sinTOD,2.1108552977020736,-0.005490026622489097
h_ASINH_cm,1.377205227039667,0.0008975327333864414
SR*Ts,0.9974228781247803,-0.007695981132215479
rate_P,0.7880365854980482,-0.0063486814564921445
Patm,0.6593159847252537,-0.0013073725036480965
SR*u,0.5166732253564987,-0.004750779994843413
depth,0.49725690453487914,-0.00027934291015796475
rate*Ts,0.4143041627467028,-0.002141048137522361
q,0.1347451822293806,-0.0031401291838104584
h*Ts,0.13076487903526868,-0.007255406978597279
rate,-0.613983495037246,-0.0026603324581753185
WS,-0.6178005545953056,-0.002768078744583846
h*u,-0.62568645608917,-0.006768345378230123
asinh_Ta,-0.955785299094714,-0.004212907484168582
asinh_P_kPa,-1.0185776081125368,-0.004750841584531429
asinh_rate_h,-1.4251054271953763,-0.005316015648226369
h_inv,-1.4516961930821708,-0.0047565883153701805
asinh_WS,-1.649995037525514,-0.007284269017219458
hwet,-2.512175819167169,-0.008029007063479199
dayhr,-2.811544420037535,-0.018228257911967916
h*WS,-2.908951201403397,-0.009624791353990858
SR*v,-3.1641817847121274,-0.010607023396197235
asinh_SR,-4.667834814776143,-0.016127594480968455
q*WS,-7.28795205930146,-0.021810019559660887
