predictor,perm_RMSE_increase
Tair,2300.3603968949374
Tv_K,1615.8309399349728
Tsoil,706.1351835085607
buoy_TsTa,328.25989469996
h*Pr,143.6487735568884
depth,130.65514705561148
es,127.38132953356626
VPD,87.07096199053298
q/rho,71.50913709513583
rho_moist,44.29076916572793
asinh_Ts,31.451322950003735
asinh_P_kPa,19.76376891714259
asinh_Ta,13.006400877811842
h_ASINH_cm,10.337990116590454
Patm,8.41494189923106
RH,6.772742387899129
Tdew,3.5604563566023413
SR*Ta,3.2007923581446582
q,2.8046359659456583
h*VPD,2.319195713718051
AUC_wet,1.8189767877677006
SR*Ts,1.7580545409607669
VPD*WS,1.6243402097312667
h*Ta,1.1657190480362245
SR*VPD,0.8371462229600364
u*VPD,0.6623045093228002
wmix,0.6465838323324387
uzonal,0.6064128645769888
VPD*WS*d1sin,0.4941136325923474
h*Ts,0.40680966895104564
asinh_rate_h,0.3660997784851663
SR,0.33459762923325753
rate*Ta,0.3299664771619679
SRxWS,0.2653401343572934
rate*Ts,0.25929826102234044
vmerid,0.22702213887716471
v*VPD,0.20383152663026616
SR*HODsin,0.18821990850969605
rate,0.18700898941132005
hwet,0.16792262637826205
h*cosTOD,0.1533279631732669
asinh_WS,0.1421476998381439
dayhr,0.10379079450504225
h*v,0.07711381109215898
AUC_dry,0.061443655327611424
h*sinTOD,0.048398211381223355
WD,0.03394484108519924
WS,0.029051397003560187
h*u,0.02633330272721013
h*WS,0.014336715492040852
q*WS,0.013266368167767606
SR*u,0.00965470346405839
rate_P,0.008500961394283468
SR*v,0.006226647963284204
asinh_SR,0.004249428776253339
h_inv,0.00048726134417576006
