predictor,observed_importance,null_mean,null_std,pimp_p_value,pimp_significant
Tair,2300.3603968949374,1349.2099923442993,1088.482104280285,0.208955223880597,False
Tv_K,1615.8309399349728,1461.5357222487135,1216.4726683873582,0.373134328358209,False
Tsoil,706.1351835085607,220.95060580631943,166.12462441203635,0.01990049751243781,True
buoy_TsTa,328.25989469996,102.27979558646297,78.46620447941326,0.01990049751243781,True
h*Pr,143.6487735568884,27.55771263638399,22.87555391209152,0.004975124378109453,True
depth,130.65514705561148,29.18663331083937,23.559353973899267,0.004975124378109453,True
es,127.38132953356626,139.9288228391681,114.01577464444293,0.4626865671641791,False
VPD,87.07096199053298,75.60656435089543,62.79792986691812,0.35323383084577115,False
q/rho,71.50913709513583,87.39687437582387,74.51312690210041,0.4925373134328358,False
rho_moist,44.29076916572793,69.03696196819203,50.61674837204944,0.6218905472636815,False
asinh_Ts,31.451322950003735,8.401892281254222,8.09260564538465,0.01990049751243781,True
asinh_P_kPa,19.76376891714259,15.060472210772792,12.249242344750908,0.3034825870646766,False
asinh_Ta,13.006400877811842,6.766778912861435,9.376226269389733,0.14427860696517414,False
h_ASINH_cm,10.337990116590454,2.1326870856786315,2.321138057120128,0.009950248756218905,True
Patm,8.41494189923106,24.104979656757887,19.32769019366439,0.7562189054726368,False
RH,6.772742387899129,2.1988413796954727,2.973912466425393,0.08955223880597014,False
Tdew,3.5604563566023413,12.412498453569656,11.128826118904044,0.7512437810945274,False
SR*Ta,3.2007923581446582,1.2034654698652056,1.3090387720028953,0.0845771144278607,False
q,2.8046359659456583,7.959118365366368,8.145331223587137,0.6567164179104478,False
h*VPD,2.319195713718051,0.08629718780650025,0.10657329514908746,0.004975124378109453,True
AUC_wet,1.8189767877677006,0.036623288535360364,0.036206549776450235,0.004975124378109453,True
SR*Ts,1.7580545409607669,1.6920053503399475,1.8770076764383088,0.3582089552238806,False
VPD*WS,1.6243402097312667,0.16584902641378896,0.18783289767708605,0.004975124378109453,True
h*Ta,1.1657190480362245,0.9214089490223235,0.9651889105730816,0.2736318407960199,False
SR*VPD,0.8371462229600364,0.17915225060851142,0.26043910298350903,0.029850746268656716,True
u*VPD,0.6623045093228002,0.03672303993966263,0.04287534949895319,0.004975124378109453,True
wmix,0.6465838323324387,8.863955302636576,8.224590454967597,0.8855721393034826,False
uzonal,0.6064128645769888,0.06101715535653028,0.056330722166303034,0.004975124378109453,True
VPD*WS*d1sin,0.4941136325923474,0.031343503383747424,0.04074902124708671,0.004975124378109453,True
h*Ts,0.40680966895104564,0.8706851844558072,0.8398089723347182,0.5870646766169154,False
asinh_rate_h,0.3660997784851663,0.13917149816850893,0.3839791970949781,0.07960199004975124,False
SR,0.33459762923325753,0.481552293358682,0.6033536169904162,0.44776119402985076,False
rate*Ta,0.3299664771619679,0.1164753882467991,0.1702955277408628,0.10945273631840796,False
SRxWS,0.2653401343572934,0.06389418290168206,0.08948106970942081,0.01990049751243781,True
rate*Ts,0.25929826102234044,0.14974456945856435,0.23476582217731412,0.19402985074626866,False
vmerid,0.22702213887716471,0.05856784973349852,0.0694424670287866,0.03482587064676617,True
v*VPD,0.20383152663026616,0.049348309251171785,0.059490370382037305,0.01990049751243781,True
SR*HODsin,0.18821990850969605,0.029761380687344192,0.03219658592462514,0.004975124378109453,True
rate,0.18700898941132005,0.1330707955633773,0.3816362524010948,0.15422885572139303,False
hwet,0.16792262637826205,4.906991254270398,5.603046487811444,0.9253731343283582,False
h*cosTOD,0.1533279631732669,0.05593830777322199,0.0729853476921402,0.06965174129353234,False
asinh_WS,0.1421476998381439,0.44748762292246497,0.7912801571000673,0.582089552238806,False
dayhr,0.10379079450504225,0.04528301502271073,0.043871066016000694,0.0845771144278607,False
h*v,0.07711381109215898,0.024531630370143956,0.02789331117781998,0.05472636815920398,False
AUC_dry,0.061443655327611424,0.05401079444227421,0.0709629944243867,0.27860696517412936,False
h*sinTOD,0.048398211381223355,0.04839036503960699,0.07515198429236217,0.31343283582089554,False
WD,0.03394484108519924,0.013241694950366454,0.015214811538737284,0.07462686567164178,False
WS,0.029051397003560187,0.3948751407106801,0.8703833343120577,0.7960199004975125,False
h*u,0.02633330272721013,0.027278241069354617,0.03340520931995289,0.3681592039800995,False
h*WS,0.014336715492040852,0.05382173892138767,0.06039781805515148,0.7213930348258707,False
q*WS,0.013266368167767606,0.10594461175358273,0.13907990236120968,0.7661691542288557,False
SR*u,0.00965470346405839,0.0265359801903547,0.039563852102927705,0.6467661691542289,False
rate_P,0.008500961394283468,0.0029238364006984384,0.005404626859105173,0.13930348258706468,False
SR*v,0.006226647963284204,0.016800270993393266,0.02173207034612574,0.6666666666666666,False
asinh_SR,0.004249428776253339,0.21477976290898504,0.2724799518865166,0.9651741293532339,False
h_inv,0.00048726134417576006,0.0013602393006404245,0.007419301444748352,0.46766169154228854,False
