predictor,p_value
dayhr,0.3111464754529021
depth,5.454206391752869e-06
AUC_dry,0.0006397006793664728
AUC_wet,1.1102230246251565e-16
rate,0.5398431414117304
Tair,7.869579654595782e-08
Tsoil,1.1102230246251565e-16
SR,0.03164368887589741
Patm,9.878764473114643e-13
WS,0.9007762899079782
WD,0.011471124255306608
RH,5.730827579153441e-08
es,9.847440959331877e-07
VPD,1.1102230246251565e-16
rate_P,0.0739242269330993
Tdew,1.1102230246251565e-16
q,0.0013219923402411071
wmix,1.3127392632927837e-06
hwet,0.03372563218413849
h*Ta,1.1102230246251565e-16
h*Ts,0.3106432916135804
h*WS,0.8866168731350201
h*Pr,8.508160842524148e-11
h*VPD,1.1102230246251565e-16
Tv_K,1.1102230246251565e-16
rho_moist,3.013932214912529e-08
uzonal,0.00017108512558561273
vmerid,0.17296916881725843
buoy_TsTa,1.1102230246251565e-16
SRxWS,4.6444997681138744e-07
SR*u,0.23973493846120342
SR*v,0.1322791048306442
SR*VPD,1.1102230246251565e-16
VPD*WS,1.1102230246251565e-16
q*WS,0.9950456628337773
h_ASINH_cm,2.570369777910031e-06
h_inv,0.4514158889223313
u*VPD,1.1102230246251565e-16
v*VPD,5.038278462987655e-06
rate*Ta,0.21148499740383997
rate*Ts,0.4069446436107609
SR*Ta,8.469412590916825e-06
SR*Ts,0.11788825539332115
SR*HODsin,0.002636103099254661
VPD*WS*d1sin,1.1102230246251565e-16
q/rho,1.1102230246251565e-16
asinh_Ta,0.0033535232174837226
asinh_Ts,1.1102230246251565e-16
asinh_WS,0.4624519627292306
asinh_SR,0.8945402147073663
asinh_P_kPa,0.015783947433074874
asinh_rate_h,0.42140658088936056
h*sinTOD,0.0799389109358225
h*cosTOD,9.021480384951985e-06
h*u,0.2737431463721699
h*v,0.30637023302190747
