predictor,n_hits,n_iterations,hit_rate,boruta_decision,boruta_important,mean_importance,mean_shadow_max
AUC_wet,20,100,0.2,Confirmed,True,0.5218975164282386,0.016083960381477202
h*Pr,20,100,0.2,Confirmed,True,0.23826892331492522,0.016083960381477202
Tv_K,20,100,0.2,Confirmed,True,0.06188152001557382,0.016083960381477202
VPD*WS,15,100,0.15,Confirmed,True,0.019902994467572776,0.016083960381477202
WD,22,100,0.22,Confirmed,True,0.017282376684273692,0.016083960381477202
u*VPD,55,100,0.55,Confirmed,True,0.01622072102472407,0.016083960381477202
vmerid,48,100,0.48,Tentative,False,0.014500666522751662,0.016083960381477202
uzonal,4,100,0.04,Rejected,False,0.010509888395953846,0.016083960381477202
SR*HODsin,0,100,0.0,Rejected,False,0.009132116064312983,0.016083960381477202
VPD*WS*d1sin,0,100,0.0,Rejected,False,0.006224987887446438,0.016083960381477202
