predictor,delta_AIC,delta_GCV
AUC_wet,563.048531757071,1.4823006787241333
h*Pr,104.31677279873111,0.265285160108764
buoy_TsTa,74.45395031002408,0.17909433984022982
depth,63.49958922760561,0.16028673664606075
SR*v,62.18357491050847,0.1487842600395588
SR*u,18.357451471601962,0.040078609237614415
SR*Ta,17.560833104238554,0.032119651183968756
uzonal,17.146682010228687,0.03522896173771173
dayhr,16.82380526502675,0.026546995718856436
WD,15.336453146119311,0.022860427789677118
h*v,15.034521797315392,0.02882571106676224
vmerid,14.039794529620849,0.025956237372263047
es,13.842476211444591,0.031717885065088325
h_inv,11.746341286794632,0.02428899830702491
h*Ta,9.565528779821761,0.016418987467361035
h*sinTOD,9.089215422820416,0.013838725213460634
SR*VPD,8.285979973807116,0.007105062123102357
q/rho,8.25253954656364,0.0190439578238788
asinh_rate_h,7.135069002993987,0.013855015390543457
SR*HODsin,6.957524984354677,0.0031861761419094137
VPD,6.85232886394806,0.007688332371280637
SR*Ts,6.708714799868176,0.004421254824716669
VPD*WS,6.410480673883285,0.005935555061292064
SR,5.967854521026311,0.0059317250642472175
Tv_K,5.415351570387429,0.011792082842504215
h*u,5.23747533387359,0.008517459335596556
Tair,4.8378872986577335,0.011296475720701693
rho_moist,4.324185166675306,0.0013520156812383277
Tsoil,3.5395385218434967,0.005056895916350612
RH,2.0383726292056963,-0.006660588810429857
Tdew,1.8742194175574696,0.0018236519531775741
asinh_SR,1.201234253916482,-0.005467206698234861
wmix,1.1285124169517076,0.0022867815323657226
q,0.5281737347395392,0.0005808267878677498
Patm,0.27816413933760487,-0.00015329167574407165
asinh_P_kPa,0.1567945454880828,-0.0004551828658279078
h*cosTOD,0.040406705789791886,-0.008138437732693404
asinh_Ts,-0.08432126605475787,-0.0032839103958721694
h*WS,-0.17022118431486888,-0.006247086692507509
v*VPD,-0.36964519911271054,-0.010859085898214715
WS,-0.4762370714233839,-0.0039704549037153924
rate,-0.5089579454506747,-0.0029103824342726625
SRxWS,-0.9448397589076194,-0.009562148407603388
h*Ts,-1.2780643352525658,-0.010652257302634638
asinh_WS,-1.4348549006972462,-0.008227063575727556
h*VPD,-1.474737688578898,-0.01727840307087547
asinh_Ta,-1.531755797470396,-0.007766833268377127
u*VPD,-1.73679710203578,-0.013446804480832242
rate*Ts,-2.3654077579194563,-0.009445284337470383
h_ASINH_cm,-2.4158207334112376,-0.010858496507538007
rate*Ta,-2.5332281004666584,-0.009564338281322193
q*WS,-4.519659609046357,-0.02487059215597398
rate_P,-4.751612046777154,-0.021251045300100913
VPD*WS*d1sin,-5.821797103701101,-0.02704433736921885
