predictor,perm_RMSE_increase
Tv_K,3299.2394573721085
Tair,2413.788706474411
Tsoil,331.28261574325865
es,325.13078635905543
asinh_P_kPa,281.0924198011041
h*Pr,267.7401893767623
Patm,265.7567355868206
depth,264.6252037874771
VPD,183.01387940947643
buoy_TsTa,173.729259052038
q/rho,128.7957030438553
rho_moist,81.6579618928491
wmix,62.221726300568804
q,22.501498229962415
asinh_Ts,8.27954452965015
SR,3.616909534948998
RH,2.807852287019785
h_ASINH_cm,2.402454860452068
SR*Ts,1.705102173195875
AUC_wet,1.4071987176674026
SR*Ta,1.3362084019585372
h*Ts,0.46148774566328976
SR*VPD,0.4359869697096106
h_inv,0.3262742653445838
VPD*WS,0.2501056687166696
uzonal,0.22812905586079113
Tdew,0.2210323535865233
SR*v,0.18638218423066144
WS,0.16799462455161374
q*WS,0.16588694418074557
vmerid,0.12585632345179354
SRxWS,0.10489543002013679
h*WS,0.09887357635046934
asinh_WS,0.0834726667348149
h*Ta,0.08167210406367076
h*v,0.0713595322971643
h*sinTOD,0.06612848771395852
h*u,0.053787471043139856
asinh_SR,0.05221867939090741
WD,0.05151706710683124
h*cosTOD,0.049567118787622544
h*VPD,0.049205449763744635
dayhr,0.048483751923127816
rate*Ts,0.043217770796594834
SR*u,0.03669938977320886
u*VPD,0.026754942789788405
VPD*WS*d1sin,0.026273540120944183
rate,0.02311803779289212
asinh_rate_h,0.013814925984382942
v*VPD,0.013039311519951191
asinh_Ta,0.00981850508739468
SR*HODsin,0.008029411793568642
rate*Ta,0.0048560551364191795
rate_P,0.0018189948699145475
