predictor,n_hits,n_iterations,hit_rate,boruta_decision,boruta_important,mean_importance,mean_shadow_max
Tv_K,20,100,0.2,Confirmed,True,0.5166291670732833,0.006132225810268901
AUC_wet,20,100,0.2,Confirmed,True,0.21459288645737448,0.006132225810268901
asinh_P_kPa,20,100,0.2,Confirmed,True,0.024064792404181055,0.006132225810268901
dayhr,20,100,0.2,Confirmed,True,0.02009377364500092,0.006132225810268901
WD,20,100,0.2,Confirmed,True,0.019690333659083178,0.006132225810268901
SR,20,100,0.2,Confirmed,True,0.019318439485301816,0.006132225810268901
SR*HODsin,20,100,0.2,Confirmed,True,0.015786145647636415,0.006132225810268901
SR*u,20,100,0.2,Confirmed,True,0.011276647571011687,0.006132225810268901
SR*v,20,100,0.2,Confirmed,True,0.010946522982345086,0.006132225810268901
u*VPD,20,100,0.2,Confirmed,True,0.00904680691639454,0.006132225810268901
rate_P,20,100,0.2,Confirmed,True,0.00895749975587281,0.006132225810268901
h*sinTOD,20,100,0.2,Confirmed,True,0.008454150766428543,0.006132225810268901
VPD*WS*d1sin,20,100,0.2,Confirmed,True,0.008088629820553217,0.006132225810268901
v*VPD,20,100,0.2,Confirmed,True,0.007777944272690952,0.006132225810268901
h*cosTOD,20,100,0.2,Confirmed,True,0.007094646393046205,0.006132225810268901
vmerid,58,100,0.58,Tentative,False,0.006144062633616109,0.006132225810268901
h*Pr,0,100,0.0,Rejected,False,0.0038637544340993342,0.006132225810268901
h_inv,0,100,0.0,Rejected,False,0.0034418462602627854,0.006132225810268901
