predictor,pimp_significant,pimp_p_value,boruta_important,boruta_decision,boruta_hit_rate,consensus,consensus_important,perm_importance
AUC_wet,True,0.004975124378109453,True,Confirmed,0.2,Confirmed,True,2.061099314995338
Tv_K,True,0.004975124378109453,True,Confirmed,0.2,Confirmed,True,1.7517640442137985
SR,True,0.01990049751243781,True,Confirmed,0.2,Confirmed,True,0.16147078812807703
h*Pr,False,0.21393034825870647,False,Rejected,0.0,Rejected,False,0.14456494098798078
SR*v,True,0.004975124378109453,True,Confirmed,0.2,Confirmed,True,0.13397954485865782
asinh_P_kPa,True,0.004975124378109453,True,Confirmed,0.2,Confirmed,True,0.12357508399393247
h_inv,True,0.004975124378109453,False,Rejected,0.0,Supported,True,0.11805393298225297
h*sinTOD,False,0.07960199004975124,True,Confirmed,0.2,Supported,True,0.10051506709707958
WD,True,0.004975124378109453,True,Confirmed,0.2,Confirmed,True,0.0885654018164006
dayhr,False,0.0845771144278607,True,Confirmed,0.2,Supported,True,0.08350797444452329
v*VPD,True,0.03482587064676617,True,Confirmed,0.2,Confirmed,True,0.05730987344984673
SR*HODsin,False,0.14925373134328357,True,Confirmed,0.2,Supported,True,0.04493165617797246
vmerid,False,0.1044776119402985,False,Tentative,0.58,Rejected,False,0.04161832958497147
VPD*WS*d1sin,False,0.3383084577114428,True,Confirmed,0.2,Supported,True,0.0317041234905
SR*u,True,0.03980099502487562,True,Confirmed,0.2,Confirmed,True,0.031265922746723795
h*cosTOD,False,0.4129353233830846,True,Confirmed,0.2,Supported,True,0.024313771403916107
u*VPD,False,0.6268656716417911,True,Confirmed,0.2,Supported,True,0.011927994624555183
rate_P,False,0.07960199004975124,True,Confirmed,0.2,Supported,True,0.007908691730365014
