predictor,observed_importance,null_mean,null_std,pimp_p_value,pimp_significant
AUC_wet,2.061099314995338,0.012472901764719584,0.017265353345718965,0.004975124378109453,True
Tv_K,1.7517640442137985,0.01118378175448552,0.017150045831920473,0.004975124378109453,True
SR,0.16147078812807703,0.03315616063948442,0.05420486371845391,0.01990049751243781,True
h*Pr,0.14456494098798078,0.09353451549736137,0.13475796244045884,0.21393034825870647,False
SR*v,0.13397954485865782,0.009180829576669769,0.012890160786498309,0.004975124378109453,True
asinh_P_kPa,0.12357508399393247,0.001733270919834511,0.00752970536201267,0.004975124378109453,True
h_inv,0.11805393298225297,0.008714450818426313,0.014892902888410933,0.004975124378109453,True
h*sinTOD,0.10051506709707958,0.039583457618583257,0.044669308480922716,0.07960199004975124,False
WD,0.0885654018164006,0.009297614487729833,0.014119106492443027,0.004975124378109453,True
dayhr,0.08350797444452329,0.031436828572102796,0.03147695279836154,0.0845771144278607,False
v*VPD,0.05730987344984673,0.014682351180063988,0.017601736940496267,0.03482587064676617,True
SR*HODsin,0.04493165617797246,0.019759955353473795,0.0265529628635579,0.14925373134328357,False
vmerid,0.04161832958497147,0.014376618202042994,0.018424800837513897,0.1044776119402985,False
VPD*WS*d1sin,0.0317041234905,0.029454362174003875,0.03572054707264999,0.3383084577114428,False
SR*u,0.031265922746723795,0.009736241682538891,0.011313612425173909,0.03980099502487562,True
h*cosTOD,0.024313771403916107,0.03545594068254587,0.05104984954631184,0.4129353233830846,False
u*VPD,0.011927994624555183,0.025884610987095952,0.029974135512087555,0.6268656716417911,False
rate_P,0.007908691730365014,0.0009508560543193978,0.005400717762288455,0.07960199004975124,False
