predictor,n_hits,n_iterations,hit_rate,boruta_decision,boruta_important,mean_importance,mean_shadow_max
AUC_dry,20,100,0.2,Confirmed,True,0.4397435554901356,0.006644444188745403
VPD,20,100,0.2,Confirmed,True,0.07092026437026096,0.006644444188745403
RH,20,100,0.2,Confirmed,True,0.043021014156957325,0.006644444188745403
h_inv,20,100,0.2,Confirmed,True,0.03546874714622386,0.006644444188745403
SR*u,20,100,0.2,Confirmed,True,0.03336811074927097,0.006644444188745403
VPD*WS,20,100,0.2,Confirmed,True,0.026414762082952205,0.006644444188745403
Tv_K,20,100,0.2,Confirmed,True,0.022956526908856186,0.006644444188745403
rho_moist,20,100,0.2,Confirmed,True,0.016445038955578802,0.006644444188745403
SR*VPD,19,100,0.19,Confirmed,True,0.013840762414305152,0.006644444188745403
Tair,19,100,0.19,Confirmed,True,0.01026359589387369,0.006644444188745403
asinh_Ta,19,100,0.19,Confirmed,True,0.010154087267505559,0.006644444188745403
es,19,100,0.19,Confirmed,True,0.010122108761457763,0.006644444188745403
h*sinTOD,19,100,0.19,Confirmed,True,0.009835692019900054,0.006644444188745403
SRxWS,17,100,0.17,Confirmed,True,0.008089081656063283,0.006644444188745403
uzonal,18,100,0.18,Confirmed,True,0.007915518195595678,0.006644444188745403
u*VPD,48,100,0.48,Tentative,False,0.0064114028387687845,0.006644444188745403
Patm,0,100,0.0,Rejected,False,0.004507306382384582,0.006644444188745403
h*u,0,100,0.0,Rejected,False,0.004503571246901029,0.006644444188745403
buoy_TsTa,0,100,0.0,Rejected,False,0.004369103895839732,0.006644444188745403
WD,0,100,0.0,Rejected,False,0.003947650571827974,0.006644444188745403
Tsoil,0,100,0.0,Rejected,False,0.0038032698812417703,0.006644444188745403
SR*v,0,100,0.0,Rejected,False,0.003795532623697771,0.006644444188745403
asinh_Ts,0,100,0.0,Rejected,False,0.00377137886970691,0.006644444188745403
rate_P,0,100,0.0,Rejected,False,0.0036595326423426743,0.006644444188745403
VPD*WS*d1sin,0,100,0.0,Rejected,False,0.003585226934731377,0.006644444188745403
h*cosTOD,0,100,0.0,Rejected,False,0.0035540082418125617,0.006644444188745403
q*WS,0,100,0.0,Rejected,False,0.003197038246439469,0.006644444188745403
Tdew,0,100,0.0,Rejected,False,0.0030132792365890927,0.006644444188745403
v*VPD,0,100,0.0,Rejected,False,0.0026900012136437256,0.006644444188745403
SR*HODsin,0,100,0.0,Rejected,False,0.002652106284358491,0.006644444188745403
vmerid,0,100,0.0,Rejected,False,0.00243023036869648,0.006644444188745403
q/rho,0,100,0.0,Rejected,False,0.002382500513508832,0.006644444188745403
AUC_wet,0,100,0.0,Rejected,False,0.0021992538857375683,0.006644444188745403
h*v,0,100,0.0,Rejected,False,0.00217612138979459,0.006644444188745403
asinh_P_kPa,0,100,0.0,Rejected,False,0.0020037258362779584,0.006644444188745403
h*VPD,0,100,0.0,Rejected,False,0.001789397585215802,0.006644444188745403
h*Ts,0,100,0.0,Rejected,False,0.0017877411907246262,0.006644444188745403
asinh_WS,0,100,0.0,Rejected,False,0.0017386479818662568,0.006644444188745403
WS,0,100,0.0,Rejected,False,0.0017262376346927613,0.006644444188745403
h*Ta,0,100,0.0,Rejected,False,0.0016931525290168697,0.006644444188745403
h*WS,0,100,0.0,Rejected,False,0.0016928308712272186,0.006644444188745403
dayhr,0,100,0.0,Rejected,False,0.0016345813398990967,0.006644444188745403
h*Pr,0,100,0.0,Rejected,False,0.00137978410608668,0.006644444188745403
h_ASINH_cm,0,100,0.0,Rejected,False,0.0013571630790720954,0.006644444188745403
depth,0,100,0.0,Rejected,False,0.0013399706092338233,0.006644444188745403
rate*Ts,0,100,0.0,Rejected,False,0.0012542036360326165,0.006644444188745403
rate*Ta,0,100,0.0,Rejected,False,0.0011836598825260324,0.006644444188745403
SR*Ts,0,100,0.0,Rejected,False,0.0011807125231584406,0.006644444188745403
asinh_rate_h,0,100,0.0,Rejected,False,0.0010574602675404367,0.006644444188745403
rate,0,100,0.0,Rejected,False,0.0010481156710833927,0.006644444188745403
wmix,0,100,0.0,Rejected,False,0.001044461402684367,0.006644444188745403
q,0,100,0.0,Rejected,False,0.0009419127917028795,0.006644444188745403
SR,0,100,0.0,Rejected,False,0.000752046376863299,0.006644444188745403
asinh_SR,0,100,0.0,Rejected,False,0.0007433072197908552,0.006644444188745403
SR*Ta,0,100,0.0,Rejected,False,0.0007183073580676591,0.006644444188745403
hwet,0,100,0.0,Rejected,False,0.0006896605750577532,0.006644444188745403
