predictor,delta_AIC,delta_GCV
AUC_dry,869.8696043716864,2.6077435591608484
AUC_wet,87.82111115520456,0.21858651962346443
hwet,50.41462340098769,0.12406933177582946
h*VPD,31.113386162038296,0.07223252408384173
SR*Ts,30.587265113212197,0.07041459658019722
h_ASINH_cm,30.136782492891143,0.07499695533406481
h_inv,24.470756979922953,0.05471586083443025
h*Ta,22.184705954638048,0.05143888077590297
SR*HODsin,17.48339342489089,0.03131969837060211
h*Ts,9.43559318779262,0.018612119165703156
SR*v,9.211676177943446,0.01492892068309537
h*WS,7.585074988810447,0.011881176889381173
q/rho,7.149502211022991,0.010825392017929758
rho_moist,7.013007514522542,0.005102699392692145
h*v,5.4551237471278,0.005928630253702494
depth,3.8407734738721047,0.006470478001903146
h*Pr,3.481020750112293,0.005518597198766351
u*VPD,3.4421794870668236,-0.0004372617241266141
WD,3.0014303505904536,-0.0069851001236092
asinh_P_kPa,2.8723560444068426,0.003082000381758654
SR*Ta,2.7520612262014765,0.0008213033335913167
h*sinTOD,2.189868255487454,-0.004955072023896001
Tair,1.7385177320520597,0.0020948821121544725
v*VPD,1.5197950562978804,-0.003138325823622168
rate*Ta,1.4161919210309861,-0.0002085959686786154
SRxWS,1.1036358140008815,-0.007722828202581411
Tv_K,1.0047144283998932,-0.00024210106539079845
asinh_WS,0.7738082960077008,-0.0022325697253924304
q*WS,0.5245987995313044,-0.010703970131540785
rate*Ts,0.4148086079167115,-0.003103659943964665
RH,0.08242981449984654,-0.0052841822788805
VPD*WS*d1sin,-0.1736751486241701,-0.013993361785810343
Tdew,-0.3233006086866226,-0.00400154175826728
SR,-0.7826794334068836,-0.009642822566177323
asinh_rate_h,-0.8068957556770329,-0.005394943241148198
q,-0.8752628647598613,-0.00811043103263831
Patm,-1.2027676035540935,-0.007271140484830241
rate,-1.2412726825514255,-0.005139458758932847
vmerid,-1.2819726555226225,-0.011597778746246235
es,-1.5063313692189695,-0.006699657806293224
VPD*WS,-1.580193807832984,-0.014483866247118726
asinh_Ta,-1.6188580309208191,-0.006555365536821789
wmix,-1.8602312784641981,-0.010589400041807195
VPD,-1.871520776534453,-0.009787202755168423
h*u,-2.0626257104904653,-0.015268699285529763
asinh_Ts,-2.134494369580352,-0.008751813015368981
WS,-2.1424325829975714,-0.008957712939461793
Tsoil,-2.4758947108130087,-0.011400155928606992
uzonal,-3.5943757874811126,-0.0199275114439299
h*cosTOD,-3.8273515649543697,-0.020293833057558608
rate_P,-4.259804369028643,-0.027183733172032376
asinh_SR,-4.355627325043315,-0.0186951292447306
SR*VPD,-4.580967316756869,-0.023685612798753475
dayhr,-5.120998888023678,-0.028643301751644756
SR*u,-5.38835491899772,-0.023238317227582073
buoy_TsTa,-7.048679847148378,-0.03444833190661001
