predictor,perm_RMSE_increase
Tv_K,1426.8365891892436
Tair,1172.9510620779051
Tsoil,206.54873833467863
es,204.6441966597821
VPD,194.5366723735877
depth,187.77112427031668
h*Pr,177.45128002098988
buoy_TsTa,104.49398224907786
asinh_Ta,34.43193752382971
q/rho,33.50929511428191
SR*Ts,27.201566162342754
SR*Ta,20.531099489175464
asinh_Ts,17.698874977597292
RH,8.65771091032071
h*Ts,7.8786210812455275
asinh_P_kPa,7.565331292876087
Patm,5.806353589944012
hwet,3.3007759858380714
SR,3.1615837537652416
h*Ta,2.419708849625281
h_ASINH_cm,1.789041127898101
AUC_dry,1.419120874678364
h*VPD,1.3160010113679395
q,1.1648268955306262
q*WS,1.112037127916932
SR*VPD,0.920499150787828
Tdew,0.9178698370040186
wmix,0.8433137564587483
WS,0.7304183793437451
rate*Ts,0.7006731207693395
rate*Ta,0.6437088755813933
asinh_SR,0.4395860623615677
SRxWS,0.38585333562848234
rho_moist,0.3581771225691268
h*WS,0.2275213342941811
SR*v,0.17489209064551403
SR*HODsin,0.16383070391414822
vmerid,0.16239164199744405
asinh_rate_h,0.14899012684019564
u*VPD,0.10620631531272817
h_inv,0.10482242570221256
AUC_wet,0.0924710453529034
rate,0.07623469905537839
WD,0.06349994366454048
uzonal,0.0631427873007242
h*v,0.05760395052995637
dayhr,0.05561292116598082
v*VPD,0.04835011336888506
VPD*WS,0.03242331809683918
asinh_WS,0.030835707815302094
h*u,0.021577321496244473
SR*u,0.01766577452127205
h*cosTOD,0.01380421928359521
h*sinTOD,0.013541000816546855
rate_P,0.003640880811874858
VPD*WS*d1sin,-0.00847369922724095
