predictor,p_value
dayhr,0.7518082080778574
depth,1.5216716775512396e-12
AUC_dry,1.1102230246251565e-16
AUC_wet,3.3306690738754696e-16
rate,0.7435924472122877
Tair,2.349714769800393e-05
Tsoil,0.9363677542243698
SR,0.04661787906746706
Patm,0.15605683439404205
WS,0.7656432293518286
WD,0.03212423499871775
RH,0.09729854711394414
es,0.8294107432722451
VPD,0.2703258376205764
rate_P,0.49318413481356504
Tdew,0.5456445850347489
q,0.6926762516510359
wmix,0.6924551375334291
hwet,1.1102230246251565e-16
h*Ta,2.2438681379632897e-07
h*Ts,0.00015686322582353363
h*WS,0.021903427026785605
h*Pr,4.5579540142171027e-11
h*VPD,7.612583803329187e-07
Tv_K,0.0036559202528131385
rho_moist,0.0066322907209793724
uzonal,0.7199645794431218
vmerid,0.4812858114472972
buoy_TsTa,0.5447657369154666
SRxWS,0.13052290390927657
SR*u,0.9645198365819904
SR*v,0.002806209184687436
SR*VPD,0.5756914643092622
VPD*WS,0.30960144941479495
q*WS,0.36367771124014325
h_ASINH_cm,1.1102230246251565e-16
h_inv,3.774758283725532e-15
u*VPD,0.11665171218935877
v*VPD,0.05679702853972457
rate*Ta,0.18067685554120017
rate*Ts,0.2703485238960204
SR*Ta,0.03142174198011738
SR*Ts,8.326950351467133e-09
SR*HODsin,0.00037588310557379323
VPD*WS*d1sin,0.08108080253882177
q/rho,0.027523811586491753
asinh_Ta,0.39585731147395675
asinh_Ts,0.5860442362251588
asinh_WS,0.19192485910229262
asinh_SR,0.0777376115855185
asinh_P_kPa,0.060746360577113245
asinh_rate_h,0.5371426979232505
h*sinTOD,0.1883229833487483
h*cosTOD,0.7277721399151826
h*u,0.4036143213731578
h*v,0.010218824536635807
