predictor,pimp_significant,pimp_p_value,boruta_important,boruta_decision,boruta_hit_rate,consensus,consensus_important,perm_importance
hwet,True,0.004975124378109453,False,Rejected,0.0,Supported,True,7.14805198576356
h_ASINH_cm,True,0.004975124378109453,False,Rejected,0.01,Supported,True,5.459543601271232
AUC_dry,True,0.004975124378109453,True,Confirmed,0.2,Confirmed,True,2.4333831293322308
h*VPD,True,0.004975124378109453,False,Rejected,0.0,Supported,True,1.1054024250604164
Tv_K,True,0.004975124378109453,True,Confirmed,0.2,Confirmed,True,0.28837846109862
SR*Ts,True,0.014925373134328358,True,Confirmed,0.2,Confirmed,True,0.059840803523031116
SR*HODsin,True,0.004975124378109453,False,Tentative,0.49,Supported,True,0.0516283985671504
uzonal,True,0.004975124378109453,True,Confirmed,0.2,Confirmed,True,0.04190498353963035
h*sinTOD,False,0.44776119402985076,True,Confirmed,0.2,Supported,True,0.0037586880968398795
h_inv,False,0.945273631840796,True,Confirmed,0.2,Supported,True,-0.0033673588869977955
