predictor,n_hits,n_iterations,hit_rate,boruta_decision,boruta_important,mean_importance,mean_shadow_max
rho_moist,20,100,0.2,Confirmed,True,0.34927289299885794,0.004296211060846841
hbar*es,20,100,0.2,Confirmed,True,0.1594078916843442,0.004296211060846841
hbar_wet,20,100,0.2,Confirmed,True,0.06748623788198505,0.004296211060846841
hbar,20,100,0.2,Confirmed,True,0.054094010705601644,0.004296211060846841
asinh_Ts,20,100,0.2,Confirmed,True,0.021134151602305248,0.004296211060846841
Tsoil,20,100,0.2,Confirmed,True,0.020795547747700042,0.004296211060846841
h*VPD,20,100,0.2,Confirmed,True,0.01603454042369659,0.004296211060846841
hbar_wet*es,19,100,0.19,Confirmed,True,0.009222755434260736,0.004296211060846841
dayhr,19,100,0.19,Confirmed,True,0.008319331073327526,0.004296211060846841
h*Pr,19,100,0.19,Confirmed,True,0.008258381602838932,0.004296211060846841
SR*VPD,19,100,0.19,Confirmed,True,0.008197097320259467,0.004296211060846841
SR*v,19,100,0.19,Confirmed,True,0.007898382389370686,0.004296211060846841
WD,19,100,0.19,Confirmed,True,0.007648131705667466,0.004296211060846841
Tv_K,19,100,0.19,Confirmed,True,0.007305468323355258,0.004296211060846841
buoy_TsTa,19,100,0.19,Confirmed,True,0.007274131537545776,0.004296211060846841
DelTsa,19,100,0.19,Confirmed,True,0.0072156135132151415,0.004296211060846841
es,19,100,0.19,Confirmed,True,0.007209247935594268,0.004296211060846841
asinh_Ta,19,100,0.19,Confirmed,True,0.007101048988182377,0.004296211060846841
Tair,19,100,0.19,Confirmed,True,0.007098340498609888,0.004296211060846841
SR*Ts,19,100,0.19,Confirmed,True,0.006960292832632195,0.004296211060846841
h*WS,19,100,0.19,Confirmed,True,0.0069132408140934,0.004296211060846841
VPD,18,100,0.18,Confirmed,True,0.005924171089614343,0.004296211060846841
Patm,18,100,0.18,Confirmed,True,0.005864524242873571,0.004296211060846841
asinh_P_kPa,17,100,0.17,Confirmed,True,0.005492637551386856,0.004296211060846841
h*sinTOD,15,100,0.15,Confirmed,True,0.004864962432105125,0.004296211060846841
h_inv,22,100,0.22,Confirmed,True,0.004571043730685155,0.004296211060846841
h*DelTsa,56,100,0.56,Tentative,False,0.004256439224794919,0.004296211060846841
SR*HODsin,55,100,0.55,Tentative,False,0.004182455800272724,0.004296211060846841
u*VPD,52,100,0.52,Tentative,False,0.00404745134042046,0.004296211060846841
h*cosTOD,17,100,0.17,Rejected,False,0.003617178871831013,0.004296211060846841
v*VPD,9,100,0.09,Rejected,False,0.0034706833297665067,0.004296211060846841
ea,4,100,0.04,Rejected,False,0.003009736476655483,0.004296211060846841
Tdew,3,100,0.03,Rejected,False,0.0029993426382151477,0.004296211060846841
h*Ta,4,100,0.04,Rejected,False,0.002993128626701625,0.004296211060846841
h*Ts,4,100,0.04,Rejected,False,0.0029847924155657936,0.004296211060846841
SR*Ta,3,100,0.03,Rejected,False,0.0029594559901184336,0.004296211060846841
vmerid,3,100,0.03,Rejected,False,0.0029067020399760903,0.004296211060846841
SR*u,4,100,0.04,Rejected,False,0.0028892968617726506,0.004296211060846841
uzonal,2,100,0.02,Rejected,False,0.00274336898227272,0.004296211060846841
VPD*WS,2,100,0.02,Rejected,False,0.002700345987115318,0.004296211060846841
q/rho,2,100,0.02,Rejected,False,0.0026660939082143336,0.004296211060846841
q*WS,2,100,0.02,Rejected,False,0.002626674546685137,0.004296211060846841
VPD*WS*d1sin,2,100,0.02,Rejected,False,0.0025682042256231583,0.004296211060846841
rate_P,2,100,0.02,Rejected,False,0.0025390519909061996,0.004296211060846841
SRxWS,2,100,0.02,Rejected,False,0.002462616992640144,0.004296211060846841
RH,1,100,0.01,Rejected,False,0.0022510286312499104,0.004296211060846841
h*v,0,100,0.0,Rejected,False,0.002021437098278601,0.004296211060846841
SR,0,100,0.0,Rejected,False,0.0016181165724322047,0.004296211060846841
asinh_SR,0,100,0.0,Rejected,False,0.0016171082629557413,0.004296211060846841
h*u,0,100,0.0,Rejected,False,0.00159212057862783,0.004296211060846841
q,0,100,0.0,Rejected,False,0.0014730470756834546,0.004296211060846841
wmix,0,100,0.0,Rejected,False,0.0014189309896281762,0.004296211060846841
WS,0,100,0.0,Rejected,False,0.0012227062925075267,0.004296211060846841
asinh_WS,0,100,0.0,Rejected,False,0.0012139755246716075,0.004296211060846841
h_ASINH_cm,0,100,0.0,Rejected,False,0.0009919968146587762,0.004296211060846841
depth,0,100,0.0,Rejected,False,0.000980372625819502,0.004296211060846841
rate*Ts,0,100,0.0,Rejected,False,0.000870986528919463,0.004296211060846841
hwet,0,100,0.0,Rejected,False,0.0008209240376660628,0.004296211060846841
rate*Ta,0,100,0.0,Rejected,False,0.000817499888174382,0.004296211060846841
asinh_rate_h,0,100,0.0,Rejected,False,0.0007845005561948304,0.004296211060846841
rate,0,100,0.0,Rejected,False,0.0006524972696401671,0.004296211060846841
hdry,0,100,0.0,Rejected,False,0.0005402240065526473,0.004296211060846841
