predictor,pimp_significant,pimp_p_value,boruta_important,boruta_decision,boruta_hit_rate,consensus,consensus_important,perm_importance
es,True,0.014925373134328358,True,Confirmed,0.19,Confirmed,True,1994.8205395889952
ea,True,0.01990049751243781,False,Rejected,0.04,Supported,True,1607.4041605121768
VPD,True,0.014925373134328358,True,Confirmed,0.18,Confirmed,True,1268.5514784496531
h*Ts,False,0.6218905472636815,False,Rejected,0.04,Rejected,False,792.2259095913744
h*Ta,False,0.6218905472636815,False,Rejected,0.04,Rejected,False,766.8484922878778
Tv_K,False,0.8308457711442786,True,Confirmed,0.19,Supported,True,492.64383487332975
Tsoil,False,0.835820895522388,True,Confirmed,0.2,Supported,True,193.42378676006055
Tair,False,0.8109452736318408,True,Confirmed,0.19,Supported,True,188.25892140083414
h*DelTsa,False,0.6169154228855721,False,Tentative,0.56,Rejected,False,71.21272802346327
h*Pr,True,0.009950248756218905,True,Confirmed,0.19,Confirmed,True,63.88016392715037
q/rho,False,0.6368159203980099,False,Rejected,0.02,Rejected,False,61.414743834799246
DelTsa,False,0.8258706467661692,True,Confirmed,0.19,Supported,True,59.78572879103055
asinh_P_kPa,False,0.13432835820895522,True,Confirmed,0.17,Supported,True,54.65466732217936
rho_moist,False,0.582089552238806,True,Confirmed,0.2,Supported,True,42.6224644964746
hbar,True,0.004975124378109453,True,Confirmed,0.2,Confirmed,True,32.233981808568856
hdry,True,0.004975124378109453,False,Rejected,0.0,Supported,True,31.78850152881097
Patm,False,0.5671641791044776,True,Confirmed,0.18,Supported,True,30.310822362797367
hbar_wet,True,0.004975124378109453,True,Confirmed,0.2,Confirmed,True,30.22738116459888
hbar*es,True,0.004975124378109453,True,Confirmed,0.2,Confirmed,True,30.15585338954059
hbar_wet*es,True,0.004975124378109453,True,Confirmed,0.19,Confirmed,True,24.83612927312656
depth,True,0.004975124378109453,False,Rejected,0.0,Supported,True,22.773232053880708
buoy_TsTa,False,0.900497512437811,True,Confirmed,0.19,Supported,True,20.65206748590205
hwet,True,0.009950248756218905,False,Rejected,0.0,Supported,True,19.640342151617137
SR*Ta,True,0.009950248756218905,False,Rejected,0.03,Supported,True,3.931214513896013
h_ASINH_cm,True,0.014925373134328358,False,Rejected,0.0,Supported,True,3.371644105493059
SR*Ts,False,0.10945273631840796,True,Confirmed,0.19,Supported,True,1.6387713995847206
RH,False,0.417910447761194,False,Rejected,0.01,Rejected,False,1.3650785815117543
wmix,False,0.8905472636815921,False,Rejected,0.0,Rejected,False,0.8165951843784955
Tdew,False,0.7810945273631841,False,Rejected,0.03,Rejected,False,0.6245988653163379
asinh_SR,True,0.03980099502487562,False,Rejected,0.0,Supported,True,0.5772894674944076
SR,False,0.12935323383084577,False,Rejected,0.0,Rejected,False,0.30038873997118154
VPD*WS,False,0.07960199004975124,False,Rejected,0.02,Rejected,False,0.2969096979968664
asinh_Ts,False,0.945273631840796,True,Confirmed,0.2,Supported,True,0.22033340456626815
asinh_Ta,False,0.5572139303482587,True,Confirmed,0.19,Supported,True,0.2013823669080046
asinh_WS,False,0.5074626865671642,False,Rejected,0.0,Rejected,False,0.17446251260690682
SR*VPD,True,0.029850746268656716,True,Confirmed,0.19,Confirmed,True,0.17199819656519155
u*VPD,True,0.009950248756218905,False,Tentative,0.52,Supported,True,0.1661468338013088
SR*v,True,0.004975124378109453,True,Confirmed,0.19,Confirmed,True,0.16095361956766885
dayhr,True,0.004975124378109453,True,Confirmed,0.19,Confirmed,True,0.1549904884601676
SR*u,True,0.009950248756218905,False,Rejected,0.04,Supported,True,0.11073372380570534
h*VPD,False,0.05472636815920398,True,Confirmed,0.2,Supported,True,0.10601786358936671
h_inv,True,0.004975124378109453,True,Confirmed,0.22,Confirmed,True,0.07496515577642482
WS,False,0.7412935323383084,False,Rejected,0.0,Rejected,False,0.06447772459471413
VPD*WS*d1sin,False,0.06467661691542288,False,Rejected,0.02,Rejected,False,0.05623855311676795
uzonal,False,0.26865671641791045,False,Rejected,0.02,Rejected,False,0.050525983183932865
v*VPD,False,0.1691542288557214,False,Rejected,0.09,Rejected,False,0.03690593528153707
SR*HODsin,False,0.0845771144278607,False,Tentative,0.55,Rejected,False,0.0349511903149855
SRxWS,False,0.4577114427860697,False,Rejected,0.02,Rejected,False,0.030921348540718707
h*v,True,0.04975124378109453,False,Rejected,0.0,Supported,True,0.028137401400551543
WD,True,0.014925373134328358,True,Confirmed,0.19,Confirmed,True,0.028051817123616818
q*WS,False,0.43283582089552236,False,Rejected,0.02,Rejected,False,0.02751457488274367
vmerid,False,0.527363184079602,False,Rejected,0.03,Rejected,False,0.018734679431458012
h*sinTOD,False,0.263681592039801,True,Confirmed,0.15,Supported,True,0.01503607791500805
q,False,0.9950248756218906,False,Rejected,0.0,Rejected,False,0.014941907297436163
h*u,False,0.20398009950248755,False,Rejected,0.0,Rejected,False,0.012711334850575629
h*WS,False,0.6119402985074627,True,Confirmed,0.19,Supported,True,0.011966351029839561
rate,False,0.25870646766169153,False,Rejected,0.0,Rejected,False,0.010729115733625338
h*cosTOD,False,0.5472636815920398,False,Rejected,0.17,Rejected,False,0.006205966206350055
rate*Ts,False,0.9502487562189055,False,Rejected,0.0,Rejected,False,0.003095678575681493
rate*Ta,False,0.9900497512437811,False,Rejected,0.0,Rejected,False,7.235025861529465e-06
asinh_rate_h,False,0.9751243781094527,False,Rejected,0.0,Rejected,False,-0.0010413956454971007
rate_P,False,0.8109452736318408,False,Rejected,0.02,Rejected,False,-0.0011298589740245113
