predictor,delta_AIC,delta_GCV
hbar*es,318.3351244998921,0.32386234959850313
hbar_wet*es,281.92732392319886,0.2855360773162161
hbar,254.30209697097598,0.2572871435451276
hbar_wet,244.02166724899143,0.2464466033116075
SR*v,125.96702017221833,0.1253724059304897
SR*VPD,97.81296635018953,0.09403074189979144
dayhr,83.3596232606069,0.07821344276571907
VPD,67.7952380455099,0.06422820949535613
SR*u,65.39906587328005,0.06391276894598619
WD,58.33622703092988,0.052739745569594376
SR*Ts,57.49698372228886,0.05361889557649846
SR*Ta,42.17699689818255,0.03801570125189535
u*VPD,40.13610669769696,0.03745658483479808
ea,35.52897758214385,0.03486727835833747
es,33.628648239784525,0.0321558457355664
h*v,31.917494394729147,0.02896181853549784
q/rho,30.67682417720789,0.029421476072476693
asinh_SR,26.975658140872838,0.0239693932551166
h*DelTsa,26.11419520092022,0.02206350295926285
VPD*WS,25.76368098819512,0.0221342110241185
h*VPD,19.315117770951474,0.01596300718035515
h*sinTOD,17.65999816605472,0.01422868211751549
h_inv,16.86849682092725,0.015277008777156098
h*Pr,16.270541638921713,0.015663303475573542
h*Ta,15.10467909098952,0.013092654061860998
rho_moist,12.616557273911894,0.007801765221531198
uzonal,11.812569759902544,0.00866711237333817
SR*HODsin,10.92395171590033,0.00527420922887778
vmerid,10.246085457853042,0.006970074716809549
asinh_P_kPa,9.702812656891183,0.00869242143313187
SRxWS,9.442230893153464,0.006626342410010366
Tv_K,9.00998157945287,0.00734413585207605
RH,8.32431541007827,0.0035471811584102397
VPD*WS*d1sin,7.905070035994868,0.00306520467528415
v*VPD,7.057849783755955,0.0034078267228174752
Tair,5.409676583833061,0.005089882266325674
h*Ts,5.317881499344367,0.0033526855805288136
SR,4.475818539431202,0.0012989130578731078
rate,3.928374713505036,0.0016863743247093055
q*WS,3.379915646262816,-0.0007894191253434713
Tdew,2.935102534102043,0.0018491630082397847
Patm,2.7343418225063942,0.001666722380889496
h*WS,2.20905710911029,-0.0003497421719220739
h_ASINH_cm,1.9260535728535615,0.0006783842291984143
DelTsa,1.9024632702348754,0.0012687034277600873
WS,0.6588643055001739,-0.0004366692337605116
asinh_Ta,0.5188753885886399,-0.0009191501073573249
Tsoil,0.5067861607094528,-0.0010913897444382314
buoy_TsTa,-0.04029292085033376,-0.0011068624614303246
depth,-0.08388298618956469,-0.00012553930836567417
asinh_Ts,-0.37817286160134245,-0.0020200490564956652
h*u,-1.09603368966782,-0.003824115152044172
q,-1.1677391626435565,-0.002381153911715117
asinh_rate_h,-1.427229374574381,-0.004213795193347636
hdry,-1.4804077782173408,-0.0028760344757010614
hwet,-2.0362675399082946,-0.0038425314893899554
wmix,-2.179222596998443,-0.00339851394005386
h*cosTOD,-2.4636550264403922,-0.006175236766409853
rate*Ts,-2.7829546490102075,-0.0044070302247831705
rate*Ta,-2.9381805592711316,-0.004475244671972689
asinh_WS,-4.230717916812864,-0.006282147355587853
rate_P,-6.941743623785442,-0.010869499435862906
