predictor,perm_RMSE_increase
es,1994.8205395889952
ea,1607.4041605121768
VPD,1268.5514784496531
h*Ts,792.2259095913744
h*Ta,766.8484922878778
Tv_K,492.64383487332975
Tsoil,193.42378676006055
Tair,188.25892140083414
h*DelTsa,71.21272802346327
h*Pr,63.88016392715037
q/rho,61.414743834799246
DelTsa,59.78572879103055
asinh_P_kPa,54.65466732217936
rho_moist,42.6224644964746
hbar,32.233981808568856
hdry,31.78850152881097
Patm,30.310822362797367
hbar_wet,30.22738116459888
hbar*es,30.15585338954059
hbar_wet*es,24.83612927312656
depth,22.773232053880708
buoy_TsTa,20.65206748590205
hwet,19.640342151617137
SR*Ta,3.931214513896013
h_ASINH_cm,3.371644105493059
SR*Ts,1.6387713995847206
RH,1.3650785815117543
wmix,0.8165951843784955
Tdew,0.6245988653163379
asinh_SR,0.5772894674944076
SR,0.30038873997118154
VPD*WS,0.2969096979968664
asinh_Ts,0.22033340456626815
asinh_Ta,0.2013823669080046
asinh_WS,0.17446251260690682
SR*VPD,0.17199819656519155
u*VPD,0.1661468338013088
SR*v,0.16095361956766885
dayhr,0.1549904884601676
SR*u,0.11073372380570534
h*VPD,0.10601786358936671
h_inv,0.07496515577642482
WS,0.06447772459471413
VPD*WS*d1sin,0.05623855311676795
uzonal,0.050525983183932865
v*VPD,0.03690593528153707
SR*HODsin,0.0349511903149855
SRxWS,0.030921348540718707
h*v,0.028137401400551543
WD,0.028051817123616818
q*WS,0.02751457488274367
vmerid,0.018734679431458012
h*sinTOD,0.01503607791500805
q,0.014941907297436163
h*u,0.012711334850575629
h*WS,0.011966351029839561
rate,0.010729115733625338
h*cosTOD,0.006205966206350055
rate*Ts,0.003095678575681493
rate*Ta,7.235025861529465e-06
asinh_rate_h,-0.0010413956454971007
rate_P,-0.0011298589740245113
