predictor,p_value
dayhr,1.1102230246251565e-16
depth,0.0007412030206414011
rate,0.22640227224821907
hbar,1.1102230246251565e-16
hbar_wet,1.1102230246251565e-16
hbar*es,1.1102230246251565e-16
hbar_wet*es,1.1102230246251565e-16
Tair,6.227590898522095e-08
Tsoil,5.858136625447319e-05
SR,0.00047450215583810795
Patm,1.1102230246251565e-16
WS,0.3168167714336847
WD,4.759526106568046e-13
RH,0.0011732509659120316
es,1.1102230246251565e-16
ea,1.1102230246251565e-16
VPD,1.1102230246251565e-16
rate_P,0.9688444875687278
Tdew,2.220446049250313e-16
q,0.0007378563425501916
wmix,0.10287729857788985
DelTsa,1.282880207398307e-06
hwet,1.771742598632997e-06
hdry,2.7770359096179753e-05
h*Ta,9.309435712312464e-07
h*Ts,0.0010771328675711622
h*WS,0.043283334578169796
h*Pr,1.4505588069146924e-05
h*VPD,5.7312374264539834e-05
h*DelTsa,1.6254433337081764e-06
Tv_K,1.2121129433495526e-08
rho_moist,3.777116286407534e-09
uzonal,0.0012973934773562457
vmerid,0.033354968309183386
buoy_TsTa,0.006223331659333975
SRxWS,0.010798666231933485
SR*u,1.021405182655144e-14
SR*v,1.1102230246251565e-16
SR*VPD,1.1102230246251565e-16
VPD*WS,3.5353141721872205e-06
q*WS,0.07447401098595607
h_ASINH_cm,3.035696360953466e-09
h_inv,6.915366332571615e-06
u*VPD,7.474801111406748e-09
v*VPD,0.009995826458507717
rate*Ta,0.7585949502820664
rate*Ts,0.7596577187169472
SR*Ta,1.3389784614403766e-08
SR*Ts,6.6594507686090765e-12
SR*HODsin,0.009906943430850856
VPD*WS*d1sin,0.012240869791541042
q/rho,1.1102230246251565e-16
asinh_Ta,9.32509730877662e-06
asinh_Ts,0.09800567314334008
asinh_WS,0.8766840840250246
asinh_SR,5.5147442168390626e-11
asinh_P_kPa,1.1102230246251565e-16
asinh_rate_h,0.1344640238164303
h*sinTOD,0.0005845627622845795
h*cosTOD,0.6299243625721896
h*u,0.26983239486504784
h*v,4.553428101239376e-08
