predictor,n_hits,n_iterations,hit_rate,boruta_decision,boruta_important,mean_importance,mean_shadow_max
rho_moist,20,100,0.2,Confirmed,True,0.3422226602965125,0.004358264051574489
hbar*es,20,100,0.2,Confirmed,True,0.16916940516903178,0.004358264051574489
hbar_wet,20,100,0.2,Confirmed,True,0.073471092155863,0.004358264051574489
hbar,20,100,0.2,Confirmed,True,0.0514911565515584,0.004358264051574489
Tsoil,20,100,0.2,Confirmed,True,0.021654398244360475,0.004358264051574489
asinh_Ts,20,100,0.2,Confirmed,True,0.021550795769831738,0.004358264051574489
h*VPD,20,100,0.2,Confirmed,True,0.01549372058002009,0.004358264051574489
buoy_TsTa,20,100,0.2,Confirmed,True,0.013211739144530008,0.004358264051574489
Tv_K,20,100,0.2,Confirmed,True,0.010818535009557106,0.004358264051574489
SR*VPD,18,100,0.18,Confirmed,True,0.009800275228237914,0.004358264051574489
h*Pr,18,100,0.18,Confirmed,True,0.00892650897644478,0.004358264051574489
hbar_wet*es,17,100,0.17,Confirmed,True,0.008707187223831863,0.004358264051574489
WD,17,100,0.17,Confirmed,True,0.008219317383168582,0.004358264051574489
SR*v,16,100,0.16,Confirmed,True,0.007929809073285742,0.004358264051574489
dayhr,15,100,0.15,Confirmed,True,0.006836605836063138,0.004358264051574489
Patm,22,100,0.22,Confirmed,True,0.006236477166898026,0.004358264051574489
asinh_Ta,22,100,0.22,Confirmed,True,0.0062189707239490456,0.004358264051574489
Tair,15,100,0.15,Confirmed,True,0.006153516404767127,0.004358264051574489
es,22,100,0.22,Confirmed,True,0.006118024649640175,0.004358264051574489
VPD,22,100,0.22,Confirmed,True,0.006106193624695828,0.004358264051574489
asinh_P_kPa,22,100,0.22,Confirmed,True,0.005767972097304771,0.004358264051574489
Tdew,22,100,0.22,Confirmed,True,0.0053362285928913785,0.004358264051574489
h_inv,22,100,0.22,Confirmed,True,0.005273229551243497,0.004358264051574489
h*sinTOD,22,100,0.22,Confirmed,True,0.005264321507292701,0.004358264051574489
SR*Ts,21,100,0.21,Confirmed,True,0.005157110418229946,0.004358264051574489
h*WS,40,100,0.4,Confirmed,True,0.005108237430210376,0.004358264051574489
h*cosTOD,52,100,0.52,Confirmed,True,0.004436690345522773,0.004358264051574489
SR*HODsin,50,100,0.5,Confirmed,True,0.0040906610480497315,0.004358264051574489
h*Ts,54,100,0.54,Tentative,False,0.0036617014596129122,0.004358264051574489
u*VPD,17,100,0.17,Rejected,False,0.0035879297622925994,0.004358264051574489
vmerid,12,100,0.12,Rejected,False,0.003402177285162125,0.004358264051574489
SR*u,4,100,0.04,Rejected,False,0.003251762765030734,0.004358264051574489
v*VPD,5,100,0.05,Rejected,False,0.00319603467350864,0.004358264051574489
h*Ta,4,100,0.04,Rejected,False,0.003193907405010889,0.004358264051574489
q/rho,4,100,0.04,Rejected,False,0.0029920871374290005,0.004358264051574489
uzonal,3,100,0.03,Rejected,False,0.0028294521889316603,0.004358264051574489
RH,3,100,0.03,Rejected,False,0.0026551401133220764,0.004358264051574489
VPD*WS*d1sin,2,100,0.02,Rejected,False,0.002610708983356985,0.004358264051574489
rate_P,2,100,0.02,Rejected,False,0.002608077665272068,0.004358264051574489
q*WS,1,100,0.01,Rejected,False,0.0024254726408326427,0.004358264051574489
SR*Ta,1,100,0.01,Rejected,False,0.0023710741363511378,0.004358264051574489
h*v,0,100,0.0,Rejected,False,0.0023261255099335967,0.004358264051574489
VPD*WS,0,100,0.0,Rejected,False,0.002238777389692792,0.004358264051574489
SRxWS,0,100,0.0,Rejected,False,0.0022062037435134365,0.004358264051574489
q,0,100,0.0,Rejected,False,0.0018641221734092286,0.004358264051574489
wmix,0,100,0.0,Rejected,False,0.0017136550178688855,0.004358264051574489
h*u,0,100,0.0,Rejected,False,0.0016610902712327355,0.004358264051574489
SR,0,100,0.0,Rejected,False,0.0016441130782575992,0.004358264051574489
asinh_SR,0,100,0.0,Rejected,False,0.0016301347214563962,0.004358264051574489
asinh_WS,0,100,0.0,Rejected,False,0.0012608754501300665,0.004358264051574489
WS,0,100,0.0,Rejected,False,0.0012563691627795047,0.004358264051574489
h_ASINH_cm,0,100,0.0,Rejected,False,0.0011191187568844257,0.004358264051574489
depth,0,100,0.0,Rejected,False,0.001109472763216956,0.004358264051574489
hwet,0,100,0.0,Rejected,False,0.0009351801158719406,0.004358264051574489
rate*Ts,0,100,0.0,Rejected,False,0.0008308397871020859,0.004358264051574489
rate*Ta,0,100,0.0,Rejected,False,0.0008040144455683236,0.004358264051574489
asinh_rate_h,0,100,0.0,Rejected,False,0.00071060256549791,0.004358264051574489
rate,0,100,0.0,Rejected,False,0.000633521199337394,0.004358264051574489
