predictor,pimp_significant,pimp_p_value,boruta_important,boruta_decision,boruta_hit_rate,consensus,consensus_important,perm_importance
Tv_K,False,0.3582089552238806,True,Confirmed,0.2,Supported,True,1841.4635026990695
Tair,False,0.43781094527363185,True,Confirmed,0.15,Supported,True,1409.2009152144617
Tsoil,False,0.5472636815920398,True,Confirmed,0.2,Supported,True,159.8413927279637
q/rho,False,0.2935323383084577,False,Rejected,0.04,Rejected,False,130.1326551013205
es,False,0.4626865671641791,True,Confirmed,0.22,Supported,True,125.8906267046789
depth,True,0.004975124378109453,False,Rejected,0.0,Supported,True,77.32005992105809
buoy_TsTa,False,0.5522388059701493,True,Confirmed,0.2,Supported,True,72.62166569536075
h*Pr,True,0.004975124378109453,True,Confirmed,0.18,Confirmed,True,69.28221850153137
VPD,False,0.5074626865671642,True,Confirmed,0.22,Supported,True,68.49254718741624
asinh_P_kPa,False,0.0845771144278607,True,Confirmed,0.22,Supported,True,64.8349546346538
rho_moist,False,0.5223880597014925,True,Confirmed,0.2,Supported,True,53.155115377946736
Patm,False,0.4626865671641791,True,Confirmed,0.22,Supported,True,37.1897822602361
hbar,True,0.004975124378109453,True,Confirmed,0.2,Confirmed,True,26.214312745274007
hbar_wet,True,0.004975124378109453,True,Confirmed,0.2,Confirmed,True,24.54563777998984
hbar*es,True,0.004975124378109453,True,Confirmed,0.2,Confirmed,True,23.123387707090743
hbar_wet*es,True,0.004975124378109453,True,Confirmed,0.17,Confirmed,True,18.058510440938086
Tdew,False,0.18407960199004975,True,Confirmed,0.22,Supported,True,10.920534998892993
SR*Ta,True,0.004975124378109453,False,Rejected,0.01,Supported,True,4.549912866612633
asinh_Ts,False,0.5920398009950248,True,Confirmed,0.2,Supported,True,3.598593664069461
h*Ta,True,0.03980099502487562,False,Rejected,0.04,Supported,True,2.6595432561294405
wmix,False,0.6567164179104478,False,Rejected,0.0,Rejected,False,2.6568165193806594
h_ASINH_cm,False,0.09950248756218906,False,Rejected,0.0,Rejected,False,2.5763576401012873
q,False,0.6666666666666666,False,Rejected,0.0,Rejected,False,2.4724179447076367
SR*Ts,True,0.03980099502487562,True,Confirmed,0.21,Confirmed,True,2.4418913171241403
hwet,False,0.572139303482587,False,Rejected,0.0,Rejected,False,0.9057269711336744
h*Ts,False,0.10945273631840796,False,Tentative,0.54,Rejected,False,0.9057173251407606
VPD*WS,True,0.01990049751243781,False,Rejected,0.0,Supported,True,0.3838359649998866
SR,False,0.17412935323383086,False,Rejected,0.0,Rejected,False,0.2966170598622293
SR*VPD,True,0.004975124378109453,True,Confirmed,0.18,Confirmed,True,0.26750230519225937
asinh_SR,False,0.2835820895522388,False,Rejected,0.0,Rejected,False,0.20896798320315924
asinh_WS,False,0.3880597014925373,False,Rejected,0.0,Rejected,False,0.19894789257699586
asinh_Ta,False,0.6069651741293532,True,Confirmed,0.22,Supported,True,0.19471032986095693
WS,False,0.5621890547263682,False,Rejected,0.0,Rejected,False,0.17144651165172942
SR*v,True,0.004975124378109453,True,Confirmed,0.16,Confirmed,True,0.15378183195682915
u*VPD,True,0.009950248756218905,False,Rejected,0.17,Supported,True,0.14635117783041451
dayhr,True,0.004975124378109453,True,Confirmed,0.15,Confirmed,True,0.135915114861489
h*VPD,True,0.004975124378109453,True,Confirmed,0.2,Confirmed,True,0.1297382988641198
rate*Ta,False,0.40298507462686567,False,Rejected,0.0,Rejected,False,0.08295643719111112
SR*u,True,0.009950248756218905,False,Rejected,0.04,Supported,True,0.08249033582937582
h_inv,True,0.004975124378109453,True,Confirmed,0.22,Confirmed,True,0.08104507108371717
VPD*WS*d1sin,False,0.05472636815920398,False,Rejected,0.02,Rejected,False,0.05191456940222405
rate*Ts,False,0.5621890547263682,False,Rejected,0.0,Rejected,False,0.043622225929306424
uzonal,False,0.31343283582089554,False,Rejected,0.03,Rejected,False,0.04152210998339445
SR*HODsin,False,0.05472636815920398,True,Confirmed,0.5,Supported,True,0.039178876675861396
q*WS,False,0.35323383084577115,False,Rejected,0.01,Rejected,False,0.02978651515122621
h*v,True,0.03482587064676617,False,Rejected,0.0,Supported,True,0.02859258966230893
asinh_rate_h,False,0.29850746268656714,False,Rejected,0.0,Rejected,False,0.02793726091473303
RH,False,0.9601990049751243,False,Rejected,0.03,Rejected,False,0.02692386863191487
v*VPD,False,0.23383084577114427,False,Rejected,0.05,Rejected,False,0.026579689724055555
WD,False,0.0845771144278607,True,Confirmed,0.17,Supported,True,0.021798266048523196
SRxWS,False,0.5124378109452736,False,Rejected,0.0,Rejected,False,0.019364049854903698
vmerid,False,0.5373134328358209,False,Rejected,0.12,Rejected,False,0.018767634189741145
h*sinTOD,False,0.23383084577114427,True,Confirmed,0.22,Supported,True,0.01654800922056765
h*WS,False,0.47761194029850745,True,Confirmed,0.4,Supported,True,0.014668899088053244
rate,False,0.263681592039801,False,Rejected,0.0,Rejected,False,0.00825048385049243
h*u,False,0.42786069651741293,False,Rejected,0.0,Rejected,False,0.005664828612882644
h*cosTOD,False,0.736318407960199,True,Confirmed,0.52,Supported,True,0.0030679422286592484
rate_P,False,0.7562189054726368,False,Rejected,0.02,Rejected,False,-0.0010487436968418251
