predictor,delta_AIC,delta_GCV
hbar*es,264.5307365572371,0.2631030158262977
hbar_wet*es,259.32445530983387,0.2572945926838095
hbar_wet,214.34063100522326,0.2117913067920565
hbar,213.35498028121947,0.2109972359873069
SR*v,127.5332571810577,0.12466265583387859
SR*VPD,74.57362286678108,0.06898141474129282
SR*u,65.98732003103942,0.06327290071984315
q/rho,65.55498501093825,0.06364285276343651
dayhr,62.11459879514587,0.05546965345785715
WD,60.034629327768926,0.05349227551197444
SR*Ts,51.8109955360851,0.04693449322348897
VPD,49.05591033276869,0.044455246061486875
rho_moist,43.58596313910675,0.03866984069822088
SR*Ta,41.36083442240488,0.036509627877645556
u*VPD,35.853346582487575,0.03263932243432066
h*VPD,28.904854414446163,0.025243838906382265
VPD*WS,27.674824976653326,0.023949819306304576
h*v,27.461828821644303,0.023939919139625232
es,20.97059766491293,0.018944793849875907
h*Ta,19.891159460908966,0.017293100113574766
h*Pr,19.435045075559174,0.018303749818565862
h*sinTOD,18.469114775798516,0.014736661887088331
h_inv,17.61597593832994,0.015750933111988275
asinh_SR,15.979793479418731,0.01254352999655417
vmerid,14.77183884967235,0.011331444095729282
VPD*WS*d1sin,12.906923701390042,0.008032860057028302
Tdew,12.40466654766351,0.010944222007260862
SR*HODsin,12.39987138165452,0.006653599875393823
asinh_P_kPa,12.100019732199144,0.010930511840131274
depth,11.394512222803314,0.010503918954512415
Tv_K,10.324511306374916,0.008524201844855028
uzonal,9.945050492649898,0.006658208256183684
RH,9.346709437741083,0.004547598386125173
buoy_TsTa,7.819378647924168,0.002859600989292943
h*Ts,6.797053533926373,0.004391585124901454
q*WS,6.359432270139223,0.0022171756469653303
SRxWS,6.2475221805798355,0.0032579318073242547
q,5.863992994709406,0.004542124933058389
SR,4.610476562855183,0.0014000410400782926
v*VPD,4.1847794007044286,0.0004454070185637704
Tair,3.5602811951976037,0.0024364753903611813
wmix,3.5084834000153933,0.00227928768117458
Tsoil,3.3825205551838735,0.0014975554570639815
h*WS,2.9139693003089633,0.00037904700279334236
Patm,2.7512404306180542,0.0016529990411733309
rate,1.8111520825041225,-0.00046546142734094076
asinh_Ts,1.7674185654032044,0.00019866587888728304
h_ASINH_cm,1.2510927531693596,-0.00025418670508869923
asinh_Ta,-0.1822967415500898,-0.0015754342292595425
WS,-1.0933874999318505,-0.002185561751366194
asinh_rate_h,-1.5966353838157374,-0.004309387940477194
rate*Ta,-1.943016506076674,-0.003411374719396676
asinh_WS,-2.1754799328919034,-0.00410894601705003
rate*Ts,-2.446355457228492,-0.004027129619952774
hwet,-2.860024087349302,-0.005071201897212774
h*u,-2.868974368990166,-0.0055472969324679156
rate_P,-3.5649326449347427,-0.007198075215953281
h*cosTOD,-4.198994428341393,-0.007855835272398082
