predictor,perm_RMSE_increase
Tv_K,1841.4635026990695
Tair,1409.2009152144617
Tsoil,159.8413927279637
q/rho,130.1326551013205
es,125.8906267046789
depth,77.32005992105809
buoy_TsTa,72.62166569536075
h*Pr,69.28221850153137
VPD,68.49254718741624
asinh_P_kPa,64.8349546346538
rho_moist,53.155115377946736
Patm,37.1897822602361
hbar,26.214312745274007
hbar_wet,24.54563777998984
hbar*es,23.123387707090743
hbar_wet*es,18.058510440938086
Tdew,10.920534998892993
SR*Ta,4.549912866612633
asinh_Ts,3.598593664069461
h*Ta,2.6595432561294405
wmix,2.6568165193806594
h_ASINH_cm,2.5763576401012873
q,2.4724179447076367
SR*Ts,2.4418913171241403
hwet,0.9057269711336744
h*Ts,0.9057173251407606
VPD*WS,0.3838359649998866
SR,0.2966170598622293
SR*VPD,0.26750230519225937
asinh_SR,0.20896798320315924
asinh_WS,0.19894789257699586
asinh_Ta,0.19471032986095693
WS,0.17144651165172942
SR*v,0.15378183195682915
u*VPD,0.14635117783041451
dayhr,0.135915114861489
h*VPD,0.1297382988641198
rate*Ta,0.08295643719111112
SR*u,0.08249033582937582
h_inv,0.08104507108371717
VPD*WS*d1sin,0.05191456940222405
rate*Ts,0.043622225929306424
uzonal,0.04152210998339445
SR*HODsin,0.039178876675861396
q*WS,0.02978651515122621
h*v,0.02859258966230893
asinh_rate_h,0.02793726091473303
RH,0.02692386863191487
v*VPD,0.026579689724055555
WD,0.021798266048523196
SRxWS,0.019364049854903698
vmerid,0.018767634189741145
h*sinTOD,0.01654800922056765
h*WS,0.014668899088053244
rate,0.00825048385049243
h*u,0.005664828612882644
h*cosTOD,0.0030679422286592484
rate_P,-0.0010487436968418251
