predictor,p_value
dayhr,6.050715484207103e-14
depth,0.00011662062550199526
rate,0.54541509677033
Tair,8.149225405595928e-09
Tsoil,1.1148354309709063e-06
SR,0.0003347948337349971
Patm,1.1102230246251565e-16
WS,0.5997846006634227
WD,2.651212582804874e-13
RH,0.00022895100203479402
es,3.464178943701768e-10
VPD,1.1102230246251565e-15
rate_P,0.6712265904445847
Tdew,1.1102230246251565e-16
q,2.1094237467877974e-15
wmix,2.220446049250313e-16
hwet,1.7781209490363992e-06
h*Ta,1.2564088291977527e-07
h*Ts,0.006289904172583682
h*WS,0.07573420419618904
h*Pr,2.794537501571437e-05
h*VPD,1.5768114165481961e-06
Tv_K,2.013140476542219e-08
rho_moist,2.0317081350640365e-14
uzonal,0.005764775650288323
vmerid,0.008388362443351616
buoy_TsTa,0.002551781527540431
SRxWS,0.04833512039984367
SR*u,2.020605904817785e-14
SR*v,1.1102230246251565e-16
SR*VPD,1.1102230246251565e-16
VPD*WS,6.434183078551925e-07
q*WS,0.04301489359298338
h_ASINH_cm,3.0317497845544494e-08
h_inv,1.9811138312064713e-06
u*VPD,1.364671150527741e-07
v*VPD,0.0031274440704257556
rate*Ta,0.7803608418956172
rate*Ts,0.9167736964869788
SR*Ta,2.012852517996322e-08
SR*Ts,1.0338263578546503e-10
SR*HODsin,0.0034332717092746545
VPD*WS*d1sin,0.0021103478772525053
q/rho,1.1102230246251565e-16
asinh_Ta,7.302481307691622e-05
asinh_Ts,0.009381533555535504
asinh_WS,0.6017523103708428
asinh_SR,3.225539472184735e-07
asinh_P_kPa,1.1102230246251565e-16
asinh_rate_h,0.4215630360114877
h*sinTOD,0.00045750262914134865
h*cosTOD,0.8319495313422796
h*u,0.4626762021488958
h*v,9.591761052085701e-08
hbar,1.1102230246251565e-16
hbar_wet,1.1102230246251565e-16
hbar*es,1.1102230246251565e-16
hbar_wet*es,1.1102230246251565e-16
