predictor,observed_importance,null_mean,null_std,pimp_p_value,pimp_significant
Tv_K,2.3131582970277442,0.001360282750388584,0.003546220224095551,0.004975124378109453,True
hbar_wet,1.543590403429989,0.001779485149358293,0.003617968099081602,0.004975124378109453,True
h_inv,0.17114900387164234,0.0009100961723189017,0.016113722702346192,0.004975124378109453,True
SR*v,0.1685369824907097,0.0016891284953830254,0.0032406707261190696,0.004975124378109453,True
SR*u,0.0892398494910438,0.0030255697107037394,0.0037793163948967633,0.004975124378109453,True
SR*Ta,0.07686613390857655,0.011814177086957964,0.014195455366164081,0.004975124378109453,True
SR*HODsin,0.06510661296125164,0.007209781529328079,0.008275891177007678,0.004975124378109453,True
dayhr,0.04670499381209137,0.00904834169440028,0.009545077786805967,0.004975124378109453,True
WD,0.0398507349251096,0.001495328108653413,0.0037295062462563244,0.004975124378109453,True
h*v,0.03651680297987969,0.0018486287477778428,0.0036803714087851338,0.004975124378109453,True
depth,0.03213481717911382,0.01823863540706751,0.02431899600335051,0.17412935323383086,False
VPD*WS,0.02977879239504677,0.005658746055551731,0.008065500980937678,0.024875621890547265,True
u*VPD,0.02715354781926127,0.007780315823060673,0.008881112996186612,0.04975124378109453,True
h*cosTOD,0.0255967104891468,0.0069550331612758766,0.009498454005979562,0.06467661691542288,False
h*sinTOD,0.0155176171037672,0.007335764284167406,0.01036008574838941,0.13930348258706468,False
