model,held_out,R2_LOSO,r2_shape,bias,R2_calibrated,fitted_params
c04  exp(b*Tv)      12/12,JP-MSE,0.2100269860270063,0.3043179005306596,1.1211290989992326,0.30431790053065955,0.06119
c04  exp(b*Tv)      12/12,PH-IR,-2.878712467888917,0.018860033796126073,6.826479686059614,0.018860033796126108,0.07474
c04  exp(b*Tv)      12/12,SK-CRK,-0.3414285605161973,0.5099994568577892,-5.270235694812947,0.5099994568577892,0.04086
c04  exp(b*Tv)      12/12,POOL in-sample,0.16265412793099787,0.2123079820184374,0.0,,0.06037
c04  exp(b*Tv)      12/12,>>> LOSO mean,-1.0033713474593693,,,0.27772579706152495,worst site R2 = -2.879
c05  a*Tv*hbar      12/12,JP-MSE,0.07198849599075541,0.3213192334504079,2.5535689750524693,0.3213192334504079,0.09677
c05  a*Tv*hbar      12/12,PH-IR,0.3319381250296327,0.3693169423233204,0.7776493353568052,0.36931694232332046,0.08694
c05  a*Tv*hbar      12/12,SK-CRK,0.045050941456671656,0.24857703392787434,-2.578501756702739,0.24857703392787422,0.06597
c05  a*Tv*hbar      12/12,POOL in-sample,0.3048858766850696,0.33355727033899085,0.0,,0.08502
c05  a*Tv*hbar      12/12,>>> LOSO mean,0.14965918749235327,,,0.3130710699005342,worst site R2 = 0.045
c07  exp(sqrt Tv)*hbar  ,JP-MSE,-0.05630483879740411,0.3790785811074093,2.967247672678532,0.379078581107409,0.01499
c07  exp(sqrt Tv)*hbar  ,PH-IR,0.3552287282911136,0.4305935137912565,1.0683659348661059,0.43059351379125654,0.01294
c07  exp(sqrt Tv)*hbar  ,SK-CRK,0.18086918490505244,0.5027615047130408,-3.4168722397401083,0.5027615047130407,0.009079
c07  exp(sqrt Tv)*hbar  ,POOL in-sample,0.44895288413597534,0.4586451812179879,0.0,,0.01252
c07  exp(sqrt Tv)*hbar  ,>>> LOSO mean,0.15993102479958732,,,0.4374778665372354,worst site R2 = -0.056
c08  hbar*exp/Tv   KNEE ,JP-MSE,-0.09132962196407912,0.3905829366339751,2.8084515144995335,0.39058293663397503,0.1552
c08  hbar*exp/Tv   KNEE ,PH-IR,0.3940747725785537,0.4489800393387503,0.9348595346203203,0.44898003933874975,0.1498
c08  hbar*exp/Tv   KNEE ,SK-CRK,0.21425528008080497,0.5114680682768171,-3.243552446094448,0.5114680682768168,0.139
c08  hbar*exp/Tv   KNEE ,POOL in-sample,0.46834072143559435,0.47196371183027735,0.0,,0.1491
c08  hbar*exp/Tv   KNEE ,>>> LOSO mean,0.1723334768984265,,,0.4503436814165139,worst site R2 = -0.091
c10  (hbar+a)/Tv*exp    ,JP-MSE,-0.09347002724650055,0.39636497161510953,2.7154338395856747,0.3963649716151091,-0.3364 0.1591
c10  (hbar+a)/Tv*exp    ,PH-IR,-0.546885675303499,0.394517508678442,-3.1941332292094,0.3945175086784418,-1.341 0.1672
c10  (hbar+a)/Tv*exp    ,SK-CRK,0.23267175443251265,0.5076337238279401,-3.1881064920740476,0.5076337238279405,-0.364 0.1436
c10  (hbar+a)/Tv*exp    ,POOL in-sample,0.4749403440370292,0.4760902672451448,0.0,,-0.4095 0.1538
c10  (hbar+a)/Tv*exp    ,>>> LOSO mean,-0.13589464937249562,,,0.43283873470716383,worst site R2 = -0.547
c21  mid-complexity     ,JP-MSE,0.07538075787161291,0.38894070160729344,1.842590867942068,0.3889407016072931,5.363e-07 -0.1043 -0.0009848 -0.1629
c21  mid-complexity     ,PH-IR,0.23198934314231545,0.34975094158082864,1.1602047518353458,0.34975094158082876,0.0006163 -0.03993 -0.00115 -0.1588
c21  mid-complexity     ,SK-CRK,0.30098664623034244,0.49449537142907457,-3.072757232232939,0.4944953714290743,0.0001876 -0.04093 0.0001728 -0.1512
c21  mid-complexity     ,POOL in-sample,0.5505916834305671,0.5523370417102084,0.0,,0.0003159 -0.04502 -0.001181 -0.1579
c21  mid-complexity     ,>>> LOSO mean,0.20278558241475694,,,0.41106233820573207,worst site R2 = 0.075
c40  BEST ACCURACY CV.596,JP-MSE,0.16686367599230367,0.41974151712369806,1.9831208407523118,0.4197415171236979,-1.568 2.251 -2.253e-07 0.0003224 -5.709 -3.335 0.4972
c40  BEST ACCURACY CV.596,PH-IR,0.4951678922736785,0.5782247593825243,-1.1133305757783987,0.5782247593825243,1.188 1.746 -1.949e-07 0.0003557 -5.534 -34.58 1.285
c40  BEST ACCURACY CV.596,SK-CRK,0.39510351860865145,0.5539372108756209,-3.0021815024943104,0.553937210875621,-0.2688 1.411 -9.372e-07 -0.0001374 -5.825 -1673 0.1235
c40  BEST ACCURACY CV.596,POOL in-sample,0.5973972291402122,0.5980481158699259,0.0,,-0.03626 1.518 -1.717e-07 0.0003504 -5.735 -39.23 0.8416
c40  BEST ACCURACY CV.596,>>> LOSO mean,0.35237836229154457,,,0.5173011624606144,worst site R2 = 0.167
