predictor,impurity_importance,perm_importance_mean,perm_importance_std
AUC,0.3674342097395637,0.8105222320190807,0.03017726422707178
buoy_TsTa,0.1996303564462753,0.26348235682904947,0.006095846105809852
h*Pr,0.12533293519724661,0.08823316305508387,0.009736426946052272
v*VPD,0.08283887860093517,0.08201868577657113,0.004758853660373351
SR*VPD,0.07374047712316954,0.07578248916141343,0.0032425864628473663
u*VPD,0.04316042868159106,0.045980112638920656,0.0025304281652126686
SR*HODsin,0.024815346973968557,0.022937158105469767,0.001120571462541546
uzonal,0.035653271868072677,0.02047062095952089,0.003374333905574401
VPD*WS*d1sin,0.01867092657193368,0.017259752899591984,0.00035226868929169613
SRxWS,0.011361749485273782,0.009738952120744371,0.001145283833417474
h*v,0.017361419311969925,0.009338571131660967,0.000996747554169775
