predictor,impurity,perm_mean,perm_std
AUC_wet,0.22716194086962435,0.9431083228724217,0.014414996962295324
Tv_C,0.15009659418844015,0.512474960011179,0.008507967486859868
asinh_P_kPa,0.10509988264343684,0.2714360214176986,0.005143830698257827
dayhr,0.063284310196492,0.11512209344082261,0.0008978876329723737
h_inv,0.04573134301840947,0.06915484330463065,0.0013763332366256201
SR,0.04091592132122996,0.06889003528071948,0.0016396158805790488
u*VPD,0.0497278301361919,0.06885051149994359,0.001797423560254002
h*sinTOD,0.041017596103330854,0.06719763089268957,0.0015224361020337905
SR*HODsin,0.045247824711267426,0.06406981217183036,0.0029026107075684963
v*VPD,0.051652772637407265,0.06059957717707563,0.0014956594193436931
h*cosTOD,0.031811027683733145,0.050369434368424296,0.0019403730248269315
VPD*WS*d1sin,0.03416798665929677,0.04637844607380093,0.0009793640766500014
rate_P,0.040312978069556395,0.04493499422096635,0.0008642146993739172
SR*v,0.03830747557962795,0.03995789759876335,0.0008112489697224603
SR*u,0.03546451618195547,0.03639285390033403,0.0013510856766809792
