predictor,impurity,perm_mean,perm_std
AUC_dry,0.3945436555797524,1.1101009106375412,0.03197082466427331
SR*HODsin,0.24634749838612288,0.321948489296068,0.025223655618972836
uzonal,0.08599348981872118,0.13652267156484282,0.0068268042353336915
Tv_C,0.05942116537574757,0.0628782163138455,0.0035238515046210834
h_inv,0.06500984173519905,0.0626270080837624,0.003807107674523138
h*VPD,0.04971567368179904,0.05730867955736998,0.0032755490546045526
h*sinTOD,0.03789643040735732,0.04084125106188683,0.0019596117244962564
h_ASINH_cm,0.03739545368844864,0.0389527521500837,0.0022509895005771723
SR*Ts,0.01590264189326834,0.020707658899091253,0.0005981519960099455
hwet,0.007774149433583499,0.007903586034577626,0.0005736188588425151
