predictor,impurity,perm_mean,perm_std
hbar_wet,0.30653657511977694,1.7522078077210055,0.01985499635080397
Tv_C,0.2035271248296675,0.7665613203794479,0.02478141889709677
depth,0.060311688314429956,0.49836554059709276,0.011737256562109642
dayhr,0.03438141649632224,0.12946923554933215,0.004284958817879933
h_inv,0.05231114704742405,0.11130480982583953,0.0012028023841888055
VPD*WS,0.05307498873034865,0.09944212194272993,0.003480896395636438
SR*Ta,0.04099895952018793,0.0868592599764522,0.002536561140802182
u*VPD,0.048447130718284784,0.0748630259364933,0.00244836655381625
h*v,0.04552437934720117,0.06695863867758628,0.001519761559663242
SR*u,0.04253473787089022,0.056367744944650466,0.0014255119572434162
h*sinTOD,0.02766949016832811,0.04287581081181727,0.0008409156253683998
SR*v,0.03378248724119095,0.03604569267969966,0.0006896830946224317
h*cosTOD,0.02688513546132009,0.034930554944637426,0.0012733526181376508
SR*HODsin,0.02401473913462751,0.02586795960657192,0.0003281991510546065
