,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,29.915613,3.6209102,0.0,3.62091020000000,PySRFunction(X=>3.62091020000000),3.6209102
1,2,29.336521,sqrt(x0),0.019547327663891393,sqrt(x0),PySRFunction(X=>sqrt(x0)),sqrt(VPD)
2,3,26.972183,x0 * 0.4960956,0.08402711469723634,x0*0.4960956,PySRFunction(X=>x0*0.4960956),VPD * 0.4960956
3,4,25.163807,exp(x0 * 0.1238644),0.06939934367168317,exp(x0*0.1238644),PySRFunction(X=>exp(x0*0.1238644)),exp(VPD * 0.1238644)
4,5,23.153172,0.6115315 / (x4 + 0.16183081),0.08327494140713451,0.6115315/(x4 + 0.16183081),PySRFunction(X=>0.6115315/(x4 + 0.16183081)),0.6115315 / (buoy_TsTa + 0.16183081)
5,6,22.180109,exp(0.6175347 - (x0 * x4)),0.042935894336995684,exp(0.6175347 - x0*x4),PySRFunction(X=>exp(0.6175347 - x0*x4)),exp(0.6175347 - (VPD * buoy_TsTa))
6,7,21.529152,exp(sqrt(x0) * (0.49689323 - x4)),0.029787972548796386,exp(sqrt(x0)*(0.49689323 - x4)),PySRFunction(X=>exp(sqrt(x0)*(0.49689323 - x4))),exp(sqrt(VPD) * (0.49689323 - buoy_TsTa))
7,8,20.15049,exp((x4 / -1.3574662) * x0) * 3.2224696,0.0661793179837005,exp(x0*x4/(-1.3574662))*3.2224696,PySRFunction(X=>exp(x0*x4/(-1.3574662))*3.2224696),exp((buoy_TsTa / -1.3574662) * VPD) * 3.2224696
8,9,20.145077,exp(x4 / tanh(-1.3574662 / x0)) * 3.2224696,0.00026866479047485934,exp(x4/tanh(-1.3574662/x0))*3.2224696,PySRFunction(X=>exp(x4/tanh(-1.3574662/x0))*3.2224696),exp(buoy_TsTa / tanh(-1.3574662 / VPD)) * 3.2224696
9,10,19.857054,exp((x4 + -0.17547645) / (-2.1736212 / x0)) - -1.5195451,0.01440063167919217,exp((x4 - 0.17547645)/((-2.1736212/x0))) - 1*(-1.5195451),PySRFunction(X=>exp((x4 - 0.17547645)/((-2.1736212/x0))) - 1*(-1.5195451)),exp((buoy_TsTa + -0.17547645) / (-2.1736212 / VPD)) - -1.5195451
10,11,18.990059,exp(x0 * (x4 / -1.2629261)) * (2.7464414 - tanh(x2)),0.04464367752748703,(2.7464414 - tanh(x2))*exp(x0*x4/(-1.2629261)),PySRFunction(X=>(2.7464414 - tanh(x2))*exp(x0*x4/(-1.2629261))),exp(VPD * (buoy_TsTa / -1.2629261)) * (2.7464414 - tanh(uzonal))
11,12,18.980806,exp(tanh(x4) / (-1.2629261 / x0)) * (2.7740276 - tanh(x2)),0.00048737368417361727,(2.7740276 - tanh(x2))*exp(tanh(x4)/((-1.2629261/x0))),PySRFunction(X=>(2.7740276 - tanh(x2))*exp(tanh(x4)/((-1.2629261/x0)))),exp(tanh(buoy_TsTa) / (-1.2629261 / VPD)) * (2.7740276 - tanh(uzonal))
12,13,18.749083,exp((x0 * x4) / -1.2629261) * (exp(tanh(x1)) - tanh(x2)),0.0122834134797789,(exp(tanh(x1)) - tanh(x2))*exp(x0*x4/(-1.2629261)),PySRFunction(X=>(exp(tanh(x1)) - tanh(x2))*exp(x0*x4/(-1.2629261))),exp((VPD * buoy_TsTa) / -1.2629261) * (exp(tanh(h*Pr)) - tanh(uzonal))
