,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,30.274881,3.636139,0.0,3.63613900000000,PySRFunction(X=>3.63613900000000),3.636139
1,2,29.625044,sqrt(x1),0.021698274109333057,sqrt(x1),PySRFunction(X=>sqrt(x1)),sqrt(VPD)
2,3,21.392632,x0 * 0.00075717736,0.3255735210084059,x0*0.00075717736,PySRFunction(X=>x0*0.00075717736),AUC_wet * 0.00075717736
3,5,19.122402,x1 * (x0 / 11866.8125),0.056093018165011915,x0*x1/11866.8125,PySRFunction(X=>x0*x1/11866.8125),VPD * (AUC_wet / 11866.8125)
4,6,17.601748,(sqrt(x1) * 0.0003068558) * x0,0.08286231205362983,0.0003068558*x0*sqrt(x1),PySRFunction(X=>0.0003068558*x0*sqrt(x1)),(sqrt(VPD) * 0.0003068558) * AUC_wet
5,7,15.609465,(x0 * 0.015423044) / (30.506243 - x1),0.12012075425617481,x0*0.015423044/(30.506243 - x1),PySRFunction(X=>x0*0.015423044/(30.506243 - x1)),(AUC_wet * 0.015423044) / (30.506243 - VPD)
6,8,15.531284,(x0 * 0.003290185) / sqrt(27.391762 - x1),0.005021148608710595,0.003290185*x0/sqrt(27.391762 - x1),PySRFunction(X=>0.003290185*x0/sqrt(27.391762 - x1)),(AUC_wet * 0.003290185) / sqrt(27.391762 - VPD)
7,9,14.123602,x0 * (0.014474851 / ((x4 + 28.819899) - x1)),0.09500901374633286,x0*0.014474851/(-x1 + x4 + 28.819899),PySRFunction(X=>x0*0.014474851/(-x1 + x4 + 28.819899)),AUC_wet * (0.014474851 / ((vmerid + 28.819899) - VPD))
8,11,13.5133,x0 * (0.014474851 / (((x3 + 29.501463) + x4) - x1)),0.022086456514918047,x0*0.014474851/(-x1 + x3 + x4 + 29.501463),PySRFunction(X=>x0*0.014474851/(-x1 + x3 + x4 + 29.501463)),AUC_wet * (0.014474851 / (((uzonal + 29.501463) + vmerid) - VPD))
9,12,13.489551,(x0 * 0.015423044) / (x4 + ((tanh(x3) + 29.506243) - x1)),0.0017589999014135534,x0*0.015423044/(-x1 + x4 + tanh(x3) + 29.506243),PySRFunction(X=>x0*0.015423044/(-x1 + x4 + tanh(x3) + 29.506243)),(AUC_wet * 0.015423044) / (vmerid + ((tanh(uzonal) + 29.506243) - VPD))
10,13,13.461401,((x6 + x0) * 0.014474851) / ((x3 + 29.501463) + (x4 - x1)),0.002088980770463538,(x0 + x6)*0.014474851/(-x1 + x3 + x4 + 29.501463),PySRFunction(X=>(x0 + x6)*0.014474851/(-x1 + x3 + x4 + 29.501463)),((SR*HODsin + AUC_wet) * 0.014474851) / ((uzonal + 29.501463) + (vmerid - VPD))
11,14,13.363653,((x0 - x2) * 0.015423044) / ((x4 + tanh(x3)) + (29.506243 - x1)),0.007287846103718867,(x0 - x2)*0.015423044/(-x1 + x4 + tanh(x3) + 29.506243),PySRFunction(X=>(x0 - x2)*0.015423044/(-x1 + x4 + tanh(x3) + 29.506243)),((AUC_wet - h*Pr) * 0.015423044) / ((vmerid + tanh(uzonal)) + (29.506243 - VPD))
12,15,13.156588,(x0 / (x4 + (((tanh(x3) + tanh(x3)) - x1) + 30.138157))) * 0.015423044,0.015615937113507313,x0*0.015423044/(-x1 + x4 + tanh(x3) + tanh(x3) + 30.138157),PySRFunction(X=>x0*0.015423044/(-x1 + x4 + tanh(x3) + tanh(x3) + 30.138157)),(AUC_wet / (vmerid + (((tanh(uzonal) + tanh(uzonal)) - VPD) + 30.138157))) * 0.015423044
13,17,13.132896,x0 * (0.015423044 / (((-0.80459565 / ((x2 / 35.239044) + (x3 + -1.1478126))) - x1) + 31.380314)),0.00090119708754519,x0*0.015423044/(-x1 + 31.380314 - 0.80459565/(x2/35.239044 + x3 - 1.1478126)),PySRFunction(X=>x0*0.015423044/(-x1 + 31.380314 - 0.80459565/(x2/35.239044 + x3 - 1.1478126))),AUC_wet * (0.015423044 / (((-0.80459565 / ((h*Pr / 35.239044) + (uzonal + -1.1478126))) - VPD) + 31.380314))
14,18,13.112972,((x6 + x0) * 0.0064490903) / (((x1 + ((-1.2704152 - tanh(x3)) / 0.17499512)) * -0.43159005) + 11.078788),0.001518258327539337,(x0 + x6)*0.0064490903/(11.078788 + (x1 + (-tanh(x3) - 1.2704152)/0.17499512)*(-0.43159005)),PySRFunction(X=>(x0 + x6)*0.0064490903/(11.078788 + (x1 + (-tanh(x3) - 1.2704152)/0.17499512)*(-0.43159005))),((SR*HODsin + AUC_wet) * 0.0064490903) / (((VPD + ((-1.2704152 - tanh(uzonal)) / 0.17499512)) * -0.43159005) + 11.078788)
15,19,11.9911995,(x0 * 0.015423044) / (x4 + (((-0.81702816 / ((x3 + -1.1478126) + (x2 / 35.239044))) + 30.408) - x1)),0.08942896352440947,x0*0.015423044/(-x1 + x4 + 30.408 - 0.81702816/(x2/35.239044 + x3 - 1.1478126)),PySRFunction(X=>x0*0.015423044/(-x1 + x4 + 30.408 - 0.81702816/(x2/35.239044 + x3 - 1.1478126))),(AUC_wet * 0.015423044) / (vmerid + (((-0.81702816 / ((uzonal + -1.1478126) + (h*Pr / 35.239044))) + 30.408) - VPD))
16,20,11.875469,(x0 * 0.015423044) / ((((tanh(x3) / ((x3 + -1.1478126) + (x2 / 35.239044))) - x1) + x4) + 30.408),0.009698161859352945,x0*0.015423044/(-x1 + x4 + 30.408 + tanh(x3)/(x2/35.239044 + x3 - 1.1478126)),PySRFunction(X=>x0*0.015423044/(-x1 + x4 + 30.408 + tanh(x3)/(x2/35.239044 + x3 - 1.1478126))),(AUC_wet * 0.015423044) / ((((tanh(uzonal) / ((uzonal + -1.1478126) + (h*Pr / 35.239044))) - VPD) + vmerid) + 30.408)
17,22,11.86428,((x0 * 0.015423044) - x3) / (((x4 + (tanh(x3) / ((x2 / 35.239044) + (x3 + -1.1478126)))) + 30.365133) - x1),0.0004713192556717722,(x0*0.015423044 - x3)/(-x1 + x4 + 30.365133 + tanh(x3)/(x2/35.239044 + x3 - 1.1478126)),PySRFunction(X=>(x0*0.015423044 - x3)/(-x1 + x4 + 30.365133 + tanh(x3)/(x2/35.239044 + x3 - 1.1478126))),((AUC_wet * 0.015423044) - uzonal) / (((vmerid + (tanh(uzonal) / ((h*Pr / 35.239044) + (uzonal + -1.1478126)))) + 30.365133) - VPD)
18,23,11.717147,(x0 / (((exp(x3) + (30.138165 + x4)) + (tanh(x3) / (x3 + (-1.145553 + (x2 / 35.23581))))) - x1)) * 0.01624666,0.012478880885470067,x0*0.01624666/(-x1 + x4 + exp(x3) + 30.138165 + tanh(x3)/(x2/35.23581 + x3 - 1.145553)),PySRFunction(X=>x0*0.01624666/(-x1 + x4 + exp(x3) + 30.138165 + tanh(x3)/(x2/35.23581 + x3 - 1.145553))),(AUC_wet / (((exp(uzonal) + (30.138165 + vmerid)) + (tanh(uzonal) / (uzonal + (-1.145553 + (h*Pr / 35.23581))))) - VPD)) * 0.01624666
19,25,11.699081,((x0 / ((((exp(x3) + 30.138165) + x4) + (tanh(x3) / (x3 + (-1.145553 + (x2 / 35.23581))))) - x1)) * 0.01624666) - x5,0.0007715163853256711,x0*0.01624666/(-x1 + x4 + exp(x3) + 30.138165 + tanh(x3)/(x2/35.23581 + x3 - 1.145553)) - x5,PySRFunction(X=>x0*0.01624666/(-x1 + x4 + exp(x3) + 30.138165 + tanh(x3)/(x2/35.23581 + x3 - 1.145553)) - x5),((AUC_wet / ((((exp(uzonal) + 30.138165) + vmerid) + (tanh(uzonal) / (uzonal + (-1.145553 + (h*Pr / 35.23581))))) - VPD)) * 0.01624666) - buoy_TsTa
20,27,11.687817,((x4 + (x0 / (exp(x3) + (30.138165 + (x4 + ((tanh(x3) / (x3 + (-1.145553 + (x2 / 35.23581)))) - x1)))))) * 0.01624666) - x5,0.00048163723427475816,-x5 + (x0/(-x1 + x4 + exp(x3) + 30.138165 + tanh(x3)/(x2/35.23581 + x3 - 1.145553)) + x4)*0.01624666,PySRFunction(X=>-x5 + (x0/(-x1 + x4 + exp(x3) + 30.138165 + tanh(x3)/(x2/35.23581 + x3 - 1.145553)) + x4)*0.01624666),((vmerid + (AUC_wet / (exp(uzonal) + (30.138165 + (vmerid + ((tanh(uzonal) / (uzonal + (-1.145553 + (h*Pr / 35.23581)))) - VPD)))))) * 0.01624666) - buoy_TsTa
21,33,11.576496,((0.015423044 / (((tanh(x3) / ((x3 + ((0.9193835 / ((x4 - (x6 + 7.68802)) - tanh(x6))) + (x2 / 35.239044))) + -1.1478126)) + (30.365133 - x1)) + x4)) * x0) - x5,0.00159503026002619,0.015423044*x0/(-x1 + x4 + 30.365133 + tanh(x3)/(x2/35.239044 + x3 - 1.1478126 + 0.9193835/(x4 - (x6 + 7.68802) - tanh(x6)))) - x5,PySRFunction(X=>0.015423044*x0/(-x1 + x4 + 30.365133 + tanh(x3)/(x2/35.239044 + x3 - 1.1478126 + 0.9193835/(x4 - (x6 + 7.68802) - tanh(x6)))) - x5),((0.015423044 / (((tanh(uzonal) / ((uzonal + ((0.9193835 / ((vmerid - (SR*HODsin + 7.68802)) - tanh(SR*HODsin))) + (h*Pr / 35.239044))) + -1.1478126)) + (30.365133 - VPD)) + vmerid)) * AUC_wet) - buoy_TsTa
