,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,30.568052,3.768147,0.0,3.76814700000000,PySRFunction(X=>3.76814700000000),3.768147
1,2,30.087631,sqrt(x2),0.01584125420120547,sqrt(x2),PySRFunction(X=>sqrt(x2)),sqrt(VPD)
2,3,21.760235,x0 * 0.0007502467,0.32402993550552706,x0*0.0007502467,PySRFunction(X=>x0*0.0007502467),AUC_wet * 0.0007502467
3,5,20.005228,x0 * (x2 * 8.0784426e-5),0.042045291083407835,x0*x2*8.0784426e-5,PySRFunction(X=>x0*x2*8.0784426e-5),AUC_wet * (VPD * 8.0784426e-5)
4,6,18.248266,sqrt(x2) * (x0 * 0.00029752782),0.09192357757918061,0.00029752782*x0*sqrt(x2),PySRFunction(X=>0.00029752782*x0*sqrt(x2)),sqrt(VPD) * (AUC_wet * 0.00029752782)
5,7,16.300291,(x0 * -0.015309549) / (x2 + -30.74113),0.1128871014016887,x0*(-0.015309549)/(x2 - 30.74113),PySRFunction(X=>x0*(-0.015309549)/(x2 - 30.74113)),(AUC_wet * -0.015309549) / (VPD + -30.74113)
6,9,14.757249,x0 * (-0.014101774 / (x2 + (-28.749754 - x5))),0.049724270363446864,x0*(-0.014101774)/(x2 - x5 - 28.749754),PySRFunction(X=>x0*(-0.014101774)/(x2 - x5 - 28.749754)),AUC_wet * (-0.014101774 / (VPD + (-28.749754 - vmerid)))
7,10,14.251199,(x0 / ((x2 + -20.270638) - sqrt(x1))) * -0.01737004,0.034893376161264734,-0.01737004*x0/(-sqrt(x1) + x2 - 20.270638),PySRFunction(X=>-0.01737004*x0/(-sqrt(x1) + x2 - 20.270638)),(AUC_wet / ((VPD + -20.270638) - sqrt(WD))) * -0.01737004
8,11,13.992964,x0 * (-0.014101774 / (x2 + ((-29.464375 - x5) - x4))),0.01828641167059791,x0*(-0.014101774)/(x2 - x4 - x5 - 29.464375),PySRFunction(X=>x0*(-0.014101774)/(x2 - x4 - x5 - 29.464375)),AUC_wet * (-0.014101774 / (VPD + ((-29.464375 - vmerid) - uzonal)))
9,12,13.890949,(x0 * -0.014574689) / (((x2 - tanh(x8)) + -29.623089) - x5),0.0073171548887663715,x0*(-0.014574689)/(x2 - x5 - tanh(x8) - 29.623089),PySRFunction(X=>x0*(-0.014574689)/(x2 - x5 - tanh(x8) - 29.623089)),(AUC_wet * -0.014574689) / (((VPD - tanh(u*VPD)) + -29.623089) - vmerid)
