,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,30.568052,3.768615,0.0,3.76861500000000,PySRFunction(X=>3.76861500000000),3.768615
1,2,30.087631,sqrt(x0),0.01584125420120547,sqrt(x0),PySRFunction(X=>sqrt(x0)),sqrt(VPD)
2,3,26.948645,x0 / 1.9270009,0.11018113926943131,x0/1.9270009,PySRFunction(X=>x0/1.9270009),VPD / 1.9270009
3,4,25.363724,exp(x0 * 0.124698095),0.06061305358371632,exp(x0*0.124698095),PySRFunction(X=>exp(x0*0.124698095)),exp(VPD * 0.124698095)
4,5,24.404688,exp(exp(x0 * 0.044584617)),0.03854471922228649,exp(exp(x0*0.044584617)),PySRFunction(X=>exp(exp(x0*0.044584617))),exp(exp(VPD * 0.044584617))
5,6,24.066305,exp(x4 * -20.488506) + 2.4811957,0.013962515574949206,exp(x4*(-20.488506)) + 2.4811957,PySRFunction(X=>exp(x4*(-20.488506)) + 2.4811957),exp(buoy_TsTa * -20.488506) + 2.4811957
6,7,21.922096,exp((0.49511617 - x4) * sqrt(x0)),0.09331765147049446,exp(sqrt(x0)*(0.49511617 - x4)),PySRFunction(X=>exp(sqrt(x0)*(0.49511617 - x4))),exp((0.49511617 - buoy_TsTa) * sqrt(VPD))
7,9,21.471533,exp((x4 / -0.1866027) + exp(x0 * 0.03744471)),0.010383533324259512,exp(x4/(-0.1866027) + exp(x0*0.03744471)),PySRFunction(X=>exp(x4/(-0.1866027) + exp(x0*0.03744471))),exp((buoy_TsTa / -0.1866027) + exp(VPD * 0.03744471))
8,10,21.335112,exp(sqrt(x0) * (0.49287784 - x4)) - tanh(x5),0.006373845081849399,exp(sqrt(x0)*(0.49287784 - x4)) - tanh(x5),PySRFunction(X=>exp(sqrt(x0)*(0.49287784 - x4)) - tanh(x5)),exp(sqrt(VPD) * (0.49287784 - buoy_TsTa)) - tanh(u*VPD)
9,11,21.056173,exp((x0 * tanh(x4 * -19.997343)) * 0.13088885) + 2.1561267,0.013160394921495526,exp(x0*tanh(x4*(-19.997343))*0.13088885) + 2.1561267,PySRFunction(X=>exp(x0*tanh(x4*(-19.997343))*0.13088885) + 2.1561267),exp((VPD * tanh(buoy_TsTa * -19.997343)) * 0.13088885) + 2.1561267
10,12,20.921585,exp(exp(x0 * 0.03744362) + (x4 / -0.18519863)) - tanh(x5),0.0064123701494954435,exp(x4/(-0.18519863) + exp(x0*0.03744362)) - tanh(x5),PySRFunction(X=>exp(x4/(-0.18519863) + exp(x0*0.03744362)) - tanh(x5)),exp(exp(VPD * 0.03744362) + (buoy_TsTa / -0.18519863)) - tanh(u*VPD)
11,13,20.812359,exp((x0 * tanh(x4 * -19.997343)) * 0.13088885) + exp(tanh(x1)),0.005234408202129952,exp(x0*tanh(x4*(-19.997343))*0.13088885) + exp(tanh(x1)),PySRFunction(X=>exp(x0*tanh(x4*(-19.997343))*0.13088885) + exp(tanh(x1))),exp((VPD * tanh(buoy_TsTa * -19.997343)) * 0.13088885) + exp(tanh(h*Pr))
12,14,20.591047,exp((x4 / -0.18519863) + exp(x0 * 0.03744362)) - tanh(x2 * x1),0.010690623268905545,exp(x4/(-0.18519863) + exp(x0*0.03744362)) - tanh(x1*x2),PySRFunction(X=>exp(x4/(-0.18519863) + exp(x0*0.03744362)) - tanh(x1*x2)),exp((buoy_TsTa / -0.18519863) + exp(VPD * 0.03744362)) - tanh(uzonal * h*Pr)
13,15,20.2992,(exp(((x0 * 0.23698525) - exp(x2)) + -1.9660708) + 2.9445686) - (x4 * x0),0.01427489326983676,-x0*x4 + exp(x0*0.23698525 - exp(x2) - 1.9660708) + 2.9445686,PySRFunction(X=>-x0*x4 + exp(x0*0.23698525 - exp(x2) - 1.9660708) + 2.9445686),(exp(((VPD * 0.23698525) - exp(uzonal)) + -1.9660708) + 2.9445686) - (buoy_TsTa * VPD)
14,16,19.575832,exp(x4 * -5.279831) * (exp(((x0 * 0.14457482) - tanh(x2)) + -1.4663993) + 2.8683484),0.03628573223771712,(exp(x0*0.14457482 - tanh(x2) - 1.4663993) + 2.8683484)*exp(x4*(-5.279831)),PySRFunction(X=>(exp(x0*0.14457482 - tanh(x2) - 1.4663993) + 2.8683484)*exp(x4*(-5.279831))),exp(buoy_TsTa * -5.279831) * (exp(((VPD * 0.14457482) - tanh(uzonal)) + -1.4663993) + 2.8683484)
15,17,19.279522,(exp(((x0 * 0.25308916) + -3.0688531) - exp(x2)) + 3.5677528) * exp(tanh(x4 * -8.36154)),0.01525224782254026,(exp(x0*0.25308916 - exp(x2) - 3.0688531) + 3.5677528)*exp(tanh(x4*(-8.36154))),PySRFunction(X=>(exp(x0*0.25308916 - exp(x2) - 3.0688531) + 3.5677528)*exp(tanh(x4*(-8.36154)))),(exp(((VPD * 0.25308916) + -3.0688531) - exp(uzonal)) + 3.5677528) * exp(tanh(buoy_TsTa * -8.36154))
16,19,18.439297,(exp(((x0 * 0.38581982) - x3) + -6.466286) + 4.0028973) * (tanh((x0 * x4) * -1.2247474) + 0.9877712),0.022279701293233884,(exp(x0*0.38581982 - x3 - 6.466286) + 4.0028973)*(tanh(x0*x4*(-1.2247474)) + 0.9877712),PySRFunction(X=>(exp(x0*0.38581982 - x3 - 6.466286) + 4.0028973)*(tanh(x0*x4*(-1.2247474)) + 0.9877712)),(exp(((VPD * 0.38581982) - vmerid) + -6.466286) + 4.0028973) * (tanh((VPD * buoy_TsTa) * -1.2247474) + 0.9877712)
17,20,18.018091,(tanh(x0) + tanh((x0 * x4) * -1.2262747)) * (exp(((x0 * 0.38581982) - x3) + -6.466286) + 4.08183),0.023107785035926712,(exp(x0*0.38581982 - x3 - 6.466286) + 4.08183)*(tanh(x0) + tanh(x0*x4*(-1.2262747))),PySRFunction(X=>(exp(x0*0.38581982 - x3 - 6.466286) + 4.08183)*(tanh(x0) + tanh(x0*x4*(-1.2262747)))),(tanh(VPD) + tanh((VPD * buoy_TsTa) * -1.2262747)) * (exp(((VPD * 0.38581982) - vmerid) + -6.466286) + 4.08183)
