,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,24.210487,3.5771148,0.0,3.57711480000000,PySRFunction(X=>3.57711480000000),3.5771148
1,2,23.070421,sqrt(x2),0.048234565575207666,sqrt(x2),PySRFunction(X=>sqrt(x2)),sqrt(Tv_C)
2,3,16.55728,x0 * 0.00072568096,0.3317254365684534,x0*0.00072568096,PySRFunction(X=>x0*0.00072568096),AUC_wet * 0.00072568096
3,5,15.164504,(x0 * x2) * 2.5929174e-5,0.04393422527194092,x0*x2*2.5929174e-5,PySRFunction(X=>x0*x2*2.5929174e-5),(AUC_wet * Tv_C) * 2.5929174e-5
4,6,14.2829685,exp((x0 * 6.9008993e-6) * x2),0.059889620255765476,exp(x0*6.9008993e-6*x2),PySRFunction(X=>exp(x0*6.9008993e-6*x2)),exp((AUC_wet * 6.9008993e-6) * Tv_C)
5,7,14.037803,(exp(sqrt(x2)) * 3.2224198e-6) * x0,0.017313908587350654,3.2224198e-6*x0*exp(sqrt(x2)),PySRFunction(X=>3.2224198e-6*x0*exp(sqrt(x2))),(exp(sqrt(Tv_C)) * 3.2224198e-6) * AUC_wet
6,8,13.031259,exp((x0 * (x2 * x2)) * 2.1625509e-7),0.0744028952253608,exp(x0*x2*x2*2.1625509e-7),PySRFunction(X=>exp(x0*x2*x2*2.1625509e-7)),exp((AUC_wet * (Tv_C * Tv_C)) * 2.1625509e-7)
7,9,13.031258,sqrt(exp((x0 * (x2 * 4.32513e-7)) * x2)),7.673855912058446e-08,sqrt(exp(4.32513e-7*x0*x2**2)),PySRFunction(X=>sqrt(exp(4.32513e-7*x0*x2**2))),sqrt(exp((AUC_wet * (Tv_C * 4.32513e-7)) * Tv_C))
8,10,12.875111,((exp(x2 * 0.4022876) * 6.685012e-10) + 0.0005207811) * x0,0.012054865035899863,x0*(exp(x2*0.4022876)*6.685012e-10 + 0.0005207811),PySRFunction(X=>x0*(exp(x2*0.4022876)*6.685012e-10 + 0.0005207811)),((exp(Tv_C * 0.4022876) * 6.685012e-10) + 0.0005207811) * AUC_wet
9,11,12.117513,(((x0 * sqrt(exp(x2))) * 2.3247181e-15) + 0.0005453477) * x0,0.0606443063064871,x0*(2.3247181e-15*x0*sqrt(exp(x2)) + 0.0005453477),PySRFunction(X=>x0*(2.3247181e-15*x0*sqrt(exp(x2)) + 0.0005453477)),(((AUC_wet * sqrt(exp(Tv_C))) * 2.3247181e-15) + 0.0005453477) * AUC_wet
10,12,12.107725,x0 * ((exp(x2 * 0.46601218) * (x0 * 7.902448e-15)) + 0.00053753884),0.0008080829201867577,x0*(exp(x2*0.46601218)*x0*7.902448e-15 + 0.00053753884),PySRFunction(X=>x0*(exp(x2*0.46601218)*x0*7.902448e-15 + 0.00053753884)),AUC_wet * ((exp(Tv_C * 0.46601218) * (AUC_wet * 7.902448e-15)) + 0.00053753884)
11,13,11.545162,((sqrt(exp(x2)) * ((x0 + -5846.246) * 5.9228715e-15)) + 0.00055361295) * x0,0.04757720388866942,x0*((5.9228715e-15*x0 - 3.4626563815389e-11)*sqrt(exp(x2)) + 0.00055361295),PySRFunction(X=>x0*((5.9228715e-15*x0 - 3.4626563815389e-11)*sqrt(exp(x2)) + 0.00055361295)),((sqrt(exp(Tv_C)) * ((AUC_wet + -5846.246) * 5.9228715e-15)) + 0.00055361295) * AUC_wet
12,14,10.977794,((exp((x2 * 0.41888648) - (x5 / x4)) * 2.9415173e-10) + 0.000514827) * x0,0.05039196960721181,x0*(exp(x2*0.41888648 - x5/x4)*2.9415173e-10 + 0.000514827),PySRFunction(X=>x0*(exp(x2*0.41888648 - x5/x4)*2.9415173e-10 + 0.000514827)),((exp((Tv_C * 0.41888648) - (u*VPD / VPD*WS)) * 2.9415173e-10) + 0.000514827) * AUC_wet
