slot,param_idx,param_letter,warm_start,fold_mean,fold_std,fold_cov_abs,fold_min,fold_max,unstable_flag
simple_ruleA,0,a,0.0007255381,0.00073324204,2.1268994990431525e-05,0.029006786068119506,0.0007056761,0.000758084,0
knee_ruleA,0,a,2.163138e-07,1.1861525999999997e-07,2.0767057573188695e-07,1.7507913883246304,1.751772e-08,4.898125e-07,1
knee_ruleA,1,b,2.0,2.4545326,0.400225226897056,0.16305557599726156,1.760528,2.72638,0
complex_ruleA,0,a,2.0,2.1057791999999997,0.23652948180554578,0.1123239710058613,2.0,2.528896,0
complex_ruleA,1,b,3.041227,3.0084227999999995,0.07335242114749858,0.024382351160049245,2.877206,3.041227,0
complex_ruleA,2,c,2.113012e-07,1.7563123400000002e-07,7.976046873110626e-08,0.4541360150729582,3.295137e-08,2.113012e-07,0
complex_ruleA,3,d,-2.113012e-07,-1.7504527399999998e-07,8.107071512320204e-08,0.4631414106227287,-2.113012e-07,-3.002157e-08,0
best_accuracy_ruleA,0,a,0.9703046,0.8245242599999999,0.17174829692364638,0.2082998709142244,0.7017743,1.12249,0
best_accuracy_ruleA,1,b,-0.7045468,-1.82182795,1.5489596378407524,0.850222787415657,-3.556772,-0.01104385,1
best_accuracy_ruleA,2,c,2.726118,11.6565256,6.963628364317578,0.5974017132787472,7.504126,23.90691,1
best_accuracy_ruleA,3,d,2.0,2.0529366,0.519004820062685,0.2528109343769725,1.667896,2.901559,0
best_accuracy_ruleA,4,e,0.02332521,0.06049372799999999,0.012368721422945058,0.2044628729600705,0.05138927,0.08147485,0
best_accuracy_ruleA,5,f,-0.02332521,-0.024452118,0.0007966187054796035,0.03257871998980225,-0.02586046,-0.02391958,0
best_accuracy_ruleA,6,g,-0.0003283832,-0.00031922046,1.8929370252942917e-05,0.0592987374710973,-0.0003412409,-0.0002994628,0
best_accuracy_ruleA,7,h,6.461312e-05,6.1540408e-05,1.056112781466402e-05,0.17161289887229897,4.46111e-05,7.163771e-05,0
best_accuracy_ruleA,8,i,-1.905502,-0.7664419199999999,0.9343552886209785,1.2190816606442647,-1.573691,0.8469546,1
c02_recur,0,a,0.5,0.43580628,0.012263515556397365,0.028139832120816076,0.4214947,0.4509155,0
c03_recur,0,a,0.0007256861,0.00073324204,2.1268994990431525e-05,0.029006786068119506,0.0007056761,0.000758084,0
c05_recur,0,a,2.593278e-05,2.6371587999999997e-05,8.952210443627871e-07,0.03394642159443668,2.521571e-05,2.75469e-05,0
c06_recur,0,a,6.902121e-06,6.989446800000001e-06,1.4502781999395851e-07,0.020749542008669197,6.790338e-06,7.163837e-06,0
c07_recur,0,a,3.222474e-06,1.7942824600000002e-06,1.7673926767174658e-06,0.9850136286331783,5.850969e-07,4.889807e-06,1
c07_recur,1,b,0.5,0.54150282,0.04026348529706538,0.0743550796227901,0.4756457,0.580303,0
c10_recur,0,a,1.422985e-09,1.9517972140000002e-08,3.459677350326297e-08,1.7725598363961477,1.443167e-10,8.108551e-08,1
c10_recur,1,b,0.000510569,0.0004955102399999999,2.220532943964128e-05,0.044813058635561766,0.0004774,0.0005235874,0
c10_recur,2,c,0.3810166,0.35529686000000005,0.07146028861033937,0.20112839896851148,0.2608222,0.4541384,0
