,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,16.96758,3.4432592,0.0,3.44325920000000,PySRFunction(X=>3.44325920000000),3.4432592
1,3,9.443557,x0 * 0.08033049,0.2929858772237656,x0*0.08033049,PySRFunction(X=>x0*0.08033049),AUC * 0.08033049
2,5,9.005394,(x7 + x0) * 0.06976667,0.023754489446098308,(x0 + x7)*0.06976667,PySRFunction(X=>(x0 + x7)*0.06976667),(v*VPD + AUC) * 0.06976667
3,6,8.988354,x0 / (tanh(x8) + 12.264347),0.0018939917457810233,x0/(tanh(x8) + 12.264347),PySRFunction(X=>x0/(tanh(x8) + 12.264347)),AUC / (tanh(SR*HODsin) + 12.264347)
4,7,7.7220707,(x0 * 0.0014911041) * (x7 - -45.009087),0.1518471859359901,x0*0.0014911041*(x7 - 1*(-45.009087)),PySRFunction(X=>x0*0.0014911041*(x7 - 1*(-45.009087))),(AUC * 0.0014911041) * (v*VPD - -45.009087)
5,8,7.720828,tanh((x7 - -45.148674) * 0.0014912392) * x0,0.0001609412878791044,x0*tanh((x7 - 1*(-45.148674))*0.0014912392),PySRFunction(X=>x0*tanh((x7 - 1*(-45.148674))*0.0014912392)),tanh((v*VPD - -45.148674) * 0.0014912392) * AUC
6,9,7.3581595,x0 * (((x0 * 1.9123328e-5) * x7) - -0.0664154),0.04811177863760567,x0*(x0*1.9123328e-5*x7 - 1*(-0.0664154)),PySRFunction(X=>x0*(x0*1.9123328e-5*x7 - 1*(-0.0664154))),AUC * (((AUC * 1.9123328e-5) * v*VPD) - -0.0664154)
7,10,7.356658,tanh(((x0 * 1.9123328e-5) * x7) - -0.0664154) * x0,0.00020408000373919866,x0*tanh(x0*1.9123328e-5*x7 - 1*(-0.0664154)),PySRFunction(X=>x0*tanh(x0*1.9123328e-5*x7 - 1*(-0.0664154))),tanh(((AUC * 1.9123328e-5) * v*VPD) - -0.0664154) * AUC
8,11,7.299369,x0 * (((x0 * 1.951951e-5) * (x7 - 9.434784)) - -0.08070105),0.007817847467892334,x0*(x0*1.951951e-5*(x7 - 1*9.434784) - 1*(-0.08070105)),PySRFunction(X=>x0*(x0*1.951951e-5*(x7 - 1*9.434784) - 1*(-0.08070105))),AUC * (((AUC * 1.951951e-5) * (v*VPD - 9.434784)) - -0.08070105)
9,12,7.298324,x0 * (tanh(x0 * ((x7 - 9.434784) * 1.9810625e-5)) - -0.080720864),0.00014317330852008295,x0*(tanh(x0*(x7 - 1*9.434784)*1.9810625e-5) - 1*(-0.080720864)),PySRFunction(X=>x0*(tanh(x0*(x7 - 1*9.434784)*1.9810625e-5) - 1*(-0.080720864))),AUC * (tanh(AUC * ((v*VPD - 9.434784) * 1.9810625e-5)) - -0.080720864)
10,13,7.2494435,(((x0 * 1.9810625e-5) * (x7 - 9.434784)) - -0.080546) * (x0 - x2),0.006720025453850952,(x0 - x2)*(x0*1.9810625e-5*(x7 - 1*9.434784) - 1*(-0.080546)),PySRFunction(X=>(x0 - x2)*(x0*1.9810625e-5*(x7 - 1*9.434784) - 1*(-0.080546))),(((AUC * 1.9810625e-5) * (v*VPD - 9.434784)) - -0.080546) * (AUC - uzonal)
11,14,7.248246,(tanh((x0 * 1.9810625e-5) * (x7 - 9.434784)) - -0.080546) * (x0 - x2),0.00016519873773309073,(x0 - x2)*(tanh(x0*1.9810625e-5*(x7 - 1*9.434784)) - 1*(-0.080546)),PySRFunction(X=>(x0 - x2)*(tanh(x0*1.9810625e-5*(x7 - 1*9.434784)) - 1*(-0.080546))),(tanh((AUC * 1.9810625e-5) * (v*VPD - 9.434784)) - -0.080546) * (AUC - uzonal)
12,15,7.089055,x0 * (((0.28416657 - x10) * ((x7 + (x1 - x9)) * 0.005111815)) + 0.060303178),0.022207463220200313,x0*((0.28416657 - x10)*(x1 + x7 - x9)*0.005111815 + 0.060303178),PySRFunction(X=>x0*((0.28416657 - x10)*(x1 + x7 - x9)*0.005111815 + 0.060303178)),AUC * (((0.28416657 - h*v) * ((v*VPD + (h*Pr - VPD*WS*d1sin)) * 0.005111815)) + 0.060303178)
13,16,7.0728455,x0 * (((0.2731331 - x10) * tanh(((x1 + x7) - x9) * 0.0063058455)) + 0.058995474),0.002289171157297612,x0*((0.2731331 - x10)*tanh((x1 + x7 - x9)*0.0063058455) + 0.058995474),PySRFunction(X=>x0*((0.2731331 - x10)*tanh((x1 + x7 - x9)*0.0063058455) + 0.058995474)),AUC * (((0.2731331 - h*v) * tanh(((h*Pr + v*VPD) - VPD*WS*d1sin) * 0.0063058455)) + 0.058995474)
