,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,26.32181,3.5925965,0.0,3.59259650000000,PySRFunction(X=>3.59259650000000),3.5925965
1,3,18.0177,x0 * 0.08364826,0.1895216325078063,x0*0.08364826,PySRFunction(X=>x0*0.08364826),AUC * 0.08364826
2,5,17.510637,(x0 - x9) * 0.07631846,0.014273041613026683,(x0 - x9)*0.07631846,PySRFunction(X=>(x0 - x9)*0.07631846),(AUC - VPD*WS*d1sin) * 0.07631846
3,6,17.366446,(x0 * 0.08458184) / exp(x3),0.008268571171419612,x0*0.08458184/exp(x3),PySRFunction(X=>x0*0.08458184/exp(x3)),(AUC * 0.08458184) / exp(buoy_TsTa)
4,7,15.544813,x0 * ((x5 * 5.6531226e-6) + 0.065568276),0.11081293982965974,x0*(x5*5.6531226e-6 + 0.065568276),PySRFunction(X=>x0*(x5*5.6531226e-6 + 0.065568276)),AUC * ((SR*VPD * 5.6531226e-6) + 0.065568276)
5,9,15.238667,(((x0 * x5) * 6.702712e-8) + 0.06570555) * x0,0.009945467302715593,x0*(x0*x5*6.702712e-8 + 0.06570555),PySRFunction(X=>x0*(x0*x5*6.702712e-8 + 0.06570555)),(((AUC * SR*VPD) * 6.702712e-8) + 0.06570555) * AUC
6,11,14.611461,x0 * ((x5 * 4.6465602e-6) + ((x9 * -0.0014453795) + 0.06130581)),0.021014929239239914,x0*(x5*4.6465602e-6 + x9*(-0.0014453795) + 0.06130581),PySRFunction(X=>x0*(x5*4.6465602e-6 + x9*(-0.0014453795) + 0.06130581)),AUC * ((SR*VPD * 4.6465602e-6) + ((VPD*WS*d1sin * -0.0014453795) + 0.06130581))
7,12,14.609275,x0 * ((x5 * 4.6465602e-6) + tanh((x9 * -0.0014453795) + 0.061382785)),0.00014961977713893264,x0*(x5*4.6465602e-6 + tanh(0.061382785 + x9*(-0.0014453795))),PySRFunction(X=>x0*(x5*4.6465602e-6 + tanh(0.061382785 + x9*(-0.0014453795)))),AUC * ((SR*VPD * 4.6465602e-6) + tanh((VPD*WS*d1sin * -0.0014453795) + 0.061382785))
8,13,14.33317,x0 * ((x0 * (((x5 * -0.0021691462) + x9) * -2.0693751e-5)) + 0.057814613),0.019080169374114355,x0*(x0*(x5*(-0.0021691462) + x9)*(-2.0693751e-5) + 0.057814613),PySRFunction(X=>x0*(x0*(x5*(-0.0021691462) + x9)*(-2.0693751e-5) + 0.057814613)),AUC * ((AUC * (((SR*VPD * -0.0021691462) + VPD*WS*d1sin) * -2.0693751e-5)) + 0.057814613)
9,15,14.067708,x0 * (((x0 * -1.5976162e-5) * (((x5 * -0.003665731) + x9) + 18.212143)) + 0.08382893),0.009347236770891098,x0*(x0*(-1.5976162e-5)*(x5*(-0.003665731) + x9 + 18.212143) + 0.08382893),PySRFunction(X=>x0*(x0*(-1.5976162e-5)*(x5*(-0.003665731) + x9 + 18.212143) + 0.08382893)),AUC * (((AUC * -1.5976162e-5) * (((SR*VPD * -0.003665731) + VPD*WS*d1sin) + 18.212143)) + 0.08382893)
10,17,13.930401,((((x0 * x0) * -1.8696667e-7) * ((x9 + 18.212143) + (x5 * -0.0036657148))) + 0.08382893) * x0,0.004904191950712477,x0*(x0*x0*(-1.8696667e-7)*(x5*(-0.0036657148) + x9 + 18.212143) + 0.08382893),PySRFunction(X=>x0*(x0*x0*(-1.8696667e-7)*(x5*(-0.0036657148) + x9 + 18.212143) + 0.08382893)),((((AUC * AUC) * -1.8696667e-7) * ((VPD*WS*d1sin + 18.212143) + (SR*VPD * -0.0036657148))) + 0.08382893) * AUC
11,19,13.860889,(((((x0 - x1) * x0) * -1.8696667e-7) * ((x9 + 18.212143) + (x5 * -0.0036657148))) + 0.08382893) * x0,0.0025012205247774222,x0*((x0 - x1)*x0*(-1.8696667e-7)*(x5*(-0.0036657148) + x9 + 18.212143) + 0.08382893),PySRFunction(X=>x0*((x0 - x1)*x0*(-1.8696667e-7)*(x5*(-0.0036657148) + x9 + 18.212143) + 0.08382893)),(((((AUC - h*Pr) * AUC) * -1.8696667e-7) * ((VPD*WS*d1sin + 18.212143) + (SR*VPD * -0.0036657148))) + 0.08382893) * AUC
12,21,13.66262,(((x0 * ((x1 * -0.03298255) + 0.31669262)) * ((((x5 * -0.003665731) + 18.212143) + x9) * -8.133217e-5)) + 0.08382893) * x0,0.0072037482446208,x0*(x0*(0.31669262 + x1*(-0.03298255))*(x5*(-0.003665731) + x9 + 18.212143)*(-8.133217e-5) + 0.08382893),PySRFunction(X=>x0*(x0*(0.31669262 + x1*(-0.03298255))*(x5*(-0.003665731) + x9 + 18.212143)*(-8.133217e-5) + 0.08382893)),(((AUC * ((h*Pr * -0.03298255) + 0.31669262)) * ((((SR*VPD * -0.003665731) + 18.212143) + VPD*WS*d1sin) * -8.133217e-5)) + 0.08382893) * AUC
13,22,13.656657,(0.08382893 + (x0 * (tanh((-0.03298255 * x1) + 0.32796672) * (-8.133217e-5 * ((-0.003665731 * x5) + (18.212143 + x9)))))) * x0,0.00043654157426622564,x0*(x0*tanh(0.32796672 - 0.03298255*x1)*(-8.133217e-5)*(-0.003665731*x5 + x9 + 18.212143) + 0.08382893),PySRFunction(X=>x0*(x0*tanh(0.32796672 - 0.03298255*x1)*(-8.133217e-5)*(-0.003665731*x5 + x9 + 18.212143) + 0.08382893)),(0.08382893 + (AUC * (tanh((-0.03298255 * h*Pr) + 0.32796672) * (-8.133217e-5 * ((-0.003665731 * SR*VPD) + (18.212143 + VPD*WS*d1sin)))))) * AUC
14,23,13.653303,((((((x5 * -0.003665731) + x9) + 18.212143) * (x0 - 2.0647516)) * (((x1 * -0.03298255) + 0.32796672) * -8.133217e-5)) + 0.08382893) * x0,0.00024562467443103153,x0*((x5*(-0.003665731) + x9 + 18.212143)*(x0 - 1*2.0647516)*(0.32796672 + x1*(-0.03298255))*(-8.133217e-5) + 0.08382893),PySRFunction(X=>x0*((x5*(-0.003665731) + x9 + 18.212143)*(x0 - 1*2.0647516)*(0.32796672 + x1*(-0.03298255))*(-8.133217e-5) + 0.08382893)),((((((SR*VPD * -0.003665731) + VPD*WS*d1sin) + 18.212143) * (AUC - 2.0647516)) * (((h*Pr * -0.03298255) + 0.32796672) * -8.133217e-5)) + 0.08382893) * AUC
15,24,13.606468,(x0 - tanh(x6)) * ((x0 * (((x1 * -0.03298255) + 0.31669262) * (((x5 * -0.003665731) + (x9 + 18.212143)) * -8.133217e-5))) + 0.08382893),0.0034362024599274834,(x0 - tanh(x6))*(x0*(0.31669262 + x1*(-0.03298255))*(x5*(-0.003665731) + x9 + 18.212143)*(-8.133217e-5) + 0.08382893),PySRFunction(X=>(x0 - tanh(x6))*(x0*(0.31669262 + x1*(-0.03298255))*(x5*(-0.003665731) + x9 + 18.212143)*(-8.133217e-5) + 0.08382893)),(AUC - tanh(u*VPD)) * ((AUC * (((h*Pr * -0.03298255) + 0.31669262) * (((SR*VPD * -0.003665731) + (VPD*WS*d1sin + 18.212143)) * -8.133217e-5))) + 0.08382893)
16,25,13.600183,(x0 - exp(tanh(x6))) * (((((x1 * -0.03298255) + 0.31669262) * (((x5 * -0.003665731) + 18.212143) + x9)) * (x0 * -8.133217e-5)) + 0.08382893),0.0004620193872300717,(x0 - exp(tanh(x6)))*((0.31669262 + x1*(-0.03298255))*(x5*(-0.003665731) + x9 + 18.212143)*x0*(-8.133217e-5) + 0.08382893),PySRFunction(X=>(x0 - exp(tanh(x6)))*((0.31669262 + x1*(-0.03298255))*(x5*(-0.003665731) + x9 + 18.212143)*x0*(-8.133217e-5) + 0.08382893)),(AUC - exp(tanh(u*VPD))) * (((((h*Pr * -0.03298255) + 0.31669262) * (((SR*VPD * -0.003665731) + 18.212143) + VPD*WS*d1sin)) * (AUC * -8.133217e-5)) + 0.08382893)
17,26,13.5076685,(x0 - (tanh(x6) / 0.22203448)) * (((((x5 * -0.003665731) + (x9 + 18.212143)) * -8.133217e-5) * (((x1 * -0.03298255) + 0.32796672) * x0)) + 0.08382893),0.006825687324377251,(x0 - tanh(x6)/0.22203448)*((x5*(-0.003665731) + x9 + 18.212143)*(-8.133217e-5)*(0.32796672 + x1*(-0.03298255))*x0 + 0.08382893),PySRFunction(X=>(x0 - tanh(x6)/0.22203448)*((x5*(-0.003665731) + x9 + 18.212143)*(-8.133217e-5)*(0.32796672 + x1*(-0.03298255))*x0 + 0.08382893)),(AUC - (tanh(u*VPD) / 0.22203448)) * (((((SR*VPD * -0.003665731) + (VPD*WS*d1sin + 18.212143)) * -8.133217e-5) * (((h*Pr * -0.03298255) + 0.32796672) * AUC)) + 0.08382893)
18,28,13.3979,((((((x1 * -0.03599802) + 0.32796672) * x0) * (x9 + ((x5 * -0.003665731) + 18.212143))) * -8.133217e-5) + 0.08382893) * (x0 - (tanh(x6) / (x3 + 0.20380688))),0.004079791475899061,(x0 - tanh(x6)/(x3 + 0.20380688))*((0.32796672 + x1*(-0.03599802))*x0*(x5*(-0.003665731) + x9 + 18.212143)*(-8.133217e-5) + 0.08382893),PySRFunction(X=>(x0 - tanh(x6)/(x3 + 0.20380688))*((0.32796672 + x1*(-0.03599802))*x0*(x5*(-0.003665731) + x9 + 18.212143)*(-8.133217e-5) + 0.08382893)),((((((h*Pr * -0.03599802) + 0.32796672) * AUC) * (VPD*WS*d1sin + ((SR*VPD * -0.003665731) + 18.212143))) * -8.133217e-5) + 0.08382893) * (AUC - (tanh(u*VPD) / (buoy_TsTa + 0.20380688)))
