,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,30.534065,3.6189468,0.0,3.61894680000000,PySRFunction(X=>3.61894680000000),3.6189468
1,2,30.480503,sqrt(x5),0.0017557123000150792,sqrt(x5),PySRFunction(X=>sqrt(x5)),sqrt(VPD*WS)
2,3,21.823074,x0 * 0.0007485824,0.33411938289799803,x0*0.0007485824,PySRFunction(X=>x0*0.0007485824),AUC_wet * 0.0007485824
3,5,21.60818,(x3 * x0) * 2.4936257e-6,0.004947951852639019,x3*x0*2.4936257e-6,PySRFunction(X=>x3*x0*2.4936257e-6),(Tv_K * AUC_wet) * 2.4936257e-6
4,6,20.396843,(x0 * sqrt(x5)) * 0.00021163604,0.057691812731239925,0.00021163604*x0*sqrt(x5),PySRFunction(X=>0.00021163604*x0*sqrt(x5)),(AUC_wet * sqrt(VPD*WS)) * 0.00021163604
5,7,19.01059,x0 * ((x3 * 6.615064e-5) + -0.019209912),0.07038394165702667,x0*(x3*6.615064e-5 - 0.019209912),PySRFunction(X=>x0*(x3*6.615064e-5 - 0.019209912)),AUC_wet * ((Tv_K * 6.615064e-5) + -0.019209912)
6,8,18.851513,(x0 * sqrt(x5 + 7.131511)) * 0.00017618369,0.008403016390481664,0.00017618369*x0*sqrt(x5 + 7.131511),PySRFunction(X=>0.00017618369*x0*sqrt(x5 + 7.131511)),(AUC_wet * sqrt(VPD*WS + 7.131511)) * 0.00017618369
7,9,18.361938,x0 * (((x5 * x0) * 1.8676864e-9) + 0.0005314751),0.026313240747621987,x0*(x5*x0*1.8676864e-9 + 0.0005314751),PySRFunction(X=>x0*(x5*x0*1.8676864e-9 + 0.0005314751)),AUC_wet * (((VPD*WS * AUC_wet) * 1.8676864e-9) + 0.0005314751)
8,10,18.120811,(((sqrt(x5) * x0) * 1.45875125e-8) + 0.00036415254) * x0,0.013218878389650527,x0*(1.45875125e-8*x0*sqrt(x5) + 0.00036415254),PySRFunction(X=>x0*(1.45875125e-8*x0*sqrt(x5) + 0.00036415254)),(((sqrt(VPD*WS) * AUC_wet) * 1.45875125e-8) + 0.00036415254) * AUC_wet
9,12,16.058125,exp((-0.005611763 - (x3 * -1.8533876e-5)) * x0) * (x0 * 0.000677604),0.060423052386740526,exp(x0*(-(-1.8533876e-5)*x3 - 0.005611763))*x0*0.000677604,PySRFunction(X=>exp(x0*(-(-1.8533876e-5)*x3 - 0.005611763))*x0*0.000677604),exp((-0.005611763 - (Tv_K * -1.8533876e-5)) * AUC_wet) * (AUC_wet * 0.000677604)
