,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,29.915613,3.620837,0.0,3.62083700000000,PySRFunction(X=>3.62083700000000),3.620837
1,3,21.419046,x0 / 11.902677,0.16704999590584438,x0/11.902677,PySRFunction(X=>x0/11.902677),AUC / 11.902677
2,5,20.919466,(x0 - x9) / 13.04733,0.011800206577162617,(x0 - x9)/13.04733,PySRFunction(X=>(x0 - x9)/13.04733),(AUC - VPD*WS*d1sin) / 13.04733
3,6,20.682987,x0 * (0.085096315 / exp(x3)),0.011368634776836691,x0*0.085096315/exp(x3),PySRFunction(X=>x0*0.085096315/exp(x3)),AUC * (0.085096315 / exp(buoy_TsTa))
4,7,17.82703,x0 / ((x5 * -0.0005925584) + 15.402795),0.1485956334725333,x0/(15.402795 + x5*(-0.0005925584)),PySRFunction(X=>x0/(15.402795 + x5*(-0.0005925584))),AUC / ((SR*VPD * -0.0005925584) + 15.402795)
5,9,16.802576,x0 / ((x2 + 15.54982) + (x5 * -0.00059255847)),0.029591818410375538,x0/(x2 + x5*(-0.00059255847) + 15.54982),PySRFunction(X=>x0/(x2 + x5*(-0.00059255847) + 15.54982)),AUC / ((uzonal + 15.54982) + (SR*VPD * -0.00059255847))
6,11,16.205093,x0 / ((x3 / ((x1 * 0.765235) - 0.681358)) + 12.774712),0.01810331622084783,x0/(x3/(x1*0.765235 - 1*0.681358) + 12.774712),PySRFunction(X=>x0/(x3/(x1*0.765235 - 1*0.681358) + 12.774712)),AUC / ((buoy_TsTa / ((h*Pr * 0.765235) - 0.681358)) + 12.774712)
7,12,16.190393,x0 / (12.774712 + (x3 / tanh((x1 * 0.765235) - 0.681358))),0.0009075339082076005,x0/(x3/tanh(x1*0.765235 - 1*0.681358) + 12.774712),PySRFunction(X=>x0/(x3/tanh(x1*0.765235 - 1*0.681358) + 12.774712)),AUC / (12.774712 + (buoy_TsTa / tanh((h*Pr * 0.765235) - 0.681358)))
8,13,13.8780775,x0 / (((x5 * -6.4215446e-6) / ((x1 * 0.7641471) - 0.681358)) + 12.139982),0.15410760479837216,x0/(x5*(-6.4215446e-6)/(x1*0.7641471 - 1*0.681358) + 12.139982),PySRFunction(X=>x0/(x5*(-6.4215446e-6)/(x1*0.7641471 - 1*0.681358) + 12.139982)),AUC / (((SR*VPD * -6.4215446e-6) / ((h*Pr * 0.7641471) - 0.681358)) + 12.139982)
9,14,13.848876,x0 / ((x5 * (-6.4215446e-6 / tanh((x1 * 0.7641471) - 0.681358))) + 12.20457),0.0021063627344907725,x0/(x5*(-6.4215446e-6)/tanh(x1*0.7641471 - 1*0.681358) + 12.20457),PySRFunction(X=>x0/(x5*(-6.4215446e-6)/tanh(x1*0.7641471 - 1*0.681358) + 12.20457)),AUC / ((SR*VPD * (-6.4215446e-6 / tanh((h*Pr * 0.7641471) - 0.681358))) + 12.20457)
