,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,51.92872,5.4237857,0.0,5.42378570000000,PySRFunction(X=>5.42378570000000),5.4237857
1,3,27.095343,x14 * 753.3391,0.3252550704434561,x14*753.3391,PySRFunction(X=>x14*753.3391),q/rho * 753.3391
2,5,23.274117,x14 * (x1 + 529.50714),0.07600999167903821,x14*(x1 + 529.50714),PySRFunction(X=>x14*(x1 + 529.50714)),q/rho * (SR + 529.50714)
3,7,21.0684,(x1 - -729.4798) * (x14 + -0.0025188066),0.049783798580527706,(x1 - 1*(-729.4798))*(x14 - 0.0025188066),PySRFunction(X=>(x1 - 1*(-729.4798))*(x14 - 0.0025188066)),(SR - -729.4798) * (q/rho + -0.0025188066)
4,9,19.838442,(x1 - (x12 + -712.83246)) * (x14 + -0.0027647607),0.03007635851680422,(x1 - (x12 - 712.83246))*(x14 - 0.0027647607),PySRFunction(X=>(x1 - (x12 - 712.83246))*(x14 - 0.0027647607)),(SR - (SR*HODsin + -712.83246)) * (q/rho + -0.0027647607)
5,10,19.838352,(tanh(x14) + -0.0027647677) * (x1 - (x12 + -712.83246)),4.5366568680143665e-06,(x1 - (x12 - 712.83246))*(tanh(x14) - 0.0027647677),PySRFunction(X=>(x1 - (x12 - 712.83246))*(tanh(x14) - 0.0027647677)),(tanh(q/rho) + -0.0027647677) * (SR - (SR*HODsin + -712.83246))
6,11,19.241,((x11 * (-49.038464 / x6)) - 699.4476) * (0.0024403392 - x14),0.03057361495167052,(0.0024403392 - x14)*(x11*(-49.038464)/x6 - 1*699.4476),PySRFunction(X=>(0.0024403392 - x14)*(x11*(-49.038464)/x6 - 1*699.4476)),((v*VPD * (-49.038464 / vmerid)) - 699.4476) * (0.0024403392 - q/rho)
7,12,19.094992,sqrt(x14 / 0.035838112) * (((x1 - -948.9559) - x12) * x14),0.007617317219329786,5.28235322729651*x14**(3/2)*(x1 - x12 + 948.9559),PySRFunction(X=>5.28235322729651*x14**(3/2)*(x1 - x12 + 948.9559)),sqrt(q/rho / 0.035838112) * (((SR - -948.9559) - SR*HODsin) * q/rho)
8,13,18.229275,(0.002255599 - x14) * ((x1 * ((x11 * -0.07384677) / x6)) - 737.10944),0.046397283430341704,(0.002255599 - x14)*(x1*x11*(-0.07384677)/x6 - 1*737.10944),PySRFunction(X=>(0.002255599 - x14)*(x1*x11*(-0.07384677)/x6 - 1*737.10944)),(0.002255599 - q/rho) * ((SR * ((v*VPD * -0.07384677) / vmerid)) - 737.10944)
9,15,17.97808,-1.9095432 - (x14 * ((x11 * (((x1 * -0.057396293) / x6) + 4.9300375)) - 767.0933)),0.006937790132355185,-x14*(x11*(x1*(-0.057396293)/x6 + 4.9300375) - 1*767.0933) - 1.9095432,PySRFunction(X=>-x14*(x11*(x1*(-0.057396293)/x6 + 4.9300375) - 1*767.0933) - 1.9095432),-1.9095432 - (q/rho * ((v*VPD * (((SR * -0.057396293) / vmerid) + 4.9300375)) - 767.0933))
10,16,17.592312,(((x11 * (x1 * -0.09701805)) / x6) - 726.54456) * (0.0025076717 - (exp(x7) * x14)),0.021691249595063643,(0.0025076717 - x14*exp(x7))*(x11*x1*(-0.09701805)/x6 - 1*726.54456),PySRFunction(X=>(0.0025076717 - x14*exp(x7))*(x11*x1*(-0.09701805)/x6 - 1*726.54456)),(((v*VPD * (SR * -0.09701805)) / vmerid) - 726.54456) * (0.0025076717 - (exp(buoy_TsTa) * q/rho))
