slot,param_idx,param_letter,warm_start,fold_mean,fold_std,fold_cov_abs,fold_min,fold_max,unstable_flag
simple_ruleA,0,a,699.0526,730.6483000000001,22.866188656507667,0.03129575290397263,699.1704,763.0133,0
knee_ruleA,0,a,-0.002523538,-0.0025778646000000002,0.00010963815805092671,0.042530611596484434,-0.002759878,-0.002503728,0
knee_ruleA,1,b,674.8753,710.31696,24.21311530107185,0.03408776175226317,673.8859,735.0011,0
complex_ruleA,0,a,737.4238,751.7596,16.458685321130595,0.021893548577405057,724.888,765.6448,0
complex_ruleA,1,b,1.964774,2.719502,0.6143505637459771,0.22590553849417178,1.931971,3.649853,0
complex_ruleA,2,c,11.72957,11.044018,0.3521877173042804,0.03188945520591151,10.47986,11.3431,0
complex_ruleA,3,d,0.5,0.45337233999999993,0.03659842167898775,0.08072486662725775,0.4040565,0.5064683,0
complex_ruleA,4,e,-2.727776,-2.7354726,0.09716519361016075,0.035520441188173754,-2.878007,-2.632338,0
best_accuracy_ruleA,0,a,0.3613596,0.32761464,0.023479855941913274,0.07166912913877498,0.2947635,0.3548141,0
best_accuracy_ruleA,1,b,-0.8400599,-2.2377504000000004,0.6335666295831087,0.28312658533458807,-3.297019,-1.773112,0
best_accuracy_ruleA,2,c,10.31851,10.508832000000002,0.30276615352446506,0.028810637901953807,10.15661,10.85009,0
best_accuracy_ruleA,3,d,1618.402,273.47965600000003,278.0020536836493,1.0165365049444455,18.77359,702.8216,1
best_accuracy_ruleA,4,e,25.12833,2.234548394,2.7923629842216613,1.2496319129715217,0.03088187,6.36599,1
best_accuracy_ruleA,5,f,2010.877,2422.5232000000005,229.10021342678854,0.0945709058335493,2185.631,2754.264,0
best_accuracy_ruleA,6,g,0.5,0.86588534,0.3353513780063651,0.38729305430481725,0.5885252,1.422102,0
best_accuracy_ruleA,7,h,-2.608009,-2.8203224,0.09585449486226516,0.03398707001095519,-2.958772,-2.711562,0
