,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,49.728493,5.3446746,0.0,5.34467460000000,PySRFunction(X=>5.34467460000000),5.3446746
1,3,19.986898,x0 * x0,0.455750554872801,x0*x0,PySRFunction(X=>x0*x0),es * es
2,5,19.97211,x0 * (x0 / 0.984064),0.0003700792741179946,x0*x0/0.984064,PySRFunction(X=>x0*x0/0.984064),es * (es / 0.984064)
3,6,19.322477,tanh(x11) + (x0 * x0),0.03306777065797338,x0*x0 + tanh(x11),PySRFunction(X=>x0*x0 + tanh(x11)),tanh(h*sinTOD) + (es * es)
4,7,19.128693,(x0 * x0) + (x3 * 0.09946667),0.010079570565228783,x0*x0 + x3*0.09946667,PySRFunction(X=>x0*x0 + x3*0.09946667),(es * es) + (h*DelTsa * 0.09946667)
5,8,18.997473,tanh(x11 - x5) + (x0 * x0),0.006883488789632278,x0*x0 + tanh(x11 - x5),PySRFunction(X=>x0*x0 + tanh(x11 - x5)),tanh(h*sinTOD - vmerid) + (es * es)
6,9,18.631401,x0 * (x0 - ((x5 - x11) * 0.18265736)),0.019457587246889403,x0*(x0 - 0.18265736*(-x11 + x5)),PySRFunction(X=>x0*(x0 - 0.18265736*(-x11 + x5))),es * (es - ((vmerid - h*sinTOD) * 0.18265736))
7,10,18.50636,(x0 - tanh((x5 - x11) * 0.29180038)) * x0,0.006733926286308683,x0*(x0 - tanh((-x11 + x5)*0.29180038)),PySRFunction(X=>x0*(x0 - tanh((-x11 + x5)*0.29180038))),(es - tanh((vmerid - h*sinTOD) * 0.29180038)) * es
8,11,18.468924,(x0 * (x0 - ((x5 - x11) * 0.18339404))) * 1.0539241,0.00202492090616978,x0*(x0 - 0.18339404*(-x11 + x5))*1.0539241,PySRFunction(X=>x0*(x0 - 0.18339404*(-x11 + x5))*1.0539241),(es * (es - ((vmerid - h*sinTOD) * 0.18339404))) * 1.0539241
9,12,18.341381,((x0 - tanh((x5 - x11) * 0.2943484)) * x0) * 1.0546392,0.0069297719974153234,(x0 - tanh((-x11 + x5)*0.2943484))*x0*1.0546392,PySRFunction(X=>(x0 - tanh((-x11 + x5)*0.2943484))*x0*1.0546392),((es - tanh((vmerid - h*sinTOD) * 0.2943484)) * es) * 1.0546392
10,14,18.22596,(x3 * 0.0840736) + (x0 * (x0 + (tanh(x11 - x5) / 1.7827959))),0.003156406239902702,x0*(x0 + tanh(x11 - x5)/1.7827959) + x3*0.0840736,PySRFunction(X=>x0*(x0 + tanh(x11 - x5)/1.7827959) + x3*0.0840736),(h*DelTsa * 0.0840736) + (es * (es + (tanh(h*sinTOD - vmerid) / 1.7827959)))
11,15,18.01932,((x3 * 0.09741618) - 1.2421118) + ((tanh(exp(x11 - x5)) + x0) * x0),0.01140243578544738,x0*(x0 + tanh(exp(x11 - x5))) + x3*0.09741618 - 1*1.2421118,PySRFunction(X=>x0*(x0 + tanh(exp(x11 - x5))) + x3*0.09741618 - 1*1.2421118),((h*DelTsa * 0.09741618) - 1.2421118) + ((tanh(exp(h*sinTOD - vmerid)) + es) * es)
12,16,17.960264,((x3 * 0.0840736) - sqrt(x0)) + ((x0 + tanh(exp(x11 - x5))) * x0),0.003282753521252345,-sqrt(x0) + x0*(x0 + tanh(exp(x11 - x5))) + 0.0840736*x3,PySRFunction(X=>-sqrt(x0) + x0*(x0 + tanh(exp(x11 - x5))) + 0.0840736*x3),((h*DelTsa * 0.0840736) - sqrt(es)) + ((es + tanh(exp(h*sinTOD - vmerid))) * es)
13,17,17.77222,(x3 * 0.0840736) + ((((x0 + tanh(exp(x11 - x5))) * x0) - x0) / 0.83835065),0.010525198077642775,x3*0.0840736 + (x0*(x0 + tanh(exp(x11 - x5))) - x0)/0.83835065,PySRFunction(X=>x3*0.0840736 + (x0*(x0 + tanh(exp(x11 - x5))) - x0)/0.83835065),(h*DelTsa * 0.0840736) + ((((es + tanh(exp(h*sinTOD - vmerid))) * es) - es) / 0.83835065)
14,18,17.701086,(((x3 * 0.079086415) - tanh(x9)) + ((x0 + tanh(exp(x11 - x5))) * x0)) - 0.73728436,0.004010570390436485,x0*(x0 + tanh(exp(x11 - x5))) + x3*0.079086415 - tanh(x9) - 1*0.73728436,PySRFunction(X=>x0*(x0 + tanh(exp(x11 - x5))) + x3*0.079086415 - tanh(x9) - 1*0.73728436),(((h*DelTsa * 0.079086415) - tanh(SR*Ta)) + ((es + tanh(exp(h*sinTOD - vmerid))) * es)) - 0.73728436
