,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,58.381733,7.903018,0.0,7.90301800000000,PySRFunction(X=>7.90301800000000),7.903018
1,3,37.546326,x1 + -287.95987,0.22071375963095022,x1 - 287.95987,PySRFunction(X=>x1 - 287.95987),Tv_K + -287.95987
2,5,33.332848,(x1 + -284.72552) * 0.7092708,0.05951609666653419,(x1 - 284.72552)*0.7092708,PySRFunction(X=>(x1 - 284.72552)*0.7092708),(Tv_K + -284.72552) * 0.7092708
3,6,27.896166,exp((x1 + -278.14133) * 0.102736376),0.17805407718440716,exp((x1 - 278.14133)*0.102736376),PySRFunction(X=>exp((x1 - 278.14133)*0.102736376)),exp((Tv_K + -278.14133) * 0.102736376)
4,7,27.895576,sqrt(exp((x1 + -278.22977) * 0.20629066)),2.1150083466608092e-05,3.44011453692413e-13*sqrt(exp(0.20629066*x1)),PySRFunction(X=>3.44011453692413e-13*sqrt(exp(0.20629066*x1))),sqrt(exp((Tv_K + -278.22977) * 0.20629066))
5,8,27.178152,exp((x1 + (-275.61346 - x2)) * 0.09264859),0.026054694704594615,exp((x1 - x2 - 275.61346)*0.09264859),PySRFunction(X=>exp((x1 - x2 - 275.61346)*0.09264859)),exp((Tv_K + (-275.61346 - vmerid)) * 0.09264859)
6,9,27.08665,exp(((x1 + -277.9934) - tanh(x2)) * 0.10171515),0.003372428659118776,exp((x1 - tanh(x2) - 277.9934)*0.10171515),PySRFunction(X=>exp((x1 - tanh(x2) - 277.9934)*0.10171515)),exp(((Tv_K + -277.9934) - tanh(vmerid)) * 0.10171515)
7,10,26.990509,exp((x1 + -281.2425) * 0.11440118) + (x5 * 0.002164429),0.0035557008937028155,x5*0.002164429 + exp((x1 - 281.2425)*0.11440118),PySRFunction(X=>x5*0.002164429 + exp((x1 - 281.2425)*0.11440118)),exp((Tv_K + -281.2425) * 0.11440118) + (h_inv * 0.002164429)
8,11,26.510038,exp((-278.90897 + x1) * 0.106283054) - tanh(x2 - x10),0.017961831967436503,exp((x1 - 278.90897)*0.106283054) - tanh(-x10 + x2),PySRFunction(X=>exp((x1 - 278.90897)*0.106283054) - tanh(-x10 + x2)),exp((-278.90897 + Tv_K) * 0.106283054) - tanh(vmerid - h*sinTOD)
9,12,26.227402,exp((x1 + -281.06934) * 0.114248104) - ((-0.0020220832 - x10) * x5),0.010718711640813141,-x5*(-x10 - 0.0020220832) + exp((x1 - 281.06934)*0.114248104),PySRFunction(X=>-x5*(-x10 - 0.0020220832) + exp((x1 - 281.06934)*0.114248104)),exp((Tv_K + -281.06934) * 0.114248104) - ((-0.0020220832 - h*sinTOD) * h_inv)
10,13,26.086527,exp((x1 + -282.15726) * 0.119542554) - ((-0.070662074 - x10) * sqrt(x5)),0.005385767928997074,-sqrt(x5)*(-x10 - 0.070662074) + 2.24560933902768e-15*exp(0.119542554*x1),PySRFunction(X=>-sqrt(x5)*(-x10 - 0.070662074) + 2.24560933902768e-15*exp(0.119542554*x1)),exp((Tv_K + -282.15726) * 0.119542554) - ((-0.070662074 - h*sinTOD) * sqrt(h_inv))
11,14,25.917345,exp(((x1 + -278.84656) - x2) * 0.10301338) - (x5 * (-0.001748688 - x10)),0.006506538469296328,-x5*(-x10 - 0.001748688) + exp((x1 - x2 - 278.84656)*0.10301338),PySRFunction(X=>-x5*(-x10 - 0.001748688) + exp((x1 - x2 - 278.84656)*0.10301338)),exp(((Tv_K + -278.84656) - vmerid) * 0.10301338) - (h_inv * (-0.001748688 - h*sinTOD))
12,15,25.58769,exp(((x1 - tanh(x2)) + -281.24323) * 0.114248104) - ((-0.0020220832 - x10) * x5),0.01280105922157909,-x5*(-x10 - 0.0020220832) + exp((x1 - tanh(x2) - 281.24323)*0.114248104),PySRFunction(X=>-x5*(-x10 - 0.0020220832) + exp((x1 - tanh(x2) - 281.24323)*0.114248104)),exp(((Tv_K - tanh(vmerid)) + -281.24323) * 0.114248104) - ((-0.0020220832 - h*sinTOD) * h_inv)
13,16,25.461779,exp(((x1 + -281.24323) - tanh(x2)) * 0.114248104) - (sqrt(x5) * (-0.061595768 - x10)),0.004932911459760069,-sqrt(x5)*(-x10 - 0.061595768) + 1.1103613596521e-14*exp(0.114248104*x1 - 0.114248104*tanh(x2)),PySRFunction(X=>-sqrt(x5)*(-x10 - 0.061595768) + 1.1103613596521e-14*exp(0.114248104*x1 - 0.114248104*tanh(x2))),exp(((Tv_K + -281.24323) - tanh(vmerid)) * 0.114248104) - (sqrt(h_inv) * (-0.061595768 - h*sinTOD))
