slot,param_idx,param_letter,warm_start,fold_mean,fold_std,fold_cov_abs,fold_min,fold_max,unstable_flag
simple_ruleA,0,a,-288.3768,-288.0605,0.2393824868280807,0.0008310146195958165,-288.3773,-287.7714,0
knee_ruleA,0,a,2.978662e-13,2.8322756e-13,1.4399408204156518e-13,,1.110154e-13,4.721505e-13,0
knee_ruleA,1,b,0.1035024,0.10414828000000001,0.0018477655984999802,0.017741681365260952,0.1020858,0.1068319,0
complex_ruleA,0,a,0.1070944,0.10592054,0.0018731734084168497,0.017684704103820184,0.1041327,0.1088238,0
complex_ruleA,1,b,1.385061,1.5027196,0.054931696089780394,0.036554854338614065,1.412163,1.55327,0
complex_ruleA,2,c,2.314418,2.5722818000000003,0.3358359971231494,0.13055956665523558,2.053837,2.955528,0
complex_ruleA,3,d,-0.1070944,-0.049547248,0.022101868055841346,0.4460766025964014,-0.07508049,-0.02243284,0
complex_ruleA,4,e,9.940615e-14,1.6529433399999999e-13,8.036084519322068e-14,,6.095027e-14,2.546794e-13,0
best_accuracy_ruleA,0,a,-0.1746447,-1.4790295,0.39454232467189115,0.2667575762835638,-2.055307,-0.9773025,0
best_accuracy_ruleA,1,b,0.1060114,0.09306993599999999,0.0045032877614005545,0.04838606272814623,0.08697271,0.09755117,0
best_accuracy_ruleA,2,c,1.307263,1.3397864,0.0690159705814531,0.051512666930678734,1.248416,1.431323,0
best_accuracy_ruleA,3,d,-0.1060114,-0.10587736,0.004213179162224175,0.03979301299375216,-0.1107854,-0.1003706,0
best_accuracy_ruleA,4,e,1.74952,1.8875047999999999,0.1968912403884439,0.10431297466816716,1.638853,2.103218,0
best_accuracy_ruleA,5,f,1.382912e-13,1.7397474600000002e-11,2.261875812345448e-11,1.3001173241232653,1.962744e-12,5.545287e-11,1
