,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,56.015392,7.751365,0.0,7.75136500000000,PySRFunction(X=>7.75136500000000),7.751365
1,2,52.61815,log(x1),0.06256539285230456,log(x1),PySRFunction(X=>log(x1)),log(AUC_wet)
2,3,36.917835,x4 - 15.227551,0.35436634964751457,x4 - 1*15.227551,PySRFunction(X=>x4 - 1*15.227551),Tv_C - 15.227551
3,4,28.133394,exp(x4 * 0.08502509),0.271737498282302,exp(x4*0.08502509),PySRFunction(X=>exp(x4*0.08502509)),exp(Tv_C * 0.08502509)
4,5,27.653217,exp(sqrt(x4)) * 0.05403153,0.017215200931940622,0.05403153*exp(sqrt(x4)),PySRFunction(X=>0.05403153*exp(sqrt(x4))),exp(sqrt(Tv_C)) * 0.05403153
5,6,27.205486,exp((x4 * 0.10399292) - 0.5855975),0.01632342425614902,exp(x4*0.10399292 - 1*0.5855975),PySRFunction(X=>exp(x4*0.10399292 - 1*0.5855975)),exp((Tv_C * 0.10399292) - 0.5855975)
6,7,26.559715,0.053809773 * (exp(sqrt(x4)) - x9),0.02402305001251635,-0.053809773*x9 + 0.053809773*exp(sqrt(x4)),PySRFunction(X=>-0.053809773*x9 + 0.053809773*exp(sqrt(x4))),0.053809773 * (exp(sqrt(Tv_C)) - v*VPD)
7,8,26.145077,exp(x4 * 0.08993836) - (x0 / 6.5912013),0.01573468137942943,-x0/6.5912013 + exp(x4*0.08993836),PySRFunction(X=>-x0/6.5912013 + exp(x4*0.08993836)),exp(Tv_C * 0.08993836) - (dayhr / 6.5912013)
8,9,25.8673,((exp(sqrt(x4)) - x9) - x0) * 0.0574851,0.010681289992141145,-0.0574851*x0 - 0.0574851*x9 + 0.0574851*exp(sqrt(x4)),PySRFunction(X=>-0.0574851*x0 - 0.0574851*x9 + 0.0574851*exp(sqrt(x4))),((exp(sqrt(Tv_C)) - v*VPD) - dayhr) * 0.0574851
9,10,25.463383,(sqrt(x1) * -0.0006032186) * (x9 - exp(sqrt(x4))),0.015738163357064752,-0.0006032186*sqrt(x1)*(x9 - exp(sqrt(x4))),PySRFunction(X=>-0.0006032186*sqrt(x1)*(x9 - exp(sqrt(x4)))),(sqrt(AUC_wet) * -0.0006032186) * (v*VPD - exp(sqrt(Tv_C)))
10,12,24.80927,exp(((x6 * -0.0015215412) + x4) * 0.08914218) - (x0 * 0.14654927),0.013012042874510747,-0.14654927*x0 + exp((x4 + x6*(-0.0015215412))*0.08914218),PySRFunction(X=>-0.14654927*x0 + exp((x4 + x6*(-0.0015215412))*0.08914218)),exp(((SR*v * -0.0015215412) + Tv_C) * 0.08914218) - (dayhr * 0.14654927)
11,14,24.672468,exp(((x6 * -0.0015215412) + x4) * 0.08914218) - ((x0 - x13) * 0.14303921),0.002764703789355407,-0.14303921*(x0 - x13) + exp((x4 + x6*(-0.0015215412))*0.08914218),PySRFunction(X=>-0.14303921*(x0 - x13) + exp((x4 + x6*(-0.0015215412))*0.08914218)),exp(((SR*v * -0.0015215412) + Tv_C) * 0.08914218) - ((dayhr - h*sinTOD) * 0.14303921)
