,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,85.54638,5.5999346,0.0,5.59993460000000,PySRFunction(X=>5.59993460000000),5.5999346
1,3,71.75136,sqrt(exp(x7)),0.08792593792149694,sqrt(exp(x7)),PySRFunction(X=>sqrt(exp(x7))),sqrt(exp(asinh_Ta))
2,4,62.156704,exp(x7 + -1.5680947),0.14354812896340363,exp(x7 - 1.5680947),PySRFunction(X=>exp(x7 - 1.5680947)),exp(asinh_Ta + -1.5680947)
3,5,52.37792,exp(exp(x7) * 0.048699778),0.17117355172231682,exp(exp(x7)*0.048699778),PySRFunction(X=>exp(exp(x7)*0.048699778)),exp(exp(asinh_Ta) * 0.048699778)
4,6,51.636875,exp((x7 * 3.1201124) + -9.781353),0.014249079435445778,exp(x7*3.1201124 - 9.781353),PySRFunction(X=>exp(x7*3.1201124 - 9.781353)),exp((asinh_Ta * 3.1201124) + -9.781353)
5,7,51.21847,exp((exp(x7) * 0.061031144) + -0.6842768),0.008135839861615474,exp(exp(x7)*0.061031144 - 0.6842768),PySRFunction(X=>exp(exp(x7)*0.061031144 - 0.6842768)),exp((exp(asinh_Ta) * 0.061031144) + -0.6842768)
6,9,50.935207,exp(-0.67489123 + (exp(x7) * 0.061079033)) - x4,0.002772917572115292,-x4 + exp(exp(x7)*0.061079033 - 0.67489123),PySRFunction(X=>-x4 + exp(exp(x7)*0.061079033 - 0.67489123)),exp(-0.67489123 + (exp(asinh_Ta) * 0.061079033)) - h*VPD
7,11,50.26215,exp((x7 * 3.5700328) + -11.635277) + (4.067269 - sqrt(x0)),0.006651032639847602,-sqrt(x0) + 8.8483726253008e-6*exp(3.5700328*x7) + 4.067269,PySRFunction(X=>-sqrt(x0) + 8.8483726253008e-6*exp(3.5700328*x7) + 4.067269),exp((asinh_Ta * 3.5700328) + -11.635277) + (4.067269 - sqrt(dayhr))
8,12,50.151398,exp((x7 * 3.6189501) + -11.835769) + ((x0 * -0.16113098) - -2.8462348),0.002205918366924588,x0*(-0.16113098) + exp(x7*3.6189501 - 11.835769) - 1*(-2.8462348),PySRFunction(X=>x0*(-0.16113098) + exp(x7*3.6189501 - 11.835769) - 1*(-2.8462348)),exp((asinh_Ta * 3.6189501) + -11.835769) + ((dayhr * -0.16113098) - -2.8462348)
9,13,49.694115,exp(tanh(x7 - sqrt(x0))) + exp((x7 * 3.7434392) + -12.4003725),0.0091598747615591,4.11705481894664e-6*exp(3.7434392*x7) + exp(-tanh(sqrt(x0) - x7)),PySRFunction(X=>4.11705481894664e-6*exp(3.7434392*x7) + exp(-tanh(sqrt(x0) - x7))),exp(tanh(asinh_Ta - sqrt(dayhr))) + exp((asinh_Ta * 3.7434392) + -12.4003725)
10,14,49.21034,exp(tanh((x7 * x7) - x0)) + exp((x7 * 3.8113053) + -12.703524),0.0097827516099114,exp(x7*3.8113053 - 12.703524) + exp(tanh(-x0 + x7*x7)),PySRFunction(X=>exp(x7*3.8113053 - 12.703524) + exp(tanh(-x0 + x7*x7))),exp(tanh((asinh_Ta * asinh_Ta) - dayhr)) + exp((asinh_Ta * 3.8113053) + -12.703524)
11,15,49.105316,exp((x7 * 3.492043) + -11.43177) + exp(tanh((exp(x7) * 0.29993933) - x0)),0.0021364662398915962,exp(x7*3.492043 - 11.43177) + exp(tanh(-x0 + exp(x7)*0.29993933)),PySRFunction(X=>exp(x7*3.492043 - 11.43177) + exp(tanh(-x0 + exp(x7)*0.29993933))),exp((asinh_Ta * 3.492043) + -11.43177) + exp(tanh((exp(asinh_Ta) * 0.29993933) - dayhr))
12,16,48.991116,(exp(tanh((x7 * x7) - x0)) - x4) + exp((x7 * 3.7530026) + -12.444714),0.002328322228695396,-x4 + exp(x7*3.7530026 - 12.444714) + exp(tanh(-x0 + x7*x7)),PySRFunction(X=>-x4 + exp(x7*3.7530026 - 12.444714) + exp(tanh(-x0 + x7*x7))),(exp(tanh((asinh_Ta * asinh_Ta) - dayhr)) - h*VPD) + exp((asinh_Ta * 3.7530026) + -12.444714)
13,17,48.903797,(exp((x7 * 3.7887628) + -12.585378) - x4) + exp(tanh(exp(x7 * 0.6930821) - x0)),0.0017839338221209797,-x4 + exp(x7*3.7887628 - 12.585378) + exp(tanh(-x0 + exp(x7*0.6930821))),PySRFunction(X=>-x4 + exp(x7*3.7887628 - 12.585378) + exp(tanh(-x0 + exp(x7*0.6930821)))),(exp((asinh_Ta * 3.7887628) + -12.585378) - h*VPD) + exp(tanh(exp(asinh_Ta * 0.6930821) - dayhr))
14,18,48.863796,(exp(tanh((x7 * x7) - x0)) + (exp((x7 * 3.8125916) + -12.673298) - x4)) - x4,0.0008182875532597957,-x4 - x4 + exp(x7*3.8125916 - 12.673298) + exp(tanh(-x0 + x7*x7)),PySRFunction(X=>-x4 - x4 + exp(x7*3.8125916 - 12.673298) + exp(tanh(-x0 + x7*x7))),(exp(tanh((asinh_Ta * asinh_Ta) - dayhr)) + (exp((asinh_Ta * 3.8125916) + -12.673298) - h*VPD)) - h*VPD
15,19,48.7529,((exp(tanh((x7 * x7) - x0)) - x4) + exp((x7 * 3.7887628) + -12.585378)) - tanh(x5),0.0022720713208038063,-x4 + exp(x7*3.7887628 - 12.585378) + exp(tanh(-x0 + x7*x7)) - tanh(x5),PySRFunction(X=>-x4 + exp(x7*3.7887628 - 12.585378) + exp(tanh(-x0 + x7*x7)) - tanh(x5)),((exp(tanh((asinh_Ta * asinh_Ta) - dayhr)) - h*VPD) + exp((asinh_Ta * 3.7887628) + -12.585378)) - tanh(SR*v)
16,20,48.645164,((exp((x7 * 3.7887628) + -12.585378) - tanh(x5)) - x4) + exp(tanh(exp(x7 * 0.6930821) - x0)),0.0022122830683797964,-x4 + exp(x7*3.7887628 - 12.585378) + exp(tanh(-x0 + exp(x7*0.6930821))) - tanh(x5),PySRFunction(X=>-x4 + exp(x7*3.7887628 - 12.585378) + exp(tanh(-x0 + exp(x7*0.6930821))) - tanh(x5)),((exp((asinh_Ta * 3.7887628) + -12.585378) - tanh(SR*v)) - h*VPD) + exp(tanh(exp(asinh_Ta * 0.6930821) - dayhr))
17,21,48.614456,(exp(tanh((x7 * x7) - x0)) + ((exp((x7 * 3.8125916) + -12.673298) - tanh(x5)) - x4)) - x4,0.0006314645486050964,-x4 - x4 + exp(x7*3.8125916 - 12.673298) + exp(tanh(-x0 + x7*x7)) - tanh(x5),PySRFunction(X=>-x4 - x4 + exp(x7*3.8125916 - 12.673298) + exp(tanh(-x0 + x7*x7)) - tanh(x5)),(exp(tanh((asinh_Ta * asinh_Ta) - dayhr)) + ((exp((asinh_Ta * 3.8125916) + -12.673298) - tanh(SR*v)) - h*VPD)) - h*VPD
18,22,48.51545,(((exp(-12.585378 + (x7 * 3.7887628)) - tanh(x5)) - x4) + exp(tanh(exp(x7 * 0.6930821) - x0))) - x4,0.0020386313210108377,-x4 - x4 + exp(x7*3.7887628 - 12.585378) + exp(tanh(-x0 + exp(x7*0.6930821))) - tanh(x5),PySRFunction(X=>-x4 - x4 + exp(x7*3.7887628 - 12.585378) + exp(tanh(-x0 + exp(x7*0.6930821))) - tanh(x5)),(((exp(-12.585378 + (asinh_Ta * 3.7887628)) - tanh(SR*v)) - h*VPD) + exp(tanh(exp(asinh_Ta * 0.6930821) - dayhr))) - h*VPD
19,23,48.352753,exp((x7 * 3.6014118) + -11.794706) - ((exp(x4 - tanh((x7 * x7) - x0)) + -2.346586) + tanh(x5 - x0)),0.0033591446511583817,-(exp(x4 - tanh(-x0 + x7*x7)) + tanh(-x0 + x5) - 2.346586) + exp(x7*3.6014118 - 11.794706),PySRFunction(X=>-(exp(x4 - tanh(-x0 + x7*x7)) + tanh(-x0 + x5) - 2.346586) + exp(x7*3.6014118 - 11.794706)),exp((asinh_Ta * 3.6014118) + -11.794706) - ((exp(h*VPD - tanh((asinh_Ta * asinh_Ta) - dayhr)) + -2.346586) + tanh(SR*v - dayhr))
20,24,48.28821,((tanh((x7 * x7) - x0) - x4) * 1.6339508) + (exp((x7 * 3.615639) + -11.859278) + (0.79097563 - tanh(x5 - x0))),0.001335727782354612,(-x4 + tanh(-x0 + x7*x7))*1.6339508 + exp(x7*3.615639 - 11.859278) - tanh(-x0 + x5) + 0.79097563,PySRFunction(X=>(-x4 + tanh(-x0 + x7*x7))*1.6339508 + exp(x7*3.615639 - 11.859278) - tanh(-x0 + x5) + 0.79097563),((tanh((asinh_Ta * asinh_Ta) - dayhr) - h*VPD) * 1.6339508) + (exp((asinh_Ta * 3.615639) + -11.859278) + (0.79097563 - tanh(SR*v - dayhr)))
21,25,48.13292,(exp((x7 * 3.9042046) + -13.050327) - tanh(x5 - 21.500359)) + (((tanh((x7 * sqrt(x0)) - x0) + 0.64186) - x4) * 1.7708471),0.0032210809864148893,-1.7708471*x4 + 2.14938887589368e-6*exp(3.9042046*x7) - tanh(x5 - 21.500359) + 1.7708471*tanh(sqrt(x0)*x7 - x0) + 1.136635919606,PySRFunction(X=>-1.7708471*x4 + 2.14938887589368e-6*exp(3.9042046*x7) - tanh(x5 - 21.500359) + 1.7708471*tanh(sqrt(x0)*x7 - x0) + 1.136635919606),(exp((asinh_Ta * 3.9042046) + -13.050327) - tanh(SR*v - 21.500359)) + (((tanh((asinh_Ta * sqrt(dayhr)) - dayhr) + 0.64186) - h*VPD) * 1.7708471)
22,27,48.04535,(((((tanh((x7 * x7) - x0) + 0.5803507) - x4) * exp(x7)) * 0.0421112) + exp((x7 * 3.9042046) + -13.050327)) - tanh(x5 - 20.65716),0.000910496978149475,(-x4 + tanh(-x0 + x7*x7) + 0.5803507)*exp(x7)*0.0421112 + exp(x7*3.9042046 - 13.050327) - tanh(x5 - 1*20.65716),PySRFunction(X=>(-x4 + tanh(-x0 + x7*x7) + 0.5803507)*exp(x7)*0.0421112 + exp(x7*3.9042046 - 13.050327) - tanh(x5 - 1*20.65716)),(((((tanh((asinh_Ta * asinh_Ta) - dayhr) + 0.5803507) - h*VPD) * exp(asinh_Ta)) * 0.0421112) + exp((asinh_Ta * 3.9042046) + -13.050327)) - tanh(SR*v - 20.65716)
23,29,47.981197,(exp((x7 * 3.9042046) + -13.050327) + ((((tanh((x7 * x7) - x0) + 0.6731673) - x4) * (exp(x7) * 0.048716184)) - tanh(x5 - 20.65716))) / 1.0465024,0.0006680757722587197,((-x4 + tanh(-x0 + x7*x7) + 0.6731673)*exp(x7)*0.048716184 + exp(x7*3.9042046 - 13.050327) - tanh(x5 - 1*20.65716))/1.0465024,PySRFunction(X=>((-x4 + tanh(-x0 + x7*x7) + 0.6731673)*exp(x7)*0.048716184 + exp(x7*3.9042046 - 13.050327) - tanh(x5 - 1*20.65716))/1.0465024),(exp((asinh_Ta * 3.9042046) + -13.050327) + ((((tanh((asinh_Ta * asinh_Ta) - dayhr) + 0.6731673) - h*VPD) * (exp(asinh_Ta) * 0.048716184)) - tanh(SR*v - 20.65716))) / 1.0465024
24,31,47.979225,((exp((x7 * 3.9042046) + -13.050327) + ((((tanh((x7 * x7) - x0) + 0.6731673) - x4) * (exp(x7) * 0.048716184)) - tanh(x5 - 20.65716))) / 1.0465024) - x6,2.0550138892468793e-05,-x6 + ((-x4 + tanh(-x0 + x7*x7) + 0.6731673)*exp(x7)*0.048716184 + exp(x7*3.9042046 - 13.050327) - tanh(x5 - 1*20.65716))/1.0465024,PySRFunction(X=>-x6 + ((-x4 + tanh(-x0 + x7*x7) + 0.6731673)*exp(x7)*0.048716184 + exp(x7*3.9042046 - 13.050327) - tanh(x5 - 1*20.65716))/1.0465024),((exp((asinh_Ta * 3.9042046) + -13.050327) + ((((tanh((asinh_Ta * asinh_Ta) - dayhr) + 0.6731673) - h*VPD) * (exp(asinh_Ta) * 0.048716184)) - tanh(SR*v - 20.65716))) / 1.0465024) - q*WS
25,32,47.960842,((exp((x7 * 3.9042046) + -13.050327) + ((((tanh((x7 * x7) - x0) + 0.6731673) - x4) * (exp(x7) * 0.048716184)) - tanh(x5 - 20.65716))) / exp(x6)) - x6,0.0003832184154086944,-x6 + ((-x4 + tanh(-x0 + x7*x7) + 0.6731673)*exp(x7)*0.048716184 + exp(x7*3.9042046 - 13.050327) - tanh(x5 - 1*20.65716))/exp(x6),PySRFunction(X=>-x6 + ((-x4 + tanh(-x0 + x7*x7) + 0.6731673)*exp(x7)*0.048716184 + exp(x7*3.9042046 - 13.050327) - tanh(x5 - 1*20.65716))/exp(x6)),((exp((asinh_Ta * 3.9042046) + -13.050327) + ((((tanh((asinh_Ta * asinh_Ta) - dayhr) + 0.6731673) - h*VPD) * (exp(asinh_Ta) * 0.048716184)) - tanh(SR*v - 20.65716))) / exp(q*WS)) - q*WS
26,34,47.94713,(exp((x7 * 3.615639) + -11.859278) + ((tanh(exp((x7 * 3.615639) + -11.859278)) + 0.91085297) * (tanh((x7 * x7) - x0) - x4))) + (0.7301085 - tanh((x5 - x0) + 0.926388)),0.00014297038929594004,(-x4 + tanh(-x0 + x7*x7))*(tanh(exp(x7*3.615639 - 11.859278)) + 0.91085297) + exp(x7*3.615639 - 11.859278) - tanh(-x0 + x5 + 0.926388) + 0.7301085,PySRFunction(X=>(-x4 + tanh(-x0 + x7*x7))*(tanh(exp(x7*3.615639 - 11.859278)) + 0.91085297) + exp(x7*3.615639 - 11.859278) - tanh(-x0 + x5 + 0.926388) + 0.7301085),(exp((asinh_Ta * 3.615639) + -11.859278) + ((tanh(exp((asinh_Ta * 3.615639) + -11.859278)) + 0.91085297) * (tanh((asinh_Ta * asinh_Ta) - dayhr) - h*VPD))) + (0.7301085 - tanh((SR*v - dayhr) + 0.926388))
27,35,47.940605,exp((x7 * 3.615639) + -11.859278) + ((((tanh(exp((x7 * 3.615639) + -11.859278)) + 0.91085297) * (tanh((x7 * x7) - x0) - x4)) + 0.7301085) - tanh((x5 - x0) + exp(x4))),0.00013609665532459165,(-x4 + tanh(-x0 + x7*x7))*(tanh(exp(x7*3.615639 - 11.859278)) + 0.91085297) + exp(x7*3.615639 - 11.859278) - tanh(-x0 + x5 + exp(x4)) + 0.7301085,PySRFunction(X=>(-x4 + tanh(-x0 + x7*x7))*(tanh(exp(x7*3.615639 - 11.859278)) + 0.91085297) + exp(x7*3.615639 - 11.859278) - tanh(-x0 + x5 + exp(x4)) + 0.7301085),exp((asinh_Ta * 3.615639) + -11.859278) + ((((tanh(exp((asinh_Ta * 3.615639) + -11.859278)) + 0.91085297) * (tanh((asinh_Ta * asinh_Ta) - dayhr) - h*VPD)) + 0.7301085) - tanh((SR*v - dayhr) + exp(h*VPD)))
