,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,97.1552,8.388297,0.0,8.38829700000000,PySRFunction(X=>8.38829700000000),8.388297
1,3,86.84054,x0 / 819.2325,0.05611806827187836,x0/819.2325,PySRFunction(X=>x0/819.2325),AUC_wet / 819.2325
2,4,86.49004,sqrt(x0 / 82.77351),0.004044300523797827,0.109914329282738*sqrt(x0),PySRFunction(X=>0.109914329282738*sqrt(x0)),sqrt(AUC_wet / 82.77351)
3,5,77.961006,x0 / (x5 + 932.2612),0.1038204841900611,x0/(x5 + 932.2612),PySRFunction(X=>x0/(x5 + 932.2612)),AUC_wet / (SR*HODsin + 932.2612)
4,7,76.002365,x0 / (x5 + (1179.069 - x2)),0.012722160193124223,x0/(-x2 + x5 + 1179.069),PySRFunction(X=>x0/(-x2 + x5 + 1179.069)),AUC_wet / (SR*HODsin + (1179.069 - WD))
5,9,74.10751,(x0 / (x5 + (2121.6252 - x1))) * 2.1121438,0.012623790764512711,x0*2.1121438/(-x1 + x5 + 2121.6252),PySRFunction(X=>x0*2.1121438/(-x1 + x5 + 2121.6252)),(AUC_wet / (SR*HODsin + (2121.6252 - SR))) * 2.1121438
6,10,73.59596,(exp(0.106920876 / x4) * x0) / (x5 + 1069.4908),0.006926743770290214,x0*exp(0.106920876/x4)/(x5 + 1069.4908),PySRFunction(X=>x0*exp(0.106920876/x4)/(x5 + 1069.4908)),(exp(0.106920876 / h_inv) * AUC_wet) / (SR*HODsin + 1069.4908)
7,11,73.343796,((x0 - x4) * 2.207741) / (x5 + (2110.193 - x1)),0.003432212689161083,(x0 - x4)*2.207741/(-x1 + x5 + 2110.193),PySRFunction(X=>(x0 - x4)*2.207741/(-x1 + x5 + 2110.193)),((AUC_wet - h_inv) * 2.207741) / (SR*HODsin + (2110.193 - SR))
8,12,71.62514,x0 * (exp(0.10561685 / x4) / (x5 + (1300.5769 - x2))),0.023711790576963678,x0*exp(0.10561685/x4)/(-x2 + x5 + 1300.5769),PySRFunction(X=>x0*exp(0.10561685/x4)/(-x2 + x5 + 1300.5769)),AUC_wet * (exp(0.10561685 / h_inv) / (SR*HODsin + (1300.5769 - WD)))
9,13,71.61321,exp(tanh(0.118843004 / x4)) * (x0 / ((x5 - x2) + 1306.3677)),0.00016657550198799357,x0*exp(tanh(0.118843004/x4))/(-x2 + x5 + 1306.3677),PySRFunction(X=>x0*exp(tanh(0.118843004/x4))/(-x2 + x5 + 1306.3677)),exp(tanh(0.118843004 / h_inv)) * (AUC_wet / ((SR*HODsin - WD) + 1306.3677))
10,14,71.03504,(x1 + (x0 * exp(0.10599562 / x4))) / ((x5 - x2) + 1326.354),0.00810627772920952,(x0*exp(0.10599562/x4) + x1)/(-x2 + x5 + 1326.354),PySRFunction(X=>(x0*exp(0.10599562/x4) + x1)/(-x2 + x5 + 1326.354)),(SR + (AUC_wet * exp(0.10599562 / h_inv))) / ((SR*HODsin - WD) + 1326.354)
