,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,79.703125,5.448008,0.0,5.44800800000000,PySRFunction(X=>5.44800800000000),5.448008
1,3,66.89274,sqrt(exp(x7)),0.08760917674859241,sqrt(exp(x7)),PySRFunction(X=>sqrt(exp(x7))),sqrt(exp(asinh_Ta))
2,4,59.034134,exp(x7) * 0.20000939,0.12497462207858745,exp(x7)*0.20000939,PySRFunction(X=>exp(x7)*0.20000939),exp(asinh_Ta) * 0.20000939
3,5,50.6267,exp(exp(x7 + -3.0310922)),0.15363671387766947,exp(exp(x7 - 3.0310922)),PySRFunction(X=>exp(exp(x7 - 3.0310922))),exp(exp(asinh_Ta + -3.0310922))
4,6,49.92457,exp((x7 + -3.135406) * 3.1098742),0.01396583876440445,exp((x7 - 3.135406)*3.1098742),PySRFunction(X=>exp((x7 - 3.135406)*3.1098742)),exp((asinh_Ta + -3.135406) * 3.1098742)
5,7,49.49484,exp(exp(x7 + -2.794436)) * 0.4979333,0.00864484462862539,exp(exp(x7 - 2.794436))*0.4979333,PySRFunction(X=>exp(exp(x7 - 2.794436))*0.4979333),exp(exp(asinh_Ta + -2.794436)) * 0.4979333
6,8,49.482468,exp(exp(x7 + -2.991369)) - exp(x4),0.0002499966975146174,-exp(x4) + exp(exp(x7 - 2.991369)),PySRFunction(X=>-exp(x4) + exp(exp(x7 - 2.991369))),exp(exp(asinh_Ta + -2.991369)) - exp(h*VPD)
7,9,48.779507,exp(exp(x7 + -2.9797277)) - (x0 * 0.12892665),0.01430813888363231,-0.12892665*x0 + exp(exp(x7 - 2.9797277)),PySRFunction(X=>-0.12892665*x0 + exp(exp(x7 - 2.9797277))),exp(exp(asinh_Ta + -2.9797277)) - (dayhr * 0.12892665)
8,11,48.558235,(exp(exp(x7 + -2.9777138)) + (x0 * -0.123348355)) - x4,0.0022732434162166036,x0*(-0.123348355) - x4 + exp(exp(x7 - 2.9777138)),PySRFunction(X=>x0*(-0.123348355) - x4 + exp(exp(x7 - 2.9777138))),(exp(exp(asinh_Ta + -2.9777138)) + (dayhr * -0.123348355)) - h*VPD
9,12,48.424583,(exp(exp(x7 + -2.98164)) - (x0 * 0.13062146)) - tanh(x5),0.0027562013017377856,-0.13062146*x0 + exp(exp(x7 - 2.98164)) - tanh(x5),PySRFunction(X=>-0.13062146*x0 + exp(exp(x7 - 2.98164)) - tanh(x5)),(exp(exp(asinh_Ta + -2.98164)) - (dayhr * 0.13062146)) - tanh(SR*v)
