slot,param_idx,param_letter,warm_start,fold_mean,fold_std,fold_cov_abs,fold_min,fold_max,unstable_flag
simple_ruleA,0,a,0.04846041,0.04878806,0.00043227080898436854,0.008860176219025075,0.04826155,0.04942627,0
knee_ruleA,0,a,0.0001048235,6.13229e-05,9.098014525167017e-06,0.14836243108475003,5.271471e-05,7.514986e-05,0
knee_ruleA,1,b,2.963268,3.1025820000000004,0.03354351779405375,0.010811484690510595,3.057102,3.139062,0
complex_ruleA,0,a,0.004810156,0.0062033442,0.0008136653471665731,0.13116559728647223,0.00521325,0.007250115,0
complex_ruleA,1,b,-0.005260431,-0.004961814,0.00017673426422739862,0.03561888136625005,-0.005161127,-0.004764529,0
complex_ruleA,2,c,-3.987054,-3.2386470000000003,0.5320516366514627,0.16428207107828136,-3.882261,-2.652195,0
complex_ruleA,3,d,0.05415565,0.053653988,0.00018680036448037114,0.0034815746497794562,0.05338515,0.05389354,0
best_accuracy_ruleA,0,a,-0.6510191,-0.84730898,0.04704440505051586,0.055522136742273,-0.9231413,-0.8075331,0
best_accuracy_ruleA,1,b,-0.005260431,-0.004558564400000001,0.00014215846797605822,0.031184920405217524,-0.004732854,-0.004360977,0
best_accuracy_ruleA,2,c,-0.004993381,-0.013435036000000001,0.0020563957759949813,0.15306217087881127,-0.01666126,-0.01177322,0
best_accuracy_ruleA,3,d,0.05415565,0.052987156,0.00019433447025682366,0.003667576917259414,0.05279696,0.053306,0
best_accuracy_ruleA,4,e,0.5,0.20482519999999999,0.012970507897919804,0.0633247661807229,0.1881983,0.2205723,0
best_accuracy_ruleA,5,f,0.004993381,0.0064458584,0.0007261187022510852,0.1126488757883799,0.005492082,0.007244942,0
best_accuracy_ruleA,6,g,-4.0,-3.9623016,0.5249068963309589,0.1324752503269713,-4.501971,-3.349743,0
