,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,18.824905,1.9191012,0.0,1.91910120000000,PySRFunction(X=>1.91910120000000),1.9191012
1,3,17.687006,x5 + 3.7096279,0.031175240753838283,x5 + 3.7096279,PySRFunction(X=>x5 + 3.7096279),h_ASINH_cm + 3.7096279
2,5,10.938513,-3366.268 / (-327.96014 - x0),0.24027019057345816,-3366.268/(-x0 - 327.96014),PySRFunction(X=>-3366.268/(-x0 - 327.96014)),-3366.268 / (-327.96014 - AUC_dry)
3,7,9.626546,(x7 * -0.20149954) / (-167.31827 - x0),0.0638826869429847,x7*(-0.20149954)/(-x0 - 167.31827),PySRFunction(X=>x7*(-0.20149954)/(-x0 - 167.31827)),(SR*Ts * -0.20149954) / (-167.31827 - AUC_dry)
4,8,7.5657997,-1676.962 / (sqrt(x7) + (-216.37347 - x0)),0.24088643848963803,-1676.962/(-x0 + sqrt(x7) - 216.37347),PySRFunction(X=>-1676.962/(-x0 + sqrt(x7) - 216.37347)),-1676.962 / (sqrt(SR*Ts) + (-216.37347 - AUC_dry))
5,9,6.8511844,(x3 + -24.959808) * (-613.9796 / (-213.10391 - x0)),0.09921650972502247,(x3 - 24.959808)*(-613.9796)/(-x0 - 213.10391),PySRFunction(X=>(x3 - 24.959808)*(-613.9796)/(-x0 - 213.10391)),(Tv_C + -24.959808) * (-613.9796 / (-213.10391 - AUC_dry))
6,10,6.572174,-1186.2705 / ((sqrt(x7) + -195.45886) - (x0 * 0.3207955)),0.041576866654105364,-1186.2705/(-0.3207955*x0 + sqrt(x7) - 195.45886),PySRFunction(X=>-1186.2705/(-0.3207955*x0 + sqrt(x7) - 195.45886)),-1186.2705 / ((sqrt(SR*Ts) + -195.45886) - (AUC_dry * 0.3207955))
7,12,5.963897,((x3 + -25.281029) / (-140.47777 - (x0 + exp(x1)))) * -570.6209,0.04856027465909506,(x3 - 25.281029)*(-570.6209)/(-(x0 + exp(x1)) - 140.47777),PySRFunction(X=>(x3 - 25.281029)*(-570.6209)/(-(x0 + exp(x1)) - 140.47777)),((Tv_C + -25.281029) / (-140.47777 - (AUC_dry + exp(hwet)))) * -570.6209
8,13,5.4185357,((x3 + -25.292057) * -469.36334) / (-101.11121 - (x0 + (x1 * 25.542595))),0.09589851356648976,(x3 - 25.292057)*(-469.36334)/(-(x0 + x1*25.542595) - 101.11121),PySRFunction(X=>(x3 - 25.292057)*(-469.36334)/(-(x0 + x1*25.542595) - 101.11121)),((Tv_C + -25.292057) * -469.36334) / (-101.11121 - (AUC_dry + (hwet * 25.542595)))
9,14,5.3637724,((x3 + -25.310837) * -466.70206) / (-91.3193 - (x0 + exp(x5 + 2.6082134))),0.010158079400886871,(x3 - 25.310837)*(-466.70206)/(-(x0 + exp(x5 + 2.6082134)) - 91.3193),PySRFunction(X=>(x3 - 25.310837)*(-466.70206)/(-(x0 + exp(x5 + 2.6082134)) - 91.3193)),((Tv_C + -25.310837) * -466.70206) / (-91.3193 - (AUC_dry + exp(h_ASINH_cm + 2.6082134)))
10,15,4.9483514,((x6 + -0.111914374) * exp((x3 - sqrt(x0)) * 0.09902865)) * (x2 + 0.0011119387),0.08061306289567356,(x2 + 0.0011119387)*(x6 - 0.111914374)*exp(-0.09902865*sqrt(x0) + 0.09902865*x3),PySRFunction(X=>(x2 + 0.0011119387)*(x6 - 0.111914374)*exp(-0.09902865*sqrt(x0) + 0.09902865*x3)),((h_inv + -0.111914374) * exp((Tv_C - sqrt(AUC_dry)) * 0.09902865)) * (h*VPD + 0.0011119387)
11,17,4.577473,(exp((x3 - sqrt(x0)) * 0.09783379) * ((x2 - -0.0011273412) * (x6 + -0.11118409))) + 0.6318675,0.038953685734472276,(x2 + 0.0011273412)*(x6 - 0.11118409)*exp(-0.09783379*sqrt(x0) + 0.09783379*x3) + 0.6318675,PySRFunction(X=>(x2 + 0.0011273412)*(x6 - 0.11118409)*exp(-0.09783379*sqrt(x0) + 0.09783379*x3) + 0.6318675),(exp((Tv_C - sqrt(AUC_dry)) * 0.09783379) * ((h*VPD - -0.0011273412) * (h_inv + -0.11118409))) + 0.6318675
12,19,4.3937926,((((x2 + 0.0011218016) * exp((x3 - sqrt(x0)) * 0.13006748)) * 0.42364386) * (x6 + -0.12871733)) + 0.81663734,0.02047716350640186,0.42364386*(x2 + 0.0011218016)*(x6 - 0.12871733)*exp(-0.13006748*sqrt(x0) + 0.13006748*x3) + 0.81663734,PySRFunction(X=>0.42364386*(x2 + 0.0011218016)*(x6 - 0.12871733)*exp(-0.13006748*sqrt(x0) + 0.13006748*x3) + 0.81663734),((((h*VPD + 0.0011218016) * exp((Tv_C - sqrt(AUC_dry)) * 0.13006748)) * 0.42364386) * (h_inv + -0.12871733)) + 0.81663734
13,21,4.2682943,((x6 + -0.10979619) * (exp((x3 - sqrt(x0 + 9.161671)) * 0.13455997) * ((x2 * 0.44577894) - -0.00050066685))) - -0.8348216,0.014489243021942946,(0.44577894*x2 + 0.00050066685)*(x6 - 0.10979619)*exp(0.13455997*x3 - 0.13455997*sqrt(x0 + 9.161671)) + 0.8348216,PySRFunction(X=>(0.44577894*x2 + 0.00050066685)*(x6 - 0.10979619)*exp(0.13455997*x3 - 0.13455997*sqrt(x0 + 9.161671)) + 0.8348216),((h_inv + -0.10979619) * (exp((Tv_C - sqrt(AUC_dry + 9.161671)) * 0.13455997) * ((h*VPD * 0.44577894) - -0.00050066685))) - -0.8348216
14,22,4.0349874,(((x3 + -24.286913) + ((5.542496 - (x8 * 0.018625338)) / exp(x1))) * exp((sqrt(x7) - x0) * 0.0051659527)) + 0.88112986,0.05621110703582064,(x3 + (5.542496 - 0.018625338*x8)*exp(-x1) - 24.286913)*exp(-0.0051659527*x0 + 0.0051659527*sqrt(x7)) + 0.88112986,PySRFunction(X=>(x3 + (5.542496 - 0.018625338*x8)*exp(-x1) - 24.286913)*exp(-0.0051659527*x0 + 0.0051659527*sqrt(x7)) + 0.88112986),(((Tv_C + -24.286913) + ((5.542496 - (SR*HODsin * 0.018625338)) / exp(hwet))) * exp((sqrt(SR*Ts) - AUC_dry) * 0.0051659527)) + 0.88112986
15,23,4.013098,(exp((sqrt(x7) - x0) * 0.005070668) * ((x3 + -24.222307) + ((sqrt(x3) - (x8 * 0.01853987)) / exp(x1)))) + 0.8742473,0.005439667420912867,(x3 + (sqrt(x3) - 0.01853987*x8)*exp(-x1) - 24.222307)*exp(-0.005070668*x0 + 0.005070668*sqrt(x7)) + 0.8742473,PySRFunction(X=>(x3 + (sqrt(x3) - 0.01853987*x8)*exp(-x1) - 24.222307)*exp(-0.005070668*x0 + 0.005070668*sqrt(x7)) + 0.8742473),(exp((sqrt(SR*Ts) - AUC_dry) * 0.005070668) * ((Tv_C + -24.222307) + ((sqrt(Tv_C) - (SR*HODsin * 0.01853987)) / exp(hwet)))) + 0.8742473
16,24,3.9033594,((x3 + ((((4.2946577 - x4) - (x8 * 0.017328158)) / exp(x1)) + -24.07842)) * exp((sqrt(x7) - x0) * 0.004744538)) + 0.8820041,0.02772594464737953,(x3 + (-x4 - 0.017328158*x8 + 4.2946577)*exp(-x1) - 24.07842)*exp(-0.004744538*x0 + 0.004744538*sqrt(x7)) + 0.8820041,PySRFunction(X=>(x3 + (-x4 - 0.017328158*x8 + 4.2946577)*exp(-x1) - 24.07842)*exp(-0.004744538*x0 + 0.004744538*sqrt(x7)) + 0.8820041),((Tv_C + ((((4.2946577 - uzonal) - (SR*HODsin * 0.017328158)) / exp(hwet)) + -24.07842)) * exp((sqrt(SR*Ts) - AUC_dry) * 0.004744538)) + 0.8820041
17,26,3.8567708,((x3 + (((((x0 - x8) * 0.01612434) + 4.648656) / exp(x1)) + -25.33365)) * (exp((sqrt(x7) - x0) * 0.0061759693) + -0.008974256)) + 1.5996786,0.00600365696745069,(exp(-0.0061759693*x0 + 0.0061759693*sqrt(x7)) - 0.008974256)*(x3 + (0.01612434*x0 - 0.01612434*x8 + 4.648656)*exp(-x1) - 25.33365) + 1.5996786,PySRFunction(X=>(exp(-0.0061759693*x0 + 0.0061759693*sqrt(x7)) - 0.008974256)*(x3 + (0.01612434*x0 - 0.01612434*x8 + 4.648656)*exp(-x1) - 25.33365) + 1.5996786),((Tv_C + (((((AUC_dry - SR*HODsin) * 0.01612434) + 4.648656) / exp(hwet)) + -25.33365)) * (exp((sqrt(SR*Ts) - AUC_dry) * 0.0061759693) + -0.008974256)) + 1.5996786
18,27,3.8442962,((exp((sqrt(x7) - x0) * 0.006111035) + -0.008677574) * ((x3 + ((((x0 - x8) * 0.016731549) + 4.888821) / sqrt(exp(x1)))) + -25.659315)) + 1.590443,0.0032397097469280805,(exp(-0.006111035*x0 + 0.006111035*sqrt(x7)) - 0.008677574)*(x3 + (0.016731549*x0 - 0.016731549*x8 + 4.888821)/sqrt(exp(x1)) - 25.659315) + 1.590443,PySRFunction(X=>(exp(-0.006111035*x0 + 0.006111035*sqrt(x7)) - 0.008677574)*(x3 + (0.016731549*x0 - 0.016731549*x8 + 4.888821)/sqrt(exp(x1)) - 25.659315) + 1.590443),((exp((sqrt(SR*Ts) - AUC_dry) * 0.006111035) + -0.008677574) * ((Tv_C + ((((AUC_dry - SR*HODsin) * 0.016731549) + 4.888821) / sqrt(exp(hwet)))) + -25.659315)) + 1.590443
19,28,3.7428188,((exp((sqrt(x7) - x0) * 0.0054629785) + -0.0097191725) * ((x3 + (((((x0 - x8) * 0.015930327) + 3.2079794) - x4) / exp(x1))) + -24.857422)) + 1.6236525,0.02675152590587927,(exp(-0.0054629785*x0 + 0.0054629785*sqrt(x7)) - 0.0097191725)*(x3 + (0.015930327*x0 - x4 - 0.015930327*x8 + 3.2079794)*exp(-x1) - 24.857422) + 1.6236525,PySRFunction(X=>(exp(-0.0054629785*x0 + 0.0054629785*sqrt(x7)) - 0.0097191725)*(x3 + (0.015930327*x0 - x4 - 0.015930327*x8 + 3.2079794)*exp(-x1) - 24.857422) + 1.6236525),((exp((sqrt(SR*Ts) - AUC_dry) * 0.0054629785) + -0.0097191725) * ((Tv_C + (((((AUC_dry - SR*HODsin) * 0.015930327) + 3.2079794) - uzonal) / exp(hwet))) + -24.857422)) + 1.6236525
20,30,3.7113597,((exp((sqrt(x7) - x0) * 0.005438413) + -0.010328025) * (x3 + ((((((x0 - x8) * 0.015115734) + 3.0807133) - x4) / exp(x5 * x1)) + -24.901878))) + 1.6519378,0.0042203559757385935,(exp(-0.005438413*x0 + 0.005438413*sqrt(x7)) - 0.010328025)*(x3 + (0.015115734*x0 - x4 - 0.015115734*x8 + 3.0807133)*exp(-x1*x5) - 24.901878) + 1.6519378,PySRFunction(X=>(exp(-0.005438413*x0 + 0.005438413*sqrt(x7)) - 0.010328025)*(x3 + (0.015115734*x0 - x4 - 0.015115734*x8 + 3.0807133)*exp(-x1*x5) - 24.901878) + 1.6519378),((exp((sqrt(SR*Ts) - AUC_dry) * 0.005438413) + -0.010328025) * (Tv_C + ((((((AUC_dry - SR*HODsin) * 0.015115734) + 3.0807133) - uzonal) / exp(h_ASINH_cm * hwet)) + -24.901878))) + 1.6519378
21,31,3.6995983,((exp((sqrt(x7) - x0) * 0.005438413) + -0.010328025) * (x3 + ((((((x0 - x8) * 0.015115734) + 3.0807133) - x4) / sqrt(exp(x5 * x1))) + -24.901878))) + 1.6519378,0.0031740592442523812,(exp(-0.005438413*x0 + 0.005438413*sqrt(x7)) - 0.010328025)*(x3 + (0.015115734*x0 - x4 - 0.015115734*x8 + 3.0807133)/sqrt(exp(x1*x5)) - 24.901878) + 1.6519378,PySRFunction(X=>(exp(-0.005438413*x0 + 0.005438413*sqrt(x7)) - 0.010328025)*(x3 + (0.015115734*x0 - x4 - 0.015115734*x8 + 3.0807133)/sqrt(exp(x1*x5)) - 24.901878) + 1.6519378),((exp((sqrt(SR*Ts) - AUC_dry) * 0.005438413) + -0.010328025) * (Tv_C + ((((((AUC_dry - SR*HODsin) * 0.015115734) + 3.0807133) - uzonal) / sqrt(exp(h_ASINH_cm * hwet))) + -24.901878))) + 1.6519378
22,32,3.682836,((exp((sqrt(x7) - x0) * 0.005438413) + -0.010328025) * ((-24.901878 + x3) + (((2.9897828 + ((x0 - x8) * 0.015115734)) - x4) / exp(x1 * (x5 - 0.85440904))))) + 1.6519378,0.004541138633883655,(exp(-0.005438413*x0 + 0.005438413*sqrt(x7)) - 0.010328025)*(x3 + (0.015115734*x0 - x4 - 0.015115734*x8 + 2.9897828)*exp(-x1*(x5 - 0.85440904)) - 24.901878) + 1.6519378,PySRFunction(X=>(exp(-0.005438413*x0 + 0.005438413*sqrt(x7)) - 0.010328025)*(x3 + (0.015115734*x0 - x4 - 0.015115734*x8 + 2.9897828)*exp(-x1*(x5 - 0.85440904)) - 24.901878) + 1.6519378),((exp((sqrt(SR*Ts) - AUC_dry) * 0.005438413) + -0.010328025) * ((-24.901878 + Tv_C) + (((2.9897828 + ((AUC_dry - SR*HODsin) * 0.015115734)) - uzonal) / exp(hwet * (h_ASINH_cm - 0.85440904))))) + 1.6519378
23,34,3.6335216,(((x3 + -25.143744) + ((((x0 - x8) * 0.01680717) - (x4 + -2.9095163)) / exp((x1 - x9) / (x5 - x0)))) * (exp((sqrt(x7) - x0) * 0.0056162425) + -0.009572463)) + 1.6774943,0.006740395908260979,(exp(-0.0056162425*x0 + 0.0056162425*sqrt(x7)) - 0.009572463)*(x3 + (0.01680717*x0 - x4 - 0.01680717*x8 + 2.9095163)*exp(-(x1 - x9)/(-x0 + x5)) - 25.143744) + 1.6774943,PySRFunction(X=>(exp(-0.0056162425*x0 + 0.0056162425*sqrt(x7)) - 0.009572463)*(x3 + (0.01680717*x0 - x4 - 0.01680717*x8 + 2.9095163)*exp(-(x1 - x9)/(-x0 + x5)) - 25.143744) + 1.6774943),(((Tv_C + -25.143744) + ((((AUC_dry - SR*HODsin) * 0.01680717) - (uzonal + -2.9095163)) / exp((hwet - h*sinTOD) / (h_ASINH_cm - AUC_dry)))) * (exp((sqrt(SR*Ts) - AUC_dry) * 0.0056162425) + -0.009572463)) + 1.6774943
24,35,3.6287823,(((((log(x3) + ((x0 - x8) * 0.016409332)) - x4) / exp((x1 - x9) / (2.6640093 - x0))) + (x3 + -25.365828)) * (exp((sqrt(x7) - x0) * 0.00544063) + -0.009124232)) + 1.614872,0.0013051782844777193,(exp(-0.00544063*x0 + 0.00544063*sqrt(x7)) - 0.009124232)*(x3 + (0.016409332*x0 - x4 - 0.016409332*x8 + log(x3))*exp(-(x1 - x9)/(2.6640093 - x0)) - 25.365828) + 1.614872,PySRFunction(X=>(exp(-0.00544063*x0 + 0.00544063*sqrt(x7)) - 0.009124232)*(x3 + (0.016409332*x0 - x4 - 0.016409332*x8 + log(x3))*exp(-(x1 - x9)/(2.6640093 - x0)) - 25.365828) + 1.614872),(((((log(Tv_C) + ((AUC_dry - SR*HODsin) * 0.016409332)) - uzonal) / exp((hwet - h*sinTOD) / (2.6640093 - AUC_dry))) + (Tv_C + -25.365828)) * (exp((sqrt(SR*Ts) - AUC_dry) * 0.00544063) + -0.009124232)) + 1.614872
25,36,3.6226478,((x3 + (((((x0 - x8) * 0.017164316) - (x4 + -2.9094393)) / exp((x1 - x9) / (x5 - x0))) + -25.1438)) * (exp((sqrt(x0 + x7) - x0) * 0.005614984) + -0.009335757)) + 1.6519378,0.0016919425213574183,(exp(-0.005614984*x0 + 0.005614984*sqrt(x0 + x7)) - 0.009335757)*(x3 + (0.017164316*x0 - x4 - 0.017164316*x8 + 2.9094393)*exp(-(x1 - x9)/(-x0 + x5)) - 25.1438) + 1.6519378,PySRFunction(X=>(exp(-0.005614984*x0 + 0.005614984*sqrt(x0 + x7)) - 0.009335757)*(x3 + (0.017164316*x0 - x4 - 0.017164316*x8 + 2.9094393)*exp(-(x1 - x9)/(-x0 + x5)) - 25.1438) + 1.6519378),((Tv_C + (((((AUC_dry - SR*HODsin) * 0.017164316) - (uzonal + -2.9094393)) / exp((hwet - h*sinTOD) / (h_ASINH_cm - AUC_dry))) + -25.1438)) * (exp((sqrt(AUC_dry + SR*Ts) - AUC_dry) * 0.005614984) + -0.009335757)) + 1.6519378
26,38,3.5912426,(((exp((sqrt(x7) - x0) * 0.005614984) + -0.009335757) * ((x3 + -25.1438) + ((((x0 - x8) * 0.017164316) - (x4 + -2.8924327)) / exp((x1 - x9) / (x5 - x0))))) + (x4 * 0.15228048)) + 1.768934,0.004353462093558313,0.15228048*x4 + (exp(-0.005614984*x0 + 0.005614984*sqrt(x7)) - 0.009335757)*(x3 + (0.017164316*x0 - x4 - 0.017164316*x8 + 2.8924327)*exp(-(x1 - x9)/(-x0 + x5)) - 25.1438) + 1.768934,PySRFunction(X=>0.15228048*x4 + (exp(-0.005614984*x0 + 0.005614984*sqrt(x7)) - 0.009335757)*(x3 + (0.017164316*x0 - x4 - 0.017164316*x8 + 2.8924327)*exp(-(x1 - x9)/(-x0 + x5)) - 25.1438) + 1.768934),(((exp((sqrt(SR*Ts) - AUC_dry) * 0.005614984) + -0.009335757) * ((Tv_C + -25.1438) + ((((AUC_dry - SR*HODsin) * 0.017164316) - (uzonal + -2.8924327)) / exp((hwet - h*sinTOD) / (h_ASINH_cm - AUC_dry))))) + (uzonal * 0.15228048)) + 1.768934
