,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,13.446563,1.7487669,0.0,1.74876690000000,PySRFunction(X=>1.74876690000000),1.7487669
1,3,11.952562,exp(tanh(x0)),0.05888894282736501,exp(tanh(x0)),PySRFunction(X=>exp(tanh(x0))),exp(tanh(AUC))
2,4,8.792581,exp(x0 * 0.0062748934),0.3070373509835028,exp(x0*0.0062748934),PySRFunction(X=>exp(x0*0.0062748934)),exp(AUC * 0.0062748934)
3,5,7.5699434,exp(exp(x0 * 0.0022712776)),0.14972270718152111,exp(exp(x0*0.0022712776)),PySRFunction(X=>exp(exp(x0*0.0022712776))),exp(exp(AUC * 0.0022712776))
4,7,5.9127574,(2.2576947 - x5) * exp(tanh(x0)),0.12353665139240894,(2.2576947 - x5)*exp(tanh(x0)),PySRFunction(X=>(2.2576947 - x5)*exp(tanh(x0))),(2.2576947 - u*VPD) * exp(tanh(AUC))
5,8,5.014958,(2.2785525 - x5) * exp(x0 / x2),0.1646872412507013,(2.2785525 - x5)*exp(x0/x2),PySRFunction(X=>(2.2785525 - x5)*exp(x0/x2)),(2.2785525 - u*VPD) * exp(AUC / Tv_K)
6,9,4.1288714,exp(exp(((x0 * 0.016166184) - x5) * 0.1099336)),0.19442094564035978,exp(exp((x0*0.016166184 - x5)*0.1099336)),PySRFunction(X=>exp(exp((x0*0.016166184 - x5)*0.1099336))),exp(exp(((AUC * 0.016166184) - u*VPD) * 0.1099336))
7,11,4.097397,exp(exp(((x0 * 0.014041498) - x5) * 0.11476987)) * 1.142357,0.003826103411011638,exp(exp((x0*0.014041498 - x5)*0.11476987))*1.142357,PySRFunction(X=>exp(exp((x0*0.014041498 - x5)*0.11476987))*1.142357),exp(exp(((AUC * 0.014041498) - u*VPD) * 0.11476987)) * 1.142357
8,12,4.0161657,(exp((x0 / x2) + (x5 * -0.31146502)) + 0.509179) * 1.8106954,0.02002425254265375,(exp(x0/x2 + x5*(-0.31146502)) + 0.509179)*1.8106954,PySRFunction(X=>(exp(x0/x2 + x5*(-0.31146502)) + 0.509179)*1.8106954),(exp((AUC / Tv_K) + (u*VPD * -0.31146502)) + 0.509179) * 1.8106954
9,13,3.9265308,(exp(exp(((x0 * 0.010245503) - x5) * 0.121268295)) * 1.663333) + -0.92119116,0.02257135356039251,exp(exp((x0*0.010245503 - x5)*0.121268295))*1.663333 - 0.92119116,PySRFunction(X=>exp(exp((x0*0.010245503 - x5)*0.121268295))*1.663333 - 0.92119116),(exp(exp(((AUC * 0.010245503) - u*VPD) * 0.121268295)) * 1.663333) + -0.92119116
10,14,3.9057217,(exp(x0 / x2) * ((1.8972253 - x5) + (x6 * -0.004192057))) + 0.9171497,0.005313707381854312,(-x5 + x6*(-0.004192057) + 1.8972253)*exp(x0/x2) + 0.9171497,PySRFunction(X=>(-x5 + x6*(-0.004192057) + 1.8972253)*exp(x0/x2) + 0.9171497),(exp(AUC / Tv_K) * ((1.8972253 - u*VPD) + (SR*HODsin * -0.004192057))) + 0.9171497
11,16,3.640984,((((x6 * -0.00773859) + 1.6832808) - (x3 * 0.002971523)) * exp(x0 / x2)) + 0.9253715,0.035094302884837295,(-0.002971523*x3 + x6*(-0.00773859) + 1.6832808)*exp(x0/x2) + 0.9253715,PySRFunction(X=>(-0.002971523*x3 + x6*(-0.00773859) + 1.6832808)*exp(x0/x2) + 0.9253715),((((SR*HODsin * -0.00773859) + 1.6832808) - (SR*v * 0.002971523)) * exp(AUC / Tv_K)) + 0.9253715
12,18,3.6096222,((((x6 * -0.007926679) + 1.7154129) - (x3 * 0.0029197757)) * exp(x0 / (x2 + x1))) + 0.9159499,0.0043254308289523554,(-0.0029197757*x3 + x6*(-0.007926679) + 1.7154129)*exp(x0/(x1 + x2)) + 0.9159499,PySRFunction(X=>(-0.0029197757*x3 + x6*(-0.007926679) + 1.7154129)*exp(x0/(x1 + x2)) + 0.9159499),((((SR*HODsin * -0.007926679) + 1.7154129) - (SR*v * 0.0029197757)) * exp(AUC / (Tv_K + h*VPD))) + 0.9159499
13,19,3.5287447,(exp(x0 / (x2 + exp(x1))) * (((x6 * -0.007926679) - (x3 * 0.0029197757)) + 1.7905955)) + 0.9159499,0.02266091449244056,(-0.0029197757*x3 + x6*(-0.007926679) + 1.7905955)*exp(x0/(x2 + exp(x1))) + 0.9159499,PySRFunction(X=>(-0.0029197757*x3 + x6*(-0.007926679) + 1.7905955)*exp(x0/(x2 + exp(x1))) + 0.9159499),(exp(AUC / (Tv_K + exp(h*VPD))) * (((SR*HODsin * -0.007926679) - (SR*v * 0.0029197757)) + 1.7905955)) + 0.9159499
14,20,3.4630728,(((((((x6 * -3.120923) - x3) * 0.003948115) - x5) - -3.7234304) * 0.47210374) * exp(x0 / x2)) + 0.90248644,0.018785911201774964,(-x5 + (-x3 + x6*(-3.120923))*0.003948115 - 1*(-3.7234304))*0.47210374*exp(x0/x2) + 0.90248644,PySRFunction(X=>(-x5 + (-x3 + x6*(-3.120923))*0.003948115 - 1*(-3.7234304))*0.47210374*exp(x0/x2) + 0.90248644),(((((((SR*HODsin * -3.120923) - SR*v) * 0.003948115) - u*VPD) - -3.7234304) * 0.47210374) * exp(AUC / Tv_K)) + 0.90248644
15,21,3.4033108,((((x6 * -0.008685992) + 1.8483219) - (x3 * 0.0031415126)) * exp(x0 / (x2 + exp(x1 + 1.8483219)))) + 0.92424434,0.01740756490767466,(-0.0031415126*x3 + x6*(-0.008685992) + 1.8483219)*exp(x0/(x2 + exp(x1 + 1.8483219))) + 0.92424434,PySRFunction(X=>(-0.0031415126*x3 + x6*(-0.008685992) + 1.8483219)*exp(x0/(x2 + exp(x1 + 1.8483219))) + 0.92424434),((((SR*HODsin * -0.008685992) + 1.8483219) - (SR*v * 0.0031415126)) * exp(AUC / (Tv_K + exp(h*VPD + 1.8483219)))) + 0.92424434
16,22,3.3501475,((exp(x0 / x2) * (((((x6 * (x4 - 2.3256295)) - x3) * 0.003948115) - x5) - -3.7234304)) * 0.47210374) + 0.9226345,0.015744347808266654,exp(x0/x2)*(-x5 + (-x3 + x6*(x4 - 1*2.3256295))*0.003948115 - 1*(-3.7234304))*0.47210374 + 0.9226345,PySRFunction(X=>exp(x0/x2)*(-x5 + (-x3 + x6*(x4 - 1*2.3256295))*0.003948115 - 1*(-3.7234304))*0.47210374 + 0.9226345),((exp(AUC / Tv_K) * (((((SR*HODsin * (h_ASINH_cm - 2.3256295)) - SR*v) * 0.003948115) - u*VPD) - -3.7234304)) * 0.47210374) + 0.9226345
17,23,3.3161504,((((x6 * -0.005344202) - (x3 * 0.0008475315)) - (x5 - 1.8998529)) * exp(x0 / (x2 + exp(x1 + 2.2067518)))) + 0.89466995,0.01019978262351051,(-0.0008475315*x3 + x6*(-0.005344202) - (x5 - 1*1.8998529))*exp(x0/(x2 + exp(x1 + 2.2067518))) + 0.89466995,PySRFunction(X=>(-0.0008475315*x3 + x6*(-0.005344202) - (x5 - 1*1.8998529))*exp(x0/(x2 + exp(x1 + 2.2067518))) + 0.89466995),((((SR*HODsin * -0.005344202) - (SR*v * 0.0008475315)) - (u*VPD - 1.8998529)) * exp(AUC / (Tv_K + exp(h*VPD + 2.2067518)))) + 0.89466995
