slot,param_idx,param_letter,warm_start,fold_mean,fold_std,fold_cov_abs,fold_min,fold_max,unstable_flag
simple_ruleA,0,a,2.229784,2.3454006,0.07736869180295092,0.03298741025432965,2.23646,2.442753,0
knee_ruleA,0,a,0.003361268,0.0036748824,0.00019071756397694462,0.05189759649912733,0.003375719,0.003875136,0
knee_ruleA,1,b,2.311377,2.0292008000000004,0.16861504412625816,0.08309431187207207,1.788154,2.264001,0
complex_ruleA,0,a,0.7911445,0.81247782,0.04737784479761611,0.05831278544639669,0.7453522,0.8652457,0
complex_ruleA,1,b,0.6695316,0.6929219799999999,0.0722903422776307,0.10432681364448955,0.6276833,0.8161047,0
complex_ruleA,2,c,2.318969,2.3940672,0.2210057309182276,0.09231392122920677,2.025883,2.585563,0
best_accuracy_ruleA,0,a,0.5749521,0.62760962,0.05547218299307319,0.08838644473466355,0.5765744,0.7166254,0
best_accuracy_ruleA,1,b,1.382033,1.4292714,0.09597463732049215,0.06714934428862997,1.300791,1.525022,0
best_accuracy_ruleA,2,c,0.04631428,0.045624078,0.005003156615969562,0.10966044324160505,0.03736092,0.04968805,0
best_accuracy_ruleA,3,d,0.008656972,0.0080675758,0.0006140483442691627,0.07611311743351239,0.00720727,0.008895,0
best_accuracy_ruleA,4,e,-0.008656972,-0.010014766999999999,0.0011356601210617554,0.11339855645785424,-0.01110356,-0.008351645,0
best_accuracy_ruleA,5,f,-1.594069,-1.6522188,0.04320993410895233,0.02615267064444027,-1.728253,-1.620174,0
