,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,23.393688,2.099079,0.0,2.09907900000000,PySRFunction(X=>2.09907900000000),2.099079
1,3,21.259493,exp(tanh(x0)),0.04783135867912602,exp(tanh(x0)),PySRFunction(X=>exp(tanh(x0))),exp(tanh(AUC))
2,4,15.748036,exp(x0 * 0.0063726394),0.3000878659448641,exp(x0*0.0063726394),PySRFunction(X=>exp(x0*0.0063726394)),exp(AUC * 0.0063726394)
3,5,14.431566,exp(exp(x0 * 0.0023198095)),0.08729776827744021,exp(exp(x0*0.0023198095)),PySRFunction(X=>exp(exp(x0*0.0023198095))),exp(exp(AUC * 0.0023198095))
4,6,13.889287,exp((x0 - x3) * 0.0045343437),0.03830006725073301,exp((x0 - x3)*0.0045343437),PySRFunction(X=>exp((x0 - x3)*0.0045343437)),exp((AUC - SR*HODsin) * 0.0045343437)
5,7,11.795098,exp((sqrt(x2) + x0) * 0.0058054244),0.16343380212481376,exp(0.0058054244*x0 + 0.0058054244*sqrt(x2)),PySRFunction(X=>exp(0.0058054244*x0 + 0.0058054244*sqrt(x2))),exp((sqrt(SR*Ts) + AUC) * 0.0058054244)
6,8,10.756158,exp(exp((sqrt(x2) + x0) * 0.0021159952)),0.0922055936560929,exp(exp(0.0021159952*x0 + 0.0021159952*sqrt(x2))),PySRFunction(X=>exp(exp(0.0021159952*x0 + 0.0021159952*sqrt(x2)))),exp(exp((sqrt(SR*Ts) + AUC) * 0.0021159952))
7,9,10.729048,exp((sqrt(x2 * 5.668172) + x0) * 0.004465699),0.002523598273864254,exp(0.004465699*x0 + 0.0106319018160708*sqrt(x2)),PySRFunction(X=>exp(0.004465699*x0 + 0.0106319018160708*sqrt(x2))),exp((sqrt(SR*Ts * 5.668172) + AUC) * 0.004465699)
8,10,10.660308,exp(exp((x0 + sqrt(x2)) * 0.0022598074)) * 0.81389505,0.006427518122042609,0.81389505*exp(exp(0.0022598074*x0 + 0.0022598074*sqrt(x2))),PySRFunction(X=>0.81389505*exp(exp(0.0022598074*x0 + 0.0022598074*sqrt(x2)))),exp(exp((AUC + sqrt(SR*Ts)) * 0.0022598074)) * 0.81389505
9,11,9.819963,exp((x0 + sqrt(7.4841256 * x2)) * 0.004095353) - -0.9690784,0.08210995683996122,exp(0.004095353*x0 + 0.0112037104279398*sqrt(x2)) + 0.9690784,PySRFunction(X=>exp(0.004095353*x0 + 0.0112037104279398*sqrt(x2)) + 0.9690784),exp((AUC + sqrt(7.4841256 * SR*Ts)) * 0.004095353) - -0.9690784
10,13,9.186598,exp(x0 * 0.0045559243) * (exp(sqrt(x2) * 0.010066986) - tanh(x3)),0.03333583584497996,(exp(0.010066986*sqrt(x2)) - tanh(x3))*exp(0.0045559243*x0),PySRFunction(X=>(exp(0.010066986*sqrt(x2)) - tanh(x3))*exp(0.0045559243*x0)),exp(AUC * 0.0045559243) * (exp(sqrt(SR*Ts) * 0.010066986) - tanh(SR*HODsin))
11,14,8.93479,exp(exp((sqrt(x2) + x0) * 0.0020575917)) * exp(tanh(x3) * -0.4057069),0.027793037591136712,exp(exp(0.0020575917*x0 + 0.0020575917*sqrt(x2)))*exp(-0.4057069*tanh(x3)),PySRFunction(X=>exp(exp(0.0020575917*x0 + 0.0020575917*sqrt(x2)))*exp(-0.4057069*tanh(x3))),exp(exp((sqrt(SR*Ts) + AUC) * 0.0020575917)) * exp(tanh(SR*HODsin) * -0.4057069)
12,15,8.320749,(exp(x0 * 0.004300273) * (exp(sqrt(x2) * 0.010483255) - tanh(x3))) - -0.9538697,0.07120037043774759,(exp(0.010483255*sqrt(x2)) - tanh(x3))*exp(0.004300273*x0) + 0.9538697,PySRFunction(X=>(exp(0.010483255*sqrt(x2)) - tanh(x3))*exp(0.004300273*x0) + 0.9538697),(exp(AUC * 0.004300273) * (exp(sqrt(SR*Ts) * 0.010483255) - tanh(SR*HODsin))) - -0.9538697
13,17,8.250767,(exp((x0 * 0.002833038) + 0.7045868) * (exp(sqrt(x2) * 0.008849052) - tanh(x3))) - -0.81360364,0.00422305454875662,2.02301060421831*(exp(0.008849052*sqrt(x2)) - tanh(x3))*exp(0.002833038*x0) + 0.81360364,PySRFunction(X=>2.02301060421831*(exp(0.008849052*sqrt(x2)) - tanh(x3))*exp(0.002833038*x0) + 0.81360364),(exp((AUC * 0.002833038) + 0.7045868) * (exp(sqrt(SR*Ts) * 0.008849052) - tanh(SR*HODsin))) - -0.81360364
