slot,param_idx,param_letter,warm_start,fold_mean,fold_std,fold_cov_abs,fold_min,fold_max,unstable_flag
simple_ruleA,0,a,0.006271865,0.006373319600000001,0.00010303676379962639,0.016166891081317556,0.006263181,0.006541366,0
knee_ruleA,0,a,610.8535,739.5055,72.22318803912631,0.09766416617472935,631.9143,829.7161,0
knee_ruleA,1,b,0.5,0.54775936,0.023684128151633514,0.043238198890172344,0.5106127,0.5736644,0
knee_ruleA,2,c,1724.04,2682.8932,483.00569327979974,0.18003165138284288,1882.618,3189.906,0
complex_ruleA,0,a,0.4505415,0.44126924,0.05070002369474792,0.11489589370595585,0.3954453,0.5215157,0
complex_ruleA,1,b,0.09935026,0.10588926800000001,0.019423452151590356,0.18343173504221744,0.07364414,0.1241468,0
complex_ruleA,2,c,9411.902,9676.4654,881.7124401761043,0.09111926759704059,8693.427,10820.52,0
complex_ruleA,3,d,8.43685,2.4010886,6.109102048320382,2.5443051323971897,-8.084501,7.060789,1
complex_ruleA,4,e,537.2395,535.05162,20.853047633187803,0.03897389869259307,501.8219,556.5295,0
complex_ruleA,5,f,-36.36317,-35.244418,3.9054624771811604,0.11081080916646602,-40.80805,-30.02235,0
best_accuracy_ruleA,0,a,0.927107,1.1261621800000001,0.4973480457424881,0.4416309254342816,0.806958,1.977929,0
best_accuracy_ruleA,1,b,0.1070124,0.12476962600000001,0.016685836028991177,0.1337331573710991,0.09751093,0.1391253,0
best_accuracy_ruleA,2,c,2.825328,104766.82732000001,234680.8022582729,2.24002967601055,-251.8038,524576.6,1
best_accuracy_ruleA,3,d,-0.7073394,-6882.528452000001,15668.10582535593,2.276504330440206,-34910.26,190.054,1
best_accuracy_ruleA,4,e,1007.328,1195.38494,178.3007392710922,0.14915759209003604,924.4707,1423.619,0
best_accuracy_ruleA,5,f,0.03308091,6.9454970639999996,7.9234645410451705,1.1408059737170124,0.04290132,20.63841,1
best_accuracy_ruleA,6,g,-41.6362,-38.411748,7.98475990669851,0.2078728598005618,-47.45873,-30.38599,0
best_accuracy_ruleA,7,h,539.7394,555.4665600000001,17.34238189690217,0.031221288815121775,525.2881,569.4215,0
best_accuracy_ruleA,8,i,-3.109436,-4.1122782,0.6769914965571575,0.16462687192640746,-4.861808,-3.309835,0
