,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,16.193518,1.637859,0.0,1.63785900000000,PySRFunction(X=>1.63785900000000),1.637859
1,3,14.752191,exp(tanh(x0)),0.046609712291707066,exp(tanh(x0)),PySRFunction(X=>exp(tanh(x0))),exp(tanh(AUC))
2,4,12.395511,exp(x0 * 0.0066504725),0.17405722318908326,exp(x0*0.0066504725),PySRFunction(X=>exp(x0*0.0066504725)),exp(AUC * 0.0066504725)
3,5,11.053563,exp(exp(x0 * 0.002410996)),0.11458157150933873,exp(exp(x0*0.002410996)),PySRFunction(X=>exp(exp(x0*0.002410996))),exp(exp(AUC * 0.002410996))
4,7,9.862117,exp((sqrt(x2) + x0) * 0.0059977314),0.057025983989037306,exp(0.0059977314*x0 + 0.0059977314*sqrt(x2)),PySRFunction(X=>exp(0.0059977314*x0 + 0.0059977314*sqrt(x2))),exp((sqrt(SR*Ts) + AUC) * 0.0059977314)
5,8,8.748095,exp(exp((x0 + sqrt(x2)) * 0.0021724482)),0.11986488907027448,exp(exp(0.0021724482*x0 + 0.0021724482*sqrt(x2))),PySRFunction(X=>exp(exp(0.0021724482*x0 + 0.0021724482*sqrt(x2)))),exp(exp((AUC + sqrt(SR*Ts)) * 0.0021724482))
6,10,8.492829,exp(x0 * 0.003044664) * (2.2150993 - (x2 * -0.0002748119)),0.01480690100681255,(2.2150993 - (-0.0002748119)*x2)*exp(x0*0.003044664),PySRFunction(X=>(2.2150993 - (-0.0002748119)*x2)*exp(x0*0.003044664)),exp(AUC * 0.003044664) * (2.2150993 - (SR*Ts * -0.0002748119))
7,11,8.002381,exp(((x0 * 0.306112) + sqrt(x2)) * 0.012372752) + 0.9511752,0.05948303796868655,exp(0.003787447860224*x0 + 0.012372752*sqrt(x2)) + 0.9511752,PySRFunction(X=>exp(0.003787447860224*x0 + 0.012372752*sqrt(x2)) + 0.9511752),exp(((AUC * 0.306112) + sqrt(SR*Ts)) * 0.012372752) + 0.9511752
8,12,7.899553,(((x2 * 0.0002571631) + 1.6063848) * exp(x0 * 0.003339526)) + 0.8292738,0.012932946804644232,(x2*0.0002571631 + 1.6063848)*exp(x0*0.003339526) + 0.8292738,PySRFunction(X=>(x2*0.0002571631 + 1.6063848)*exp(x0*0.003339526) + 0.8292738),(((SR*Ts * 0.0002571631) + 1.6063848) * exp(AUC * 0.003339526)) + 0.8292738
9,14,7.8578863,(exp(x0 * 0.003339526) * (1.5706944 - ((x2 - x3) * -0.0002682887))) + 0.83209115,0.0026442619463447853,(1.5706944 - (-0.0002682887)*(x2 - x3))*exp(x0*0.003339526) + 0.83209115,PySRFunction(X=>(1.5706944 - (-0.0002682887)*(x2 - x3))*exp(x0*0.003339526) + 0.83209115),(exp(AUC * 0.003339526) * (1.5706944 - ((SR*Ts - SR*HODsin) * -0.0002682887))) + 0.83209115
