slot,param_idx,param_letter,warm_start,fold_mean,fold_std,fold_cov_abs,fold_min,fold_max,unstable_flag
simple_ruleA,0,a,0.006329316,0.0063733176,0.00010303730557084671,0.016166981160776722,0.006263179,0.006541365,0
knee_ruleA,0,a,2.42976e-05,2.2462036e-05,1.613416374538823e-06,0.07182859000576898,2.060581e-05,2.417481e-05,0
knee_ruleA,1,b,0.001632161,0.0017918776,8.713142034478723e-05,0.04862576570229307,0.001665942,0.001871479,0
complex_ruleA,0,a,0.9636868,0.8722125199999999,0.031956191668235455,0.03663807952244879,0.8446327,0.922668,0
complex_ruleA,1,b,1.686024,1.6001932,0.16618726668189715,0.10385450124516037,1.324957,1.757652,0
complex_ruleA,2,c,0.0002388674,0.00022876561999999999,2.753369801537745e-05,0.12035767444154176,0.0001812084,0.0002509572,0
complex_ruleA,3,d,0.003167974,0.0034413072000000003,0.00031169761453883474,0.09057535303411295,0.003189379,0.003978433,0
complex_ruleA,4,e,-1.537868,-1.5735768,0.2047882389901822,0.13014187740323965,-1.766708,-1.258132,0
best_accuracy_ruleA,0,a,0.8944946,0.94501168,0.04509736045476498,0.0477214847278554,0.9013201,1.003331,0
best_accuracy_ruleA,1,b,1.619873,1.6349036000000001,0.08966452986159026,0.054843924658059505,1.498608,1.721939,0
best_accuracy_ruleA,2,c,0.0002388674,0.00022170402,1.5204766447959672e-05,0.06858137460908319,0.0001990943,0.0002407413,0
best_accuracy_ruleA,3,d,0.003167974,0.0033892158000000004,0.0001320589061298026,0.03896444308143571,0.003250263,0.003605154,0
best_accuracy_ruleA,4,e,-0.006044604,-0.0069354996000000006,0.0011399663053431887,0.16436686195514866,-0.008068631,-0.005056666,0
best_accuracy_ruleA,5,f,0.0008141702,-3.506950000000007e-05,0.0018869889259105033,53.807123737449906,-0.003410349,0.0008323253,1
best_accuracy_ruleA,6,g,-0.02205472,-0.030987445999999995,0.010339127097317258,0.33365534859882484,-0.04015274,-0.01376969,0
