,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,47.468502,5.3202667,0.0,5.32026670000000,PySRFunction(X=>5.32026670000000),5.3202667
1,2,44.49129,sqrt(x2),0.06477293561516916,sqrt(x2),PySRFunction(X=>sqrt(x2)),sqrt(Tv_C)
2,3,41.658947,x2 * 0.23010889,0.06577728020821934,x2*0.23010889,PySRFunction(X=>x2*0.23010889),Tv_C * 0.23010889
3,4,38.76007,exp(x2 * 0.06824421),0.07212556646272747,exp(x2*0.06824421),PySRFunction(X=>exp(x2*0.06824421)),exp(Tv_C * 0.06824421)
4,5,33.191956,(x2 * 0.088820934) * x13,0.15508303559743014,x2*0.088820934*x13,PySRFunction(X=>x2*0.088820934*x13),(Tv_C * 0.088820934) * hbar_wet
5,6,32.203106,x13 * (sqrt(x2) - 2.8678298),0.03024464988329558,x13*(sqrt(x2) - 2.8678298),PySRFunction(X=>x13*(sqrt(x2) - 2.8678298)),hbar_wet * (sqrt(Tv_C) - 2.8678298)
6,7,25.40229,x13 / ((34.694744 / x2) + -0.81229234),0.23722358008489655,x13/(-0.81229234 + 34.694744/x2),PySRFunction(X=>x13/(-0.81229234 + 34.694744/x2)),hbar_wet / ((34.694744 / Tv_C) + -0.81229234)
7,9,25.20158,(x13 + -0.45733422) / ((29.578419 / x2) + -0.6952147),0.003966318238125906,(x13 - 0.45733422)/(-0.6952147 + 29.578419/x2),PySRFunction(X=>(x13 - 0.45733422)/(-0.6952147 + 29.578419/x2)),(hbar_wet + -0.45733422) / ((29.578419 / Tv_C) + -0.6952147)
8,10,25.098835,((exp(x2 * 0.11808527) * x13) - x12) * 0.09116794,0.004085260246682922,(-x12 + x13*exp(x2*0.11808527))*0.09116794,PySRFunction(X=>(-x12 + x13*exp(x2*0.11808527))*0.09116794),((exp(Tv_C * 0.11808527) * hbar_wet) - h*v) * 0.09116794
9,11,23.908,(x13 / (-0.9446105 + (39.73073 / x2))) - (x6 * -0.0033407793),0.04860829975592206,x13/(-0.9446105 + 39.73073/x2) - (-0.0033407793)*x6,PySRFunction(X=>x13/(-0.9446105 + 39.73073/x2) - (-0.0033407793)*x6),(hbar_wet / (-0.9446105 + (39.73073 / Tv_C))) - (h_inv * -0.0033407793)
