slot,param_idx,param_letter,warm_start,fold_mean,fold_std,fold_cov_abs,fold_min,fold_max,unstable_flag
simple_ruleA,0,a,0.01321107,0.0051431594,0.0006642950985245942,0.12916090030664695,0.004394848,0.006178206,0
simple_ruleA,1,b,0.5,0.5463644000000001,0.006147095795170263,0.011250908359274985,0.5367678,0.5531682,0
knee_ruleA,0,a,0.1507506,0.15037454,0.00046988416444907415,0.0031247587819658446,0.1496062,0.1507458,0
complex_ruleA,0,a,0.1589963,0.15129294,0.0036500568890087235,0.024125758207942313,0.147251,0.1570901,0
complex_ruleA,1,b,-25.06516,-28.974286,2.769000189577457,0.09556750387489987,-33.73815,-26.67763,0
complex_ruleA,2,c,0.02193647,0.028260836,0.002915199757611818,0.1031533447068522,0.02365787,0.03131881,0
complex_ruleA,3,d,-0.0003887753,-0.00042584944,3.731132878835864e-05,0.08761624481262355,-0.0004871003,-0.000394655,0
complex_ruleA,4,e,0.001209519,0.0011055914,4.8314652863287715e-05,0.04370027920196169,0.00105404,0.001171115,0
best_accuracy_ruleA,0,a,-0.4005501,-0.38116902,0.1860863550637499,0.4881990542246846,-0.6708254,-0.2012816,0
best_accuracy_ruleA,1,b,2.0,2.2153766,0.09001452399640864,0.040631702978359815,2.127499,2.341235,0
best_accuracy_ruleA,2,c,0.0003401974,0.00034900836,2.9013152664920776e-05,0.08313025127799453,0.0003204225,0.0003927766,0
best_accuracy_ruleA,3,d,-1.044601e-07,-5.117574800000001e-08,1.9092647148285122e-08,0.3730799821095946,-7.339195e-08,-2.999665e-08,0
best_accuracy_ruleA,4,e,-39.33855,-26.807385999999997,4.376526460502666,0.16325823265657707,-33.71935,-22.40369,0
best_accuracy_ruleA,5,f,-5.686915,-5.7334054000000005,0.06622137456894119,0.011550094568394061,-5.80958,-5.6311,0
best_accuracy_ruleA,6,g,-1.711091e-07,-8.2888148e-08,2.9450929250038446e-08,0.35530929283205176,-1.25178e-07,-5.012662e-08,0
best_accuracy_recur,0,a,-0.9470979,-1.16653132,0.16635451589575803,0.14260612899425454,-1.334036,-0.9223756,0
best_accuracy_recur,1,b,-0.7610225,-0.6743627,0.05559136665252079,0.08243541146703516,-0.7692054,-0.6262041,0
best_accuracy_recur,2,c,32.65631,29.737265999999998,1.9321953887948282,0.06497555588314098,27.90504,32.94526,0
best_accuracy_recur,3,d,0.003669847,0.0033933754,0.0001795985891768085,0.05292623656575353,0.00325044,0.003672463,0
knee_recur,0,a,-0.8087981,-0.7503881,0.03287184027819249,0.043806451992232404,-0.8084927,-0.7309668,0
knee_recur,1,b,34.55612,32.816416,0.9803069546983755,0.029872456355330684,32.1197,34.54317,0
simple_recur,0,a,42.1157,42.695716,0.3356517980437484,0.007861486572651654,42.117,42.9898,0
