,complexity,loss,equation,score,sympy_format,lambda_format,equation_named
0,1,41.45579,5.092113,0.0,5.09211300000000,PySRFunction(X=>5.09211300000000),5.092113
1,3,33.465816,sqrt(exp(x3)),0.10705152912770814,sqrt(exp(x3)),PySRFunction(X=>sqrt(exp(x3))),sqrt(exp(es))
2,4,32.07766,exp(x3 / 1.7906263),0.042364662245296364,exp(x3/1.7906263),PySRFunction(X=>exp(x3/1.7906263)),exp(es / 1.7906263)
3,5,26.738976,x3 * exp(tanh(x1)),0.18203756144354502,x3*exp(tanh(x1)),PySRFunction(X=>x3*exp(tanh(x1))),es * exp(tanh(AUC))
4,6,23.974527,exp(x1 * 0.000120510114) * x3,0.10913038456030277,x3*exp(x1*0.000120510114),PySRFunction(X=>x3*exp(x1*0.000120510114)),exp(AUC * 0.000120510114) * es
5,7,23.292862,exp((tanh(x1) * x3) / 1.615384),0.028844929985644994,exp(x3*tanh(x1)/1.615384),PySRFunction(X=>exp(x3*tanh(x1)/1.615384)),exp((tanh(AUC) * es) / 1.615384)
6,8,22.487999,(log(x3) + (x1 * 0.00020645715)) * x3,0.03516517256891646,x3*(0.00020645715*x1 + log(x3)),PySRFunction(X=>x3*(0.00020645715*x1 + log(x3))),(log(es) + (AUC * 0.00020645715)) * es
7,9,21.798769,sqrt(exp(x3)) * (0.6888698 - (x1 * -0.00012112599)),0.031128288825305148,(0.00012112599*x1 + 0.6888698)*sqrt(exp(x3)),PySRFunction(X=>(0.00012112599*x1 + 0.6888698)*sqrt(exp(x3))),sqrt(exp(es)) * (0.6888698 - (AUC * -0.00012112599))
8,11,20.964254,sqrt(exp(x3)) * (0.65178394 - ((x1 - x11) * -0.0001287066)),0.019517351717923414,(0.0001287066*x1 - 0.0001287066*x11 + 0.65178394)*sqrt(exp(x3)),PySRFunction(X=>(0.0001287066*x1 - 0.0001287066*x11 + 0.65178394)*sqrt(exp(x3))),sqrt(exp(es)) * (0.65178394 - ((AUC - SR*v) * -0.0001287066))
9,12,20.86573,(sqrt(exp(x3)) - tanh(x6)) * (0.7911321 - (x1 * -0.00013349288)),0.00471069662339203,(0.00013349288*x1 + 0.7911321)*(sqrt(exp(x3)) - tanh(x6)),PySRFunction(X=>(0.00013349288*x1 + 0.7911321)*(sqrt(exp(x3)) - tanh(x6))),(sqrt(exp(es)) - tanh(h*VPD)) * (0.7911321 - (AUC * -0.00013349288))
10,13,20.704166,sqrt(exp(x3)) * (0.65178394 - ((x1 - (x11 * 1.9428332)) * -0.0001287066)),0.007773164190833831,(0.0001287066*x1 - 0.00025005545553912*x11 + 0.65178394)*sqrt(exp(x3)),PySRFunction(X=>(0.0001287066*x1 - 0.00025005545553912*x11 + 0.65178394)*sqrt(exp(x3))),sqrt(exp(es)) * (0.65178394 - ((AUC - (SR*v * 1.9428332)) * -0.0001287066))
11,14,20.122778,(0.7332641 - ((x11 - x1) * 0.00014267507)) * (sqrt(exp(x3)) - tanh(x6)),0.02848252878957803,(sqrt(exp(x3)) - tanh(x6))*(0.00014267507*x1 - 0.00014267507*x11 + 0.7332641),PySRFunction(X=>(sqrt(exp(x3)) - tanh(x6))*(0.00014267507*x1 - 0.00014267507*x11 + 0.7332641)),(0.7332641 - ((SR*v - AUC) * 0.00014267507)) * (sqrt(exp(es)) - tanh(h*VPD))
12,16,19.796783,(0.7911321 - ((x1 - x11) * -0.00014091654)) * (sqrt(exp(x3)) - tanh(x6 * x6)),0.008166478759274868,(sqrt(exp(x3)) - tanh(x6**2))*(0.00014091654*x1 - 0.00014091654*x11 + 0.7911321),PySRFunction(X=>(sqrt(exp(x3)) - tanh(x6**2))*(0.00014091654*x1 - 0.00014091654*x11 + 0.7911321)),(0.7911321 - ((AUC - SR*v) * -0.00014091654)) * (sqrt(exp(es)) - tanh(h*VPD * h*VPD))
13,17,19.345078,(sqrt(exp(tanh(x1) * x3)) - tanh(x6)) * (0.86501336 - ((x1 - x11) * -0.00012675203)),0.023081429558590355,(sqrt(exp(x3*tanh(x1))) - tanh(x6))*(0.00012675203*x1 - 0.00012675203*x11 + 0.86501336),PySRFunction(X=>(sqrt(exp(x3*tanh(x1))) - tanh(x6))*(0.00012675203*x1 - 0.00012675203*x11 + 0.86501336)),(sqrt(exp(tanh(AUC) * es)) - tanh(h*VPD)) * (0.86501336 - ((AUC - SR*v) * -0.00012675203))
14,18,19.335186,(sqrt(exp(tanh(x1) * x3)) - tanh(x6)) * (exp(-0.114346206) - ((x1 - x11) * -0.00012675203)),0.0005114753206260998,(sqrt(exp(x3*tanh(x1))) - tanh(x6))*(0.00012675203*x1 - 0.00012675203*x11 + 0.891949104290756),PySRFunction(X=>(sqrt(exp(x3*tanh(x1))) - tanh(x6))*(0.00012675203*x1 - 0.00012675203*x11 + 0.891949104290756)),(sqrt(exp(tanh(AUC) * es)) - tanh(h*VPD)) * (exp(-0.114346206) - ((AUC - SR*v) * -0.00012675203))
15,19,18.583372,(1.0908363 - ((x1 - (x11 * x3)) * -0.00010066892)) * (sqrt(exp(x3 * tanh(x1))) - tanh(x6)),0.03965934248590415,(sqrt(exp(x3*tanh(x1))) - tanh(x6))*(0.00010066892*x1 - 0.00010066892*x11*x3 + 1.0908363),PySRFunction(X=>(sqrt(exp(x3*tanh(x1))) - tanh(x6))*(0.00010066892*x1 - 0.00010066892*x11*x3 + 1.0908363)),(1.0908363 - ((AUC - (SR*v * es)) * -0.00010066892)) * (sqrt(exp(es * tanh(AUC))) - tanh(h*VPD))
16,21,18.332565,(sqrt(exp(tanh(x1) * x3)) - tanh(x6 + -0.94993323)) * (1.0424778 - ((x1 - (x3 * x11)) * -9.115687e-5)),0.006794107896100493,(sqrt(exp(x3*tanh(x1))) - tanh(x6 - 0.94993323))*(9.115687e-5*x1 - 9.115687e-5*x11*x3 + 1.0424778),PySRFunction(X=>(sqrt(exp(x3*tanh(x1))) - tanh(x6 - 0.94993323))*(9.115687e-5*x1 - 9.115687e-5*x11*x3 + 1.0424778)),(sqrt(exp(tanh(AUC) * es)) - tanh(h*VPD + -0.94993323)) * (1.0424778 - ((AUC - (es * SR*v)) * -9.115687e-5))
