label,complexity,holdout_r2,eq,arm,seed,n_params,cv_r2_mean,cv_r2_sd,max_cov,stable,error
Knee of Pareto front,8,0.4759,exp(Tv_C * (Tv_C * (AUC_wet * 2.1631375e-7))),JPN,49,2,0.3914643158722285,0.20236591087374373,1.7507912976778783,False,
Knee of Pareto front,8,0.4615,exp(AUC_wet * (0.002566969 / (44.506935 - Tv_C))),JPN,45,2,0.39866550189589445,0.24186243329595433,0.16246046055550686,True,
Mid-complexity candidate,22,0.4496,exp(AUC_wet * ((Tv_C * 2.1130118e-7) * Tv_C)) - ((u*VPD / VPD*WS) / (3.0412269 - ((AUC_wet * (Tv_C * 2.1130118e-7)) * Tv_C))),JPN,49,4,0.542422083215573,0.1282702896234064,0.46288532290622236,True,
Knee of Pareto front,12,0.4424,(exp(((Tv_C + -22.636578) / 13522.953) * AUC_wet) + AUC_wet) * 0.0006027779,JPN,52,3,0.4791993795148877,0.1386253665198984,0.25239914681872366,True,
Knee of Pareto front,7,0.4252,(AUC_wet / (40.574547 - Tv_C)) * 0.0073892474,JPN,53,2,0.31911036538785587,0.4643002682401352,0.1463694910499352,True,
Knee of Pareto front,6,0.4145,exp((AUC_wet * 6.9016355e-6) * Tv_C),JPN,48,1,0.4434703283095881,0.14929912209698815,0.02074960321512771,True,
Knee of Pareto front,6,0.4145,exp(AUC_wet * (Tv_C * 6.9025446e-6)),JPN,51,1,0.44347034186935497,0.14929911691993214,0.020749583467811042,True,
Knee of Pareto front,6,0.4144,exp(Tv_C * (AUC_wet * 6.9009147e-6)),JPN,44,1,0.4434703331478131,0.1492991218148702,0.02074959050110399,True,
Best accuracy (most complex),38,0.4112,(((AUC_wet - ((VPD*WS - -1.8418752) / 0.008598751)) * ((((VPD*WS - ((u*VPD * 1.1579012) - -2.9528377)) * exp(0.62593806 * Tv_C)) * ((AUC_wet + SR*HODsin) - (h*Pr / 0.09307483))) * (-1.8847711e-19 / VPD*WS))) - 0.018167404) * (AUC_wet * -0.03369444),JPN,45,9,0.5600804379156418,0.13550037436103218,1.6561948331972578,False,
Knee of Pareto front,9,0.4078,((sqrt(exp(Tv_C)) * 1.9614577e-11) + 0.0005642868) * AUC_wet,JPN,47,3,0.3829852176060068,0.3578327054351293,1.7729976523795485,False,
Knee of Pareto front,12,0.4052,(exp(Tv_C - (AUC_wet * -0.0006426269)) * 6.0500168e-18) - (AUC_wet * -0.00061806495),JPN,43,3,0.4661169116435131,0.17753184176509354,0.20201598397201997,True,
Mid-complexity candidate,18,0.3978,(exp((AUC_wet / 15199.861) * (Tv_C + -24.984934)) - ((AUC_wet + h*Pr) * -0.0609919)) / (u*VPD + 113.36801),JPN,53,4,0.5021884648220419,0.16407685574821312,0.28443916371803296,True,
Best accuracy (most complex),39,0.397,((AUC_wet + (((exp(uzonal) / 15023.822) * ((AUC_wet - h*Pr) / exp((u*VPD / 0.29889885) / VPD*WS))) * (exp(((Tv_C + -21.865295) / 14952.185) * AUC_wet) + h*Pr))) * 0.00035608126) + (sqrt(VPD*WS) * ((AUC_wet / 11955.589) + -0.0072844545)),JPN,52,8,0.6375683988183085,0.14689996205751904,1.5570786327933386,False,
Best accuracy (most complex),38,0.3927,(((((exp((Tv_C * 0.5267789) - (u*VPD / VPD*WS)) * (AUC_wet - (h*Pr / 0.08877725))) * (((AUC_wet + SR*HODsin) - ((u*VPD / -0.14781792) / (uzonal + 1.0443705))) * 1.04165265e-19)) - -0.0003791856) - (h*Pr * -5.097695e-7)) * AUC_wet) + 0.03879722,JPN,43,8,0.5964312660809533,0.13799073874780607,0.4850379567316724,True,
Best accuracy (most complex),40,0.3884,AUC_wet * (((VPD*WS + exp(sqrt(Tv_C - (uzonal + 3.0315948)))) + ((AUC_wet + AUC_wet) / sqrt(sqrt(exp(Tv_C))))) * ((6.309171e-7 - ((-2.0107244e-21 / ((((VPD*WS + exp(u*VPD)) / 86.10407) * h*Pr) + u*VPD)) * exp(Tv_C))) / 0.19216707)),JPN,47,7,0.44499394725159214,0.2523574443440816,0.40117959028501143,True,
Mid-complexity candidate,19,0.3838,(((exp(Tv_C * 0.5598911) * ((AUC_wet - 6185.803) * 5.8336006e-16)) / exp(u*VPD / VPD*WS)) - -0.0005592454) * AUC_wet,JPN,48,4,0.5619903921264868,0.13298506523594686,0.3400713048920549,True,
Best accuracy (most complex),36,0.3837,((((sqrt(exp(Tv_C)) * -3.3941667e-9) / ((VPD*WS * uzonal) + (((-30.252533 - (((u*VPD + VPD*WS) / 1.4732583) - Tv_C)) / 0.061995506) - h*Pr))) + 0.0005914092) * ((VPD*WS * sqrt(AUC_wet)) + (AUC_wet - Tv_C))) - 0.41186664,JPN,53,7,-15.146366751312224,34.766388604185465,0.8103516709641413,False,
Mid-complexity candidate,26,0.3831,((AUC_wet * ((6.304611e-7 - ((-1.897389e-21 / (u*VPD + ((VPD*WS / 86.738434) * h*Pr))) * exp(Tv_C))) / 0.24093479)) * exp(sqrt(Tv_C - uzonal))) + 0.49055135,JPN,47,5,0.5867610804958614,0.1607403060451399,0.05457764506215256,True,
Knee of Pareto front,12,0.3828,((exp(Tv_C) * (2.5841995e-18 / (h*Pr + -87.88509))) - -0.0006804936) * AUC_wet,JPN,42,3,0.46384285304210665,0.08170246860799148,0.02085317450269199,True,
Best accuracy (most complex),39,0.3743,((AUC_wet * ((((((exp((Tv_C * 0.5456782) - (u*VPD / Tv_C)) * AUC_wet) * 9.057036e-18) + -4.941127e-6) / (((1.2878981e-13 / exp(u*VPD)) + ((u*VPD + (VPD*WS - uzonal)) * 8.819021)) + h*Pr)) * AUC_wet) - -0.0007987007)) + -0.6705156) / 0.920869,JPN,42,9,0.5687424796602596,0.16293860353828313,0.6404796553781489,False,
