label,complexity,holdout_r2,eq,arm,seed,n_params,cv_r2_mean,cv_r2_sd,max_cov,stable,error
Best accuracy (most complex),40,0.7435,((((AUC_wet - SR*v) + SR) * 6.3612692e-6) * (exp(sqrt(Tv_C)) - (((dayhr * log(Tv_C)) + (-9.83549 / h_inv)) + ((SR*u * -0.019528149) - (((AUC_wet - SR*u) + (SR*HODsin * -7.484453)) / (AUC_wet - (h_inv * 6.249428))))))) - -0.4964769,KOR,45,8,0.6536131674300732,0.06598918242226925,0.18932873279975335,True,
Mid-complexity candidate,22,0.6995,(((SR + AUC_wet) - SR*v) * (exp(sqrt(Tv_C)) - (sqrt(h_inv) - (AUC_wet / (AUC_wet - (h_inv * 6.251832)))))) * 6.378604e-6,KOR,45,3,0.6222361554654717,0.07581861557663423,0.14636560455333783,True,
Best accuracy (most complex),40,0.6946,((exp(sqrt(dayhr) - ((dayhr * dayhr) / Tv_C)) * (0.5975247 - (h*sinTOD * -0.17454927))) + (((AUC_wet - SR*v) + ((SR / 0.21530849) + h_inv)) * ((exp(-140.03601 / Tv_C) / 12.531099) + ((0.5588772 / asinh_P_kPa) - 0.10539712)))) - -0.4609236,KOR,44,10,0.6101037038086549,0.061905026489978,0.4300142476528325,True,
Best accuracy (most complex),40,0.6946,exp(((SR - SR*HODsin) * -0.034325395) + 0.5013576) + ((((((h*sinTOD - ((((SR*HODsin - SR*u) * 0.43789613) + ((SR*v - SR) - SR)) * 0.013692239)) + sqrt(AUC_wet)) - dayhr) * exp(-4.6261845 - (Tv_C * -0.09037206))) - 0.7555616) / 1.019884),KOR,53,11,0.604122136707182,0.06017037057394293,0.2797606857889774,True,
Best accuracy (most complex),40,0.6921,((exp(sqrt(sqrt(sqrt(h_inv + AUC_wet)) + Tv_C)) - (sqrt(sqrt(SR) + Tv_C) * ((Tv_C + (((((SR*u + (SR * 7.2077026)) * -0.39778852) + SR*v) * 0.0053976355) * (sqrt(Tv_C) + -3.7907782))) + dayhr))) * 0.032596674) - -2.179978,KOR,52,9,0.5978595300741597,0.05921957084783164,0.5237913467917626,False,
Best accuracy (most complex),39,0.691,(((sqrt(AUC_wet) - dayhr) * ((exp(sqrt(Tv_C)) - (((SR*HODsin + SR*v) * 0.03134995) + (dayhr + (u*VPD * -0.5914467)))) / (1666.5961 - (SR * 0.554708)))) + (exp(((SR*HODsin - SR) * 0.029263556) + 0.6522083) + rate_P)) + -0.27145672,KOR,48,9,0.6063790408651197,0.05634007916649825,0.4272931476598106,True,
Best accuracy (most complex),39,0.6875,(u*VPD + (((((SR*v / -19.006502) / 13.458307) + Tv_C) * sqrt(exp(Tv_C * 0.20317191))) - (1.7957064 / (((h_inv - (v*VPD * 0.6803613)) / AUC_wet) - 0.16745839)))) / (dayhr + (Tv_C + (13.458307 - (h*sinTOD - (SR * -0.007598417))))),KOR,46,8,0.6081645764798292,0.0515441461167952,1.4786384368613161,False,
Best accuracy (most complex),39,0.6873,(sqrt(exp(Tv_C / sqrt(sqrt(Tv_C / 0.56371415)))) / (Tv_C + ((((Tv_C * Tv_C) - u*VPD) / ((AUC_wet + (h_inv + h_inv)) * 0.004801821)) + ((dayhr - 2.9814434) - (((SR*HODsin + SR*v) - SR) * -0.0066928454))))) * 2.872635,KOR,42,10,0.594339197872227,0.05881196810012111,0.46857587186863087,True,
Mid-complexity candidate,20,0.6864,((0.5187602 / (6.3947167 - (AUC_wet / h_inv))) + exp(((SR*v * -0.00143022) + Tv_C) * 0.089067094)) - (dayhr * 0.16396841),KOR,50,5,0.6042193912177659,0.05332936838862824,0.15926463762779258,True,
Best accuracy (most complex),40,0.6862,sqrt(h*cosTOD + (exp(Tv_C * 0.1816025) + sqrt(sqrt(AUC_wet)))) - ((dayhr * (((SR*v + SR*HODsin) * 0.00011988434) + 0.13214712)) - ((0.5182721 / ((asinh_P_kPa - ((AUC_wet - v*VPD) / h_inv)) + 1.1185308)) - exp(0.13214712 - (h*sinTOD * h_inv)))),KOR,50,8,0.6066650641944454,0.04846388300540743,0.7785911661859375,False,
Mid-complexity candidate,21,0.6852,exp(SR*HODsin - SR) + ((exp(sqrt(Tv_C)) - v*VPD) * (((sqrt(AUC_wet) - dayhr) / 1677.4299) - (SR * -1.9645426e-5))),KOR,48,4,0.5981285743084233,0.06246709007680681,0.11919421575511978,True,
Mid-complexity candidate,23,0.6845,exp(-4.613133 - (Tv_C * -0.0912856)) * (sqrt(AUC_wet) + ((h*sinTOD - (((SR*v - SR) - (SR*u * 0.43659988)) * 0.013754747)) - dayhr)),KOR,53,6,0.5943714525766666,0.060883303557883246,0.2566149463960108,True,
Best accuracy (most complex),40,0.6834,(((((exp(Tv_C / 8.161375) / (((h*sinTOD / asinh_P_kPa) / -0.55830854) + 9.051948)) + 2.11764) + (((h_inv + (AUC_wet + SR*v)) - SR*u) * -0.00033671258)) * (-2.9061592 - ((SR + (AUC_wet + SR)) * -0.0005526136))) + (SR*v * -0.0009292977)) + 5.383276,KOR,47,11,0.6091695202466003,0.061829188481433366,0.4628508810593936,True,
Best accuracy (most complex),38,0.679,sqrt(Tv_C) + ((((AUC_wet * (((h*cosTOD * SR*HODsin) - ((SR*v - exp(sqrt(h*sinTOD + (Tv_C * 2.2894475)) - rate_P)) - (SR*u * 0.4440488))) * 2.6818793e-7)) + rate_P) + rate_P) - ((dayhr * 0.12400636) - (rate_P + -0.31556994))),KOR,43,8,0.6015818057406591,0.05758221011865049,0.5213669509013031,False,
Mid-complexity candidate,21,0.6755,((((SR + (((AUC_wet - SR*v) - SR*v) / 3.7898626)) * exp(-107.872314 / Tv_C)) - dayhr) / 7.4528227) + sqrt(Tv_C),KOR,44,6,0.5908072145838118,0.0616661008041445,0.2875256302713892,True,
Best accuracy (most complex),39,0.675,(((exp(sqrt(Tv_C)) + ((h*sinTOD - dayhr) * (asinh_P_kPa - (((SR*HODsin + SR*v) * -0.0019974601) + exp(1.1437793 - (sqrt(SR) * (h_inv * h_inv))))))) * ((SR*u + (SR * 4.4170337)) + AUC_wet)) * 5.693682e-6) - (-2.1733162 - rate_P),KOR,49,7,0.6032215123836353,0.05537626184180808,0.14664736749886015,True,
